"",BBK01.CEHH0I,BBK01.CEHH0I_FLAGS
"",Shares debtor: All sectors                    creditor: Households and non-profit institutions serving households,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:21:53,
1991-01,-0.3,
1991-04,0.0,
1991-07,0.2,
1991-10,0.4,
1992-01,-1.2,
1992-04,0.2,
1992-07,0.2,
1992-10,0.2,
1993-01,2.4,
1993-04,1.8,
1993-07,-0.2,
1993-10,-0.6,
1994-01,1.6,
1994-04,1.4,
1994-07,1.5,
1994-10,1.5,
1995-01,-0.1,
1995-04,-0.2,
1995-07,-0.9,
1995-10,-0.6,
1996-01,-0.4,
1996-04,-0.2,
1996-07,0.8,
1996-10,5.1,
1997-01,0.8,
1997-04,1.5,
1997-07,0.8,
1997-10,1.0,
1998-01,0.5,
1998-04,1.5,
1998-07,1.5,
1998-10,0.5,
1999-01,0.5,
1999-04,12.8,
1999-07,4.9,
1999-10,3.3,
2000-01,0.4,
2000-04,16.4,
2000-07,-1.1,
2000-10,4.8,
2001-01,-3.5,
2001-04,-4.5,
2001-07,-14.5,
2001-10,-6.2,
2002-01,-16.3,
2002-04,-18.3,
2002-07,-10.3,
2002-10,-26.3,
2003-01,-14.5,
2003-04,-3.9,
2003-07,2.4,
2003-10,-4.0,
2004-01,-2.5,
2004-04,-1.0,
2004-07,-2.0,
2004-10,-1.0,
2005-01,-1.0,
2005-04,-1.0,
2005-07,-1.0,
2005-10,-1.0,
2006-01,14.3,
2006-04,-0.2,
2006-07,1.3,
2006-10,-4.3,
2007-01,-1.4,
2007-04,5.6,
2007-07,2.1,
2007-10,14.0,
2008-01,-2.8,
2008-04,2.7,
2008-07,1.0,
2008-10,-10.3,
2009-01,10.8,
2009-04,1.4,
2009-07,0.7,
2009-10,3.3,
2010-01,2.6,
2010-04,5.1,
2010-07,-1.6,
2010-10,7.2,
2011-01,3.3,
2011-04,0.5,
2011-07,6.1,
2011-10,6.2,
2012-01,-1.0,
2012-04,0.5,
2012-07,-0.5,
2012-10,-2.5,
2013-01,2.6,
2013-04,-0.6,
2013-07,-4.3,
2013-10,-3.5,
2014-01,2.9,
