"",BBK01.CEH62Q,BBK01.CEH62Q_FLAGS
"",Insurance technical reserves (consolidated) debtor:  Domestic financial corporations                    creditor: All sectors,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:16:10,
1991-01,16.9,
1991-04,1.9,
1991-07,12.2,
1991-10,4.2,
1992-01,19.1,
1992-04,8.7,
1992-07,8.0,
1992-10,5.0,
1993-01,12.3,
1993-04,15.0,
1993-07,10.4,
1993-10,10.9,
1994-01,13.3,
1994-04,20.3,
1994-07,11.0,
1994-10,8.4,
1995-01,22.8,
1995-04,11.3,
1995-07,13.3,
1995-10,10.8,
1996-01,26.6,
1996-04,11.6,
1996-07,11.6,
1996-10,8.2,
1997-01,30.9,
1997-04,12.2,
1997-07,14.3,
1997-10,10.3,
1998-01,27.2,
1998-04,17.0,
1998-07,12.0,
1998-10,12.2,
1999-01,20.8,
1999-04,13.1,
1999-07,15.3,
1999-10,17.9,
2000-01,22.3,
2000-04,13.0,
2000-07,14.4,
2000-10,13.2,
2001-01,21.8,
2001-04,12.2,
2001-07,16.6,
2001-10,6.6,
2002-01,24.6,
2002-04,12.2,
2002-07,14.5,
2002-10,-9.9,
2003-01,18.3,
2003-04,12.4,
2003-07,12.4,
2003-10,17.0,
2004-01,16.7,
2004-04,9.8,
2004-07,11.1,
2004-10,19.9,
2005-01,17.7,
2005-04,10.8,
2005-07,13.2,
2005-10,36.8,
2006-01,17.2,
2006-04,13.7,
2006-07,15.7,
2006-10,19.5,
2007-01,13.2,
2007-04,11.1,
2007-07,13.1,
2007-10,28.8,
2008-01,8.8,
2008-04,7.8,
2008-07,8.4,
2008-10,8.5,
2009-01,22.7,
2009-04,14.5,
2009-07,12.9,
2009-10,18.2,
2010-01,28.7,
2010-04,20.2,
2010-07,14.3,
2010-10,19.0,
2011-01,19.6,
2011-04,13.6,
2011-07,11.0,
2011-10,14.3,
2012-01,26.6,
2012-04,18.8,
2012-07,14.9,
2012-10,18.4,
2013-01,24.1,
2013-04,19.6,
2013-07,15.6,
2013-10,18.7,
2014-01,30.9,
