"",BBAI3.Q.DE.N.V.LE.F33.RV.A1.S.1.N.E.Z,BBAI3.Q.DE.N.V.LE.F33.RV.A1.S.1.N.E.Z_FLAGS
"",Assets / Reinsurance companies / Securities other than shares excluding financial derivatives / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:28:57,
2005-10,43399,
2006-01,42945,
2006-04,42455,
2006-07,44954,
2006-10,47429,
2007-01,48189,
2007-04,48914,
2007-07,48031,
2007-10,47076,
2008-01,45024,
2008-04,43213,
2008-07,45887,
2008-10,48707,
2009-01,45349,
2009-04,44272,
2009-07,44294,
2009-10,44157,
2010-01,46750,
2010-04,49313,
2010-07,50058,
2010-10,50989,
2011-01,49784,
2011-04,48423,
2011-07,49412,
2011-10,51539,
2012-01,53760,
2012-04,55324,
2012-07,57635,
2012-10,60216,
2013-01,58906,
2013-04,56624,
2013-07,57547,
2013-10,59101,
2014-01,62045,
2014-04,64376,
2014-07,64913,
