"",BBK01.CEF0K0,BBK01.CEF0K0_FLAGS
"",Total liabilities  debtor: Insurance corporations               creditor: Total,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:36:43,
1999-01,1107.2,
1999-04,1109.9,
1999-07,1113.5,
1999-10,1224.4,
2000-01,1323.1,
2000-04,1261.1,
2000-07,1315.4,
2000-10,1255.7,
2001-01,1295.6,
2001-04,1319.2,
2001-07,1220.1,
2001-10,1276.7,
2002-01,1351.0,
2002-04,1334.5,
2002-07,1223.1,
2002-10,1187.4,
2003-01,1198.9,
2003-04,1253.8,
2003-07,1268.2,
2003-10,1289.2,
2004-01,1302.0,
2004-04,1308.9,
2004-07,1309.0,
2004-10,1323.7,
2005-01,1344.4,
2005-04,1347.6,
2005-07,1388.1,
2005-10,1416.3,
2006-01,1427.1,
2006-04,1420.9,
2006-07,1455.5,
2006-10,1484.6,
2007-01,1496.9,
2007-04,1516.7,
2007-07,1515.6,
2007-10,1511.4,
2008-01,1488.7,
2008-04,1474.9,
2008-07,1459.4,
2008-10,1427.0,
2009-01,1411.0,
2009-04,1414.9,
2009-07,1447.9,
2009-10,1453.8,
2010-01,1482.2,
2010-04,1479.4,
2010-07,1491.7,
2010-10,1510.1,
2011-01,1524.1,
2011-04,1525.3,
2011-07,1506.4,
2011-10,1518.0,
2012-01,1558.7,
2012-04,1562.6,
2012-07,1595.0,
2012-10,1630.8,
2013-01,1658.1,
2013-04,1668.0,
2013-07,1682.2,
2013-10,1723.8,
2014-01,1739.5,
2014-04,1741.7,
2014-07,1758.6,
