"",BBAI3.Q.DE.N.V.LE.F62.S1251.A1.S.2.N.E.Z,BBAI3.Q.DE.N.V.LE.F62.S1251.A1.S.2.N.E.Z_FLAGS
"",Liabilities / Insurance corporations (ICs) / Prepayments of insurance premiums and res. for outstanding claims / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:28:05,
2005-10,274396,
2006-01,276705,
2006-04,273525,
2006-07,272206,
2006-10,269233,
2007-01,271340,
2007-04,266453,
2007-07,262873,
2007-10,258348,
2008-01,262101,
2008-04,260088,
2008-07,258195,
2008-10,254442,
2009-01,257574,
2009-04,253584,
2009-07,250034,
2009-10,248525,
2010-01,255619,
2010-04,254618,
2010-07,252972,
2010-10,254011,
2011-01,260819,
2011-04,261520,
2011-07,262654,
2011-10,264201,
2012-01,269085,
2012-04,269264,
2012-07,269577,
2012-10,270780,
2013-01,277838,
2013-04,277177,
2013-07,276877,
2013-10,278080,
2014-01,281539,
2014-04,285584,
2014-07,283545,
