"",BBAI3.Q.DE.N.V.LE.F51.RV.A1.S.1.N.E.Z,BBAI3.Q.DE.N.V.LE.F51.RV.A1.S.1.N.E.Z_FLAGS
"",Assets / Reinsurance companies / Shares and other equity / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:29:00,
2005-10,147157,
2006-01,149713,
2006-04,152435,
2006-07,156330,
2006-10,160383,
2007-01,159979,
2007-04,160980,
2007-07,167252,
2007-10,173863,
2008-01,166606,
2008-04,160055,
2008-07,150166,
2008-10,141450,
2009-01,135274,
2009-04,129418,
2009-07,129418,
2009-10,129696,
2010-01,130901,
2010-04,132129,
2010-07,133115,
2010-10,135154,
2011-01,134703,
2011-04,134259,
2011-07,135354,
2011-10,136605,
2012-01,135378,
2012-04,134186,
2012-07,136744,
2012-10,139400,
2013-01,138515,
2013-04,137681,
2013-07,137038,
2013-10,136817,
2014-01,137386,
2014-04,138086,
2014-07,138284,
