"",BBEX3.D.COP.EUR.CA.AA.000,BBEX3.D.COP.EUR.CA.AA.000_FLAGS
2001-11-28,.,No value available
2001-11-29,.,No value available
2001-11-30,2050.87,
2001-12-01,.,No value available
2001-12-02,.,No value available
2001-12-03,.,No value available
2001-12-04,.,No value available
2001-12-05,.,No value available
2001-12-06,.,No value available
2001-12-07,2069.00,
2001-12-08,.,No value available
2001-12-09,.,No value available
2001-12-10,.,No value available
2001-12-11,.,No value available
2001-12-12,.,No value available
2001-12-13,.,No value available
2001-12-14,2064.47,
2001-12-15,.,No value available
2001-12-16,.,No value available
2001-12-17,.,No value available
2001-12-18,.,No value available
2001-12-19,.,No value available
2001-12-20,.,No value available
2001-12-21,2040.51,
2001-12-22,.,No value available
2001-12-23,.,No value available
2001-12-24,.,No value available
2001-12-25,.,No value available
2001-12-26,.,No value available
2001-12-27,.,No value available
2001-12-28,2034.31,
2001-12-29,.,No value available
2001-12-30,.,No value available
2001-12-31,.,No value available
2002-01-01,.,No value available
2002-01-02,.,No value available
2002-01-03,.,No value available
2002-01-04,2057.94,
2002-01-05,.,No value available
2002-01-06,.,No value available
2002-01-07,.,No value available
2002-01-08,.,No value available
2002-01-09,.,No value available
2002-01-10,.,No value available
2002-01-11,2061.85,
2002-01-12,.,No value available
2002-01-13,.,No value available
2002-01-14,.,No value available
2002-01-15,.,No value available
2002-01-16,.,No value available
2002-01-17,.,No value available
2002-01-18,1994.13,
2002-01-19,.,No value available
2002-01-20,.,No value available
2002-01-21,.,No value available
2002-01-22,.,No value available
2002-01-23,.,No value available
2002-01-24,.,No value available
2002-01-25,1957.50,
2002-01-26,.,No value available
2002-01-27,.,No value available
2002-01-28,.,No value available
2002-01-29,.,No value available
2002-01-30,.,No value available
2002-01-31,1955.83,
2002-02-01,.,No value available
2002-02-02,.,No value available
2002-02-03,.,No value available
2002-02-04,.,No value available
2002-02-05,.,No value available
2002-02-06,.,No value available
2002-02-07,.,No value available
2002-02-08,1963.00,
2002-02-09,.,No value available
2002-02-10,.,No value available
2002-02-11,.,No value available
2002-02-12,.,No value available
2002-02-13,.,No value available
2002-02-14,.,No value available
2002-02-15,2019.54,
2002-02-16,.,No value available
2002-02-17,.,No value available
2002-02-18,.,No value available
2002-02-19,.,No value available
2002-02-20,.,No value available
2002-02-21,.,No value available
2002-02-22,2009.96,
2002-02-23,.,No value available
2002-02-24,.,No value available
2002-02-25,.,No value available
2002-02-26,.,No value available
2002-02-27,.,No value available
2002-02-28,2001.72,
2002-03-01,.,No value available
2002-03-02,.,No value available
2002-03-03,.,No value available
2002-03-04,.,No value available
2002-03-05,.,No value available
2002-03-06,.,No value available
2002-03-07,.,No value available
2002-03-08,2020.34,
2002-03-09,.,No value available
2002-03-10,.,No value available
2002-03-11,.,No value available
2002-03-12,.,No value available
2002-03-13,.,No value available
2002-03-14,.,No value available
2002-03-15,2005.00,
2002-03-16,.,No value available
2002-03-17,.,No value available
2002-03-18,.,No value available
2002-03-19,.,No value available
2002-03-20,.,No value available
2002-03-21,.,No value available
2002-03-22,2012.90,
2002-03-23,.,No value available
2002-03-24,.,No value available
2002-03-25,.,No value available
2002-03-26,.,No value available
2002-03-27,1981.00,
2002-03-28,.,No value available
2002-03-29,.,No value available
2002-03-30,.,No value available
2002-03-31,.,No value available
2002-04-01,.,No value available
2002-04-02,.,No value available
2002-04-03,.,No value available
2002-04-04,.,No value available
2002-04-05,1990.30,
2002-04-06,.,No value available
2002-04-07,.,No value available
2002-04-08,.,No value available
2002-04-09,.,No value available
2002-04-10,.,No value available
2002-04-11,.,No value available
2002-04-12,.,No value available
2002-04-13,.,No value available
2002-04-14,.,No value available
2002-04-15,.,No value available
2002-04-16,.,No value available
2002-04-17,.,No value available
2002-04-18,.,No value available
2002-04-19,2007.05,
2002-04-20,.,No value available
2002-04-21,.,No value available
2002-04-22,.,No value available
2002-04-23,.,No value available
2002-04-24,.,No value available
2002-04-25,.,No value available
2002-04-26,2034.56,
2002-04-27,.,No value available
2002-04-28,.,No value available
2002-04-29,.,No value available
2002-04-30,2048.26,
2002-05-01,.,No value available
2002-05-02,.,No value available
2002-05-03,2057.11,
2002-05-04,.,No value available
2002-05-05,.,No value available
2002-05-06,.,No value available
2002-05-07,.,No value available
2002-05-08,.,No value available
2002-05-09,.,No value available
2002-05-10,2079.90,
2002-05-11,.,No value available
2002-05-12,.,No value available
2002-05-13,.,No value available
2002-05-14,.,No value available
2002-05-15,.,No value available
2002-05-16,.,No value available
2002-05-17,2131.53,
2002-05-18,.,No value available
2002-05-19,.,No value available
2002-05-20,.,No value available
2002-05-21,.,No value available
2002-05-22,.,No value available
2002-05-23,.,No value available
2002-05-24,2156.74,
2002-05-25,.,No value available
2002-05-26,.,No value available
2002-05-27,.,No value available
2002-05-28,.,No value available
2002-05-29,.,No value available
2002-05-30,.,No value available
2002-05-31,2182.03,
2002-06-01,.,No value available
2002-06-02,.,No value available
2002-06-03,.,No value available
2002-06-04,.,No value available
2002-06-05,.,No value available
2002-06-06,.,No value available
2002-06-07,.,No value available
2002-06-08,.,No value available
2002-06-09,.,No value available
2002-06-10,.,No value available
2002-06-11,.,No value available
2002-06-12,.,No value available
2002-06-13,.,No value available
2002-06-14,2227.51,
2002-06-15,.,No value available
2002-06-16,.,No value available
2002-06-17,.,No value available
2002-06-18,.,No value available
2002-06-19,.,No value available
2002-06-20,.,No value available
2002-06-21,2303.02,
2002-06-22,.,No value available
2002-06-23,.,No value available
2002-06-24,.,No value available
2002-06-25,.,No value available
2002-06-26,.,No value available
2002-06-27,.,No value available
2002-06-28,2373.36,
2002-06-29,.,No value available
2002-06-30,.,No value available
2002-07-01,.,No value available
2002-07-02,.,No value available
2002-07-03,.,No value available
2002-07-04,.,No value available
2002-07-05,2360.59,
2002-07-06,.,No value available
2002-07-07,.,No value available
2002-07-08,.,No value available
2002-07-09,.,No value available
2002-07-10,.,No value available
2002-07-11,.,No value available
2002-07-12,.,No value available
2002-07-13,.,No value available
2002-07-14,.,No value available
2002-07-15,.,No value available
2002-07-16,.,No value available
2002-07-17,.,No value available
2002-07-18,.,No value available
2002-07-19,2554.18,
2002-07-20,.,No value available
2002-07-21,.,No value available
2002-07-22,.,No value available
2002-07-23,.,No value available
2002-07-24,.,No value available
2002-07-25,.,No value available
2002-07-26,2549.28,
2002-07-27,.,No value available
2002-07-28,.,No value available
2002-07-29,.,No value available
2002-07-30,.,No value available
2002-07-31,2567.19,
2002-08-01,.,No value available
2002-08-02,2604.58,
2002-08-03,.,No value available
2002-08-04,.,No value available
2002-08-05,.,No value available
2002-08-06,.,No value available
2002-08-07,.,No value available
2002-08-08,.,No value available
2002-08-09,.,No value available
2002-08-10,.,No value available
2002-08-11,.,No value available
2002-08-12,.,No value available
2002-08-13,.,No value available
2002-08-14,.,No value available
2002-08-15,.,No value available
2002-08-16,2605.50,
2002-08-17,.,No value available
2002-08-18,.,No value available
2002-08-19,.,No value available
2002-08-20,.,No value available
2002-08-21,.,No value available
2002-08-22,.,No value available
2002-08-23,2578.36,
2002-08-24,.,No value available
2002-08-25,.,No value available
2002-08-26,.,No value available
2002-08-27,.,No value available
2002-08-28,.,No value available
2002-08-29,.,No value available
2002-08-30,2659.70,
2002-08-31,.,No value available
2002-09-01,.,No value available
2002-09-02,.,No value available
2002-09-03,.,No value available
2002-09-04,.,No value available
2002-09-05,.,No value available
2002-09-06,2669.74,
2002-09-07,.,No value available
2002-09-08,.,No value available
2002-09-09,.,No value available
2002-09-10,.,No value available
2002-09-11,.,No value available
2002-09-12,.,No value available
2002-09-13,2654.43,
2002-09-14,.,No value available
2002-09-15,.,No value available
2002-09-16,.,No value available
2002-09-17,.,No value available
2002-09-18,.,No value available
2002-09-19,.,No value available
2002-09-20,2734.46,
2002-09-21,.,No value available
2002-09-22,.,No value available
2002-09-23,.,No value available
2002-09-24,.,No value available
2002-09-25,.,No value available
2002-09-26,.,No value available
2002-09-27,2765.84,
2002-09-28,.,No value available
2002-09-29,.,No value available
2002-09-30,2793.61,
2002-10-01,.,No value available
2002-10-02,.,No value available
2002-10-03,.,No value available
2002-10-04,2767.88,
2002-10-05,.,No value available
2002-10-06,.,No value available
2002-10-07,.,No value available
2002-10-08,.,No value available
2002-10-09,.,No value available
2002-10-10,.,No value available
2002-10-11,2831.23,
2002-10-12,.,No value available
2002-10-13,.,No value available
2002-10-14,.,No value available
2002-10-15,.,No value available
2002-10-16,.,No value available
2002-10-17,.,No value available
2002-10-18,2771.92,
2002-10-19,.,No value available
2002-10-20,.,No value available
2002-10-21,.,No value available
2002-10-22,.,No value available
2002-10-23,.,No value available
2002-10-24,.,No value available
2002-10-25,2682.97,
2002-10-26,.,No value available
2002-10-27,.,No value available
2002-10-28,.,No value available
2002-10-29,.,No value available
2002-10-30,.,No value available
2002-10-31,2748.41,
2002-11-01,.,No value available
2002-11-02,.,No value available
2002-11-03,.,No value available
2002-11-04,.,No value available
2002-11-05,.,No value available
2002-11-06,.,No value available
2002-11-07,.,No value available
2002-11-08,2777.97,
2002-11-09,.,No value available
2002-11-10,.,No value available
2002-11-11,.,No value available
2002-11-12,.,No value available
2002-11-13,.,No value available
2002-11-14,.,No value available
2002-11-15,2737.90,
2002-11-16,.,No value available
2002-11-17,.,No value available
2002-11-18,.,No value available
2002-11-19,.,No value available
2002-11-20,.,No value available
2002-11-21,.,No value available
2002-11-22,2663.32,
2002-11-23,.,No value available
2002-11-24,.,No value available
2002-11-25,.,No value available
2002-11-26,.,No value available
2002-11-27,.,No value available
2002-11-28,.,No value available
2002-11-29,2736.65,
2002-11-30,.,No value available
2002-12-01,.,No value available
2002-12-02,.,No value available
2002-12-03,.,No value available
2002-12-04,.,No value available
2002-12-05,.,No value available
2002-12-06,2803.00,
2002-12-07,.,No value available
2002-12-08,.,No value available
2002-12-09,.,No value available
2002-12-10,.,No value available
2002-12-11,.,No value available
2002-12-12,.,No value available
2002-12-13,2815.31,
2002-12-14,.,No value available
2002-12-15,.,No value available
2002-12-16,.,No value available
2002-12-17,.,No value available
2002-12-18,.,No value available
2002-12-19,.,No value available
2002-12-20,2890.93,
2002-12-21,.,No value available
2002-12-22,.,No value available
2002-12-23,.,No value available
2002-12-24,.,No value available
2002-12-25,.,No value available
2002-12-26,.,No value available
2002-12-27,2944.89,
2002-12-28,.,No value available
2002-12-29,.,No value available
2002-12-30,3000.40,
2002-12-31,.,No value available
2003-01-01,.,No value available
2003-01-02,.,No value available
2003-01-03,2943.79,
2003-01-04,.,No value available
2003-01-05,.,No value available
2003-01-06,.,No value available
2003-01-07,.,No value available
2003-01-08,.,No value available
2003-01-09,.,No value available
2003-01-10,3055.84,
2003-01-11,.,No value available
2003-01-12,.,No value available
2003-01-13,.,No value available
2003-01-14,.,No value available
2003-01-15,.,No value available
2003-01-16,.,No value available
2003-01-17,3108.85,
2003-01-18,.,No value available
2003-01-19,.,No value available
2003-01-20,.,No value available
2003-01-21,.,No value available
2003-01-22,.,No value available
2003-01-23,.,No value available
2003-01-24,3173.25,
2003-01-25,.,No value available
2003-01-26,.,No value available
2003-01-27,.,No value available
2003-01-28,.,No value available
2003-01-29,.,No value available
2003-01-30,.,No value available
2003-01-31,3139.20,
2003-02-01,.,No value available
2003-02-02,.,No value available
2003-02-03,.,No value available
2003-02-04,.,No value available
2003-02-05,.,No value available
2003-02-06,.,No value available
2003-02-07,3211.69,
2003-02-08,.,No value available
2003-02-09,.,No value available
2003-02-10,.,No value available
2003-02-11,.,No value available
2003-02-12,.,No value available
2003-02-13,.,No value available
2003-02-14,3187.54,
2003-02-15,.,No value available
2003-02-16,.,No value available
2003-02-17,.,No value available
2003-02-18,.,No value available
2003-02-19,.,No value available
2003-02-20,.,No value available
2003-02-21,3169.40,
2003-02-22,.,No value available
2003-02-23,.,No value available
2003-02-24,.,No value available
2003-02-25,.,No value available
2003-02-26,.,No value available
2003-02-27,.,No value available
2003-02-28,3187.29,
2003-03-01,.,No value available
2003-03-02,.,No value available
2003-03-03,.,No value available
2003-03-04,.,No value available
2003-03-05,.,No value available
2003-03-06,.,No value available
2003-03-07,3252.49,
2003-03-08,.,No value available
2003-03-09,.,No value available
2003-03-10,.,No value available
2003-03-11,.,No value available
2003-03-12,.,No value available
2003-03-13,.,No value available
2003-03-14,3253.17,
2003-03-15,.,No value available
2003-03-16,.,No value available
2003-03-17,.,No value available
2003-03-18,.,No value available
2003-03-19,.,No value available
2003-03-20,.,No value available
2003-03-21,3135.81,
2003-03-22,.,No value available
2003-03-23,.,No value available
2003-03-24,.,No value available
2003-03-25,.,No value available
2003-03-26,.,No value available
2003-03-27,.,No value available
2003-03-28,.,No value available
2003-03-29,.,No value available
2003-03-30,.,No value available
2003-03-31,3226.37,
2003-04-01,.,No value available
2003-04-02,.,No value available
2003-04-03,.,No value available
2003-04-04,.,No value available
2003-04-05,.,No value available
2003-04-06,.,No value available
2003-04-07,.,No value available
2003-04-08,.,No value available
2003-04-09,.,No value available
2003-04-10,.,No value available
2003-04-11,.,No value available
2003-04-12,.,No value available
2003-04-13,.,No value available
2003-04-14,3138.03,
2003-04-15,.,No value available
2003-04-16,.,No value available
2003-04-17,3185.28,
2003-04-18,.,No value available
2003-04-19,.,No value available
2003-04-20,.,No value available
2003-04-21,.,No value available
2003-04-22,.,No value available
2003-04-23,.,No value available
2003-04-24,.,No value available
2003-04-25,3191.01,
2003-04-26,.,No value available
2003-04-27,.,No value available
2003-04-28,.,No value available
2003-04-29,.,No value available
2003-04-30,3214.17,
2003-05-01,.,No value available
2003-05-02,3223.35,
2003-05-03,.,No value available
2003-05-04,.,No value available
2003-05-05,.,No value available
2003-05-06,.,No value available
2003-05-07,.,No value available
2003-05-08,.,No value available
2003-05-09,3265.98,
2003-05-10,.,No value available
2003-05-11,.,No value available
2003-05-12,.,No value available
2003-05-13,.,No value available
2003-05-14,.,No value available
2003-05-15,.,No value available
2003-05-16,3249.89,
2003-05-17,.,No value available
2003-05-18,.,No value available
2003-05-19,.,No value available
2003-05-20,.,No value available
2003-05-21,.,No value available
2003-05-22,.,No value available
2003-05-23,3425.93,
2003-05-24,.,No value available
2003-05-25,.,No value available
2003-05-26,.,No value available
2003-05-27,.,No value available
2003-05-28,.,No value available
2003-05-29,.,No value available
2003-05-30,3375.59,
2003-05-31,.,No value available
2003-06-01,.,No value available
2003-06-02,.,No value available
2003-06-03,.,No value available
2003-06-04,.,No value available
2003-06-05,.,No value available
2003-06-06,3353.75,
2003-06-07,.,No value available
2003-06-08,.,No value available
2003-06-09,.,No value available
2003-06-10,.,No value available
2003-06-11,.,No value available
2003-06-12,.,No value available
2003-06-13,3327.98,
2003-06-14,.,No value available
2003-06-15,.,No value available
2003-06-16,.,No value available
2003-06-17,.,No value available
2003-06-18,.,No value available
2003-06-19,.,No value available
2003-06-20,3295.16,
2003-06-21,.,No value available
2003-06-22,.,No value available
2003-06-23,.,No value available
2003-06-24,.,No value available
2003-06-25,.,No value available
2003-06-26,.,No value available
2003-06-27,3209.61,
2003-06-28,.,No value available
2003-06-29,.,No value available
2003-06-30,3219.15,
2003-07-01,.,No value available
2003-07-02,.,No value available
2003-07-03,.,No value available
2003-07-04,3227.66,
2003-07-05,.,No value available
2003-07-06,.,No value available
2003-07-07,.,No value available
2003-07-08,.,No value available
2003-07-09,.,No value available
2003-07-10,.,No value available
2003-07-11,3230.38,
2003-07-12,.,No value available
2003-07-13,.,No value available
2003-07-14,.,No value available
2003-07-15,.,No value available
2003-07-16,.,No value available
2003-07-17,.,No value available
2003-07-18,3231.28,
2003-07-19,.,No value available
2003-07-20,.,No value available
2003-07-21,.,No value available
2003-07-22,.,No value available
2003-07-23,.,No value available
2003-07-24,.,No value available
2003-07-25,3313.55,
2003-07-26,.,No value available
2003-07-27,.,No value available
2003-07-28,.,No value available
2003-07-29,.,No value available
2003-07-30,.,No value available
2003-07-31,3259.53,
2003-08-01,3215.88,
2003-08-02,.,No value available
2003-08-03,.,No value available
2003-08-04,.,No value available
2003-08-05,.,No value available
2003-08-06,.,No value available
2003-08-07,.,No value available
2003-08-08,3269.54,
2003-08-09,.,No value available
2003-08-10,.,No value available
2003-08-11,.,No value available
2003-08-12,.,No value available
2003-08-13,.,No value available
2003-08-14,.,No value available
2003-08-15,3221.77,
2003-08-16,.,No value available
2003-08-17,.,No value available
2003-08-18,.,No value available
2003-08-19,.,No value available
2003-08-20,.,No value available
2003-08-21,.,No value available
2003-08-22,3108.45,
2003-08-23,.,No value available
2003-08-24,.,No value available
2003-08-25,.,No value available
2003-08-26,.,No value available
2003-08-27,.,No value available
2003-08-28,.,No value available
2003-08-29,3109.91,
2003-08-30,.,No value available
2003-08-31,.,No value available
2003-09-01,.,No value available
2003-09-02,.,No value available
2003-09-03,.,No value available
2003-09-04,.,No value available
2003-09-05,3076.62,
2003-09-06,.,No value available
2003-09-07,.,No value available
2003-09-08,.,No value available
2003-09-09,.,No value available
2003-09-10,.,No value available
2003-09-11,.,No value available
2003-09-12,3161.18,
2003-09-13,.,No value available
2003-09-14,.,No value available
2003-09-15,.,No value available
2003-09-16,.,No value available
2003-09-17,.,No value available
2003-09-18,.,No value available
2003-09-19,3205.12,
2003-09-20,.,No value available
2003-09-21,.,No value available
2003-09-22,.,No value available
2003-09-23,.,No value available
2003-09-24,.,No value available
2003-09-25,.,No value available
2003-09-26,3298.14,
2003-09-27,.,No value available
2003-09-28,.,No value available
2003-09-29,.,No value available
2003-09-30,3366.36,
2003-10-01,.,No value available
2003-10-02,3399.02,
2003-10-03,.,No value available
2003-10-04,.,No value available
2003-10-05,.,No value available
2003-10-06,.,No value available
2003-10-07,.,No value available
2003-10-08,.,No value available
2003-10-09,.,No value available
2003-10-10,3392.90,
2003-10-11,.,No value available
2003-10-12,.,No value available
2003-10-13,.,No value available
2003-10-14,.,No value available
2003-10-15,.,No value available
2003-10-16,.,No value available
2003-10-17,3320.37,
2003-10-18,.,No value available
2003-10-19,.,No value available
2003-10-20,.,No value available
2003-10-21,.,No value available
2003-10-22,.,No value available
2003-10-23,.,No value available
2003-10-24,3384.03,
2003-10-25,.,No value available
2003-10-26,.,No value available
2003-10-27,.,No value available
2003-10-28,.,No value available
2003-10-29,.,No value available
2003-10-30,.,No value available
2003-10-31,3351.87,
2003-11-01,.,No value available
2003-11-02,.,No value available
2003-11-03,.,No value available
2003-11-04,.,No value available
2003-11-05,.,No value available
2003-11-06,.,No value available
2003-11-07,3260.36,
2003-11-08,.,No value available
2003-11-09,.,No value available
2003-11-10,.,No value available
2003-11-11,.,No value available
2003-11-12,.,No value available
2003-11-13,.,No value available
2003-11-14,3353.07,
2003-11-15,.,No value available
2003-11-16,.,No value available
2003-11-17,.,No value available
2003-11-18,.,No value available
2003-11-19,.,No value available
2003-11-20,.,No value available
2003-11-21,3368.65,
2003-11-22,.,No value available
2003-11-23,.,No value available
2003-11-24,.,No value available
2003-11-25,.,No value available
2003-11-26,.,No value available
2003-11-27,.,No value available
2003-11-28,3404.29,
2003-11-29,.,No value available
2003-11-30,.,No value available
2003-12-01,.,No value available
2003-12-02,.,No value available
2003-12-03,.,No value available
2003-12-04,.,No value available
2003-12-05,3402.84,
2003-12-06,.,No value available
2003-12-07,.,No value available
2003-12-08,.,No value available
2003-12-09,.,No value available
2003-12-10,.,No value available
2003-12-11,.,No value available
2003-12-12,3440.98,
2003-12-13,.,No value available
2003-12-14,.,No value available
2003-12-15,.,No value available
2003-12-16,.,No value available
2003-12-17,.,No value available
2003-12-18,.,No value available
2003-12-19,3478.77,
2003-12-20,.,No value available
2003-12-21,.,No value available
2003-12-22,.,No value available
2003-12-23,3480.58,
2003-12-24,.,No value available
2003-12-25,.,No value available
2003-12-26,.,No value available
2003-12-27,.,No value available
2003-12-28,.,No value available
2003-12-29,.,No value available
2003-12-30,.,No value available
2003-12-31,3507.78,
2004-01-01,.,No value available
2004-01-02,.,No value available
2004-01-03,.,No value available
2004-01-04,.,No value available
2004-01-05,3515.08,
2004-01-06,.,No value available
2004-01-07,.,No value available
2004-01-08,.,No value available
2004-01-09,3503.77,
2004-01-10,.,No value available
2004-01-11,.,No value available
2004-01-12,.,No value available
2004-01-13,.,No value available
2004-01-14,.,No value available
2004-01-15,.,No value available
2004-01-16,3402.01,
2004-01-17,.,No value available
2004-01-18,.,No value available
2004-01-19,.,No value available
2004-01-20,.,No value available
2004-01-21,.,No value available
2004-01-22,.,No value available
2004-01-23,3480.97,
2004-01-24,.,No value available
2004-01-25,.,No value available
2004-01-26,.,No value available
2004-01-27,.,No value available
2004-01-28,.,No value available
2004-01-29,.,No value available
2004-01-30,3393.22,
2004-01-31,.,No value available
2004-02-01,.,No value available
2004-02-02,.,No value available
2004-02-03,.,No value available
2004-02-04,.,No value available
2004-02-05,.,No value available
2004-02-06,3443.58,
2004-02-07,.,No value available
2004-02-08,.,No value available
2004-02-09,.,No value available
2004-02-10,.,No value available
2004-02-11,.,No value available
2004-02-12,.,No value available
2004-02-13,3506.69,
2004-02-14,.,No value available
2004-02-15,.,No value available
2004-02-16,.,No value available
2004-02-17,.,No value available
2004-02-18,.,No value available
2004-02-19,.,No value available
2004-02-20,3411.12,
2004-02-21,.,No value available
2004-02-22,.,No value available
2004-02-23,.,No value available
2004-02-24,.,No value available
2004-02-25,.,No value available
2004-02-26,.,No value available
2004-02-27,3335.34,
2004-02-28,.,No value available
2004-02-29,.,No value available
2004-03-01,.,No value available
2004-03-02,.,No value available
2004-03-03,.,No value available
2004-03-04,.,No value available
2004-03-05,3262.45,
2004-03-06,.,No value available
2004-03-07,.,No value available
2004-03-08,.,No value available
2004-03-09,.,No value available
2004-03-10,.,No value available
2004-03-11,.,No value available
2004-03-12,3282.30,
2004-03-13,.,No value available
2004-03-14,.,No value available
2004-03-15,.,No value available
2004-03-16,.,No value available
2004-03-17,.,No value available
2004-03-18,.,No value available
2004-03-19,3294.29,
2004-03-20,.,No value available
2004-03-21,.,No value available
2004-03-22,.,No value available
2004-03-23,.,No value available
2004-03-24,.,No value available
2004-03-25,.,No value available
2004-03-26,3261.21,
2004-03-27,.,No value available
2004-03-28,.,No value available
2004-03-29,.,No value available
2004-03-30,.,No value available
2004-03-31,3273.48,
2004-04-01,.,No value available
2004-04-02,3289.74,
2004-04-03,.,No value available
2004-04-04,.,No value available
2004-04-05,.,No value available
2004-04-06,.,No value available
2004-04-07,.,No value available
2004-04-08,.,No value available
2004-04-09,.,No value available
2004-04-10,.,No value available
2004-04-11,.,No value available
2004-04-12,.,No value available
2004-04-13,.,No value available
2004-04-14,.,No value available
2004-04-15,3134.82,
2004-04-16,.,No value available
2004-04-17,.,No value available
2004-04-18,.,No value available
2004-04-19,.,No value available
2004-04-20,.,No value available
2004-04-21,.,No value available
2004-04-22,.,No value available
2004-04-23,3111.39,
2004-04-24,.,No value available
2004-04-25,.,No value available
2004-04-26,.,No value available
2004-04-27,.,No value available
2004-04-28,.,No value available
2004-04-29,.,No value available
2004-04-30,3162.25,
2004-05-01,.,No value available
2004-05-02,.,No value available
2004-05-03,.,No value available
2004-05-04,.,No value available
2004-05-05,.,No value available
2004-05-06,.,No value available
2004-05-07,3248.26,
2004-05-08,.,No value available
2004-05-09,.,No value available
2004-05-10,.,No value available
2004-05-11,.,No value available
2004-05-12,.,No value available
2004-05-13,.,No value available
2004-05-14,3235.42,
2004-05-15,.,No value available
2004-05-16,.,No value available
2004-05-17,.,No value available
2004-05-18,.,No value available
2004-05-19,.,No value available
2004-05-20,.,No value available
2004-05-21,3319.88,
2004-05-22,.,No value available
2004-05-23,.,No value available
2004-05-24,.,No value available
2004-05-25,.,No value available
2004-05-26,.,No value available
2004-05-27,.,No value available
2004-05-28,3362.49,
2004-05-29,.,No value available
2004-05-30,.,No value available
2004-05-31,3323.14,
2004-06-01,.,No value available
2004-06-02,.,No value available
2004-06-03,.,No value available
2004-06-04,3321.99,
2004-06-05,.,No value available
2004-06-06,.,No value available
2004-06-07,.,No value available
2004-06-08,.,No value available
2004-06-09,.,No value available
2004-06-10,.,No value available
2004-06-11,3280.23,
2004-06-12,.,No value available
2004-06-13,.,No value available
2004-06-14,.,No value available
2004-06-15,.,No value available
2004-06-16,.,No value available
2004-06-17,.,No value available
2004-06-18,3265.67,
2004-06-19,.,No value available
2004-06-20,.,No value available
2004-06-21,.,No value available
2004-06-22,.,No value available
2004-06-23,.,No value available
2004-06-24,.,No value available
2004-06-25,3278.64,
2004-06-26,.,No value available
2004-06-27,.,No value available
2004-06-28,.,No value available
2004-06-29,.,No value available
2004-06-30,3281.17,
2004-07-01,.,No value available
2004-07-02,.,No value available
2004-07-03,.,No value available
2004-07-04,.,No value available
2004-07-05,.,No value available
2004-07-06,.,No value available
2004-07-07,.,No value available
2004-07-08,.,No value available
2004-07-09,3312.28,
2004-07-10,.,No value available
2004-07-11,.,No value available
2004-07-12,.,No value available
2004-07-13,.,No value available
2004-07-14,.,No value available
2004-07-15,.,No value available
2004-07-16,3264.07,
2004-07-17,.,No value available
2004-07-18,.,No value available
2004-07-19,.,No value available
2004-07-20,.,No value available
2004-07-21,.,No value available
2004-07-22,.,No value available
2004-07-23,3193.41,
2004-07-24,.,No value available
2004-07-25,.,No value available
2004-07-26,.,No value available
2004-07-27,.,No value available
2004-07-28,.,No value available
2004-07-29,.,No value available
2004-07-30,3153.53,
2004-07-31,.,No value available
2004-08-01,.,No value available
2004-08-02,.,No value available
2004-08-03,.,No value available
2004-08-04,.,No value available
2004-08-05,.,No value available
2004-08-06,3148.17,
2004-08-07,.,No value available
2004-08-08,.,No value available
2004-08-09,.,No value available
2004-08-10,.,No value available
2004-08-11,.,No value available
2004-08-12,.,No value available
2004-08-13,3194.90,
2004-08-14,.,No value available
2004-08-15,.,No value available
2004-08-16,.,No value available
2004-08-17,.,No value available
2004-08-18,.,No value available
2004-08-19,.,No value available
2004-08-20,3205.24,
2004-08-21,.,No value available
2004-08-22,.,No value available
2004-08-23,.,No value available
2004-08-24,.,No value available
2004-08-25,.,No value available
2004-08-26,.,No value available
2004-08-27,3103.55,
2004-08-28,.,No value available
2004-08-29,.,No value available
2004-08-30,.,No value available
2004-08-31,3089.72,
2004-09-01,.,No value available
2004-09-02,.,No value available
2004-09-03,3107.94,
2004-09-04,.,No value available
2004-09-05,.,No value available
2004-09-06,.,No value available
2004-09-07,.,No value available
2004-09-08,.,No value available
2004-09-09,.,No value available
2004-09-10,3082.79,
2004-09-11,.,No value available
2004-09-12,.,No value available
2004-09-13,.,No value available
2004-09-14,.,No value available
2004-09-15,.,No value available
2004-09-16,.,No value available
2004-09-17,3080.09,
2004-09-18,.,No value available
2004-09-19,.,No value available
2004-09-20,.,No value available
2004-09-21,.,No value available
2004-09-22,.,No value available
2004-09-23,.,No value available
2004-09-24,.,No value available
2004-09-25,.,No value available
2004-09-26,.,No value available
2004-09-27,3188.56,
2004-09-28,.,No value available
2004-09-29,.,No value available
2004-09-30,3219.92,
2004-10-01,3237.17,
2004-10-02,.,No value available
2004-10-03,.,No value available
2004-10-04,.,No value available
2004-10-05,.,No value available
2004-10-06,.,No value available
2004-10-07,.,No value available
2004-10-08,3203.51,
2004-10-09,.,No value available
2004-10-10,.,No value available
2004-10-11,.,No value available
2004-10-12,.,No value available
2004-10-13,.,No value available
2004-10-14,.,No value available
2004-10-15,3164.09,
2004-10-16,.,No value available
2004-10-17,.,No value available
2004-10-18,.,No value available
2004-10-19,.,No value available
2004-10-20,.,No value available
2004-10-21,.,No value available
2004-10-22,3220.86,
2004-10-23,.,No value available
2004-10-24,.,No value available
2004-10-25,.,No value available
2004-10-26,.,No value available
2004-10-27,.,No value available
2004-10-28,.,No value available
2004-10-29,3292.55,
2004-10-30,.,No value available
2004-10-31,.,No value available
2004-11-01,.,No value available
2004-11-02,.,No value available
2004-11-03,.,No value available
