"",BBFN1.M.DE.N.1.A.W03100.S1P.F0.S.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.W03100.S1P.F0.S.N000.Z01.BGA.X001.D_FLAGS
"",Short-term claims of enterprises on foreign non-banks arising from financial operations / Total / Emerging economies and developing countries,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:07:53,
1995-01,2.587,
1995-02,2.615,
1995-03,2.650,
1995-04,2.821,
1995-05,3.332,
1995-06,3.160,
1995-07,3.669,
1995-08,3.588,
1995-09,3.643,
1995-10,3.299,
1995-11,3.150,
1995-12,3.314,
1996-01,3.426,
1996-02,3.312,
1996-03,3.200,
1996-04,3.607,
1996-05,3.668,
1996-06,3.732,
1996-07,3.652,
1996-08,3.566,
1996-09,3.902,
1996-10,3.771,
1996-11,3.776,
1996-12,4.035,
1997-01,3.851,
1997-02,4.157,
1997-03,4.254,
1997-04,4.356,
1997-05,4.232,
1997-06,4.481,
1997-07,4.519,
1997-08,4.429,
1997-09,4.680,
1997-10,4.830,
1997-11,4.874,
1997-12,5.280,
1998-01,4.976,
1998-02,5.559,
1998-03,5.502,
1998-04,5.556,
1998-05,5.819,
1998-06,6.219,
1998-07,6.030,
1998-08,5.894,
1998-09,6.151,
1998-10,6.558,
1998-11,6.843,
1998-12,6.805,
1999-01,6.682,
1999-02,6.711,
1999-03,7.344,
1999-04,7.977,
1999-05,7.967,
1999-06,8.025,
1999-07,8.100,
1999-08,7.886,
1999-09,8.113,
1999-10,8.241,
1999-11,8.185,
1999-12,7.672,
2000-01,7.918,
2000-02,7.978,
2000-03,9.878,
2000-04,10.538,
2000-05,12.179,
2000-06,12.116,
2000-07,12.227,
2000-08,14.090,
2000-09,14.366,
2000-10,14.997,
2000-11,14.696,
2000-12,14.266,
2001-01,14.610,
2001-02,15.461,
2001-03,16.476,
2001-04,17.677,
2001-05,18.111,
2001-06,17.757,
2001-07,17.146,
2001-08,16.957,
2001-09,17.169,
2001-10,16.963,
2001-11,12.663,
2001-12,14.779,
2002-01,13.945,
2002-02,12.508,
2002-03,11.969,
2002-04,13.297,
2002-05,11.146,
2002-06,11.155,
2002-07,10.534,
2002-08,10.077,
2002-09,10.344,
2002-10,9.611,
2002-11,9.603,
2002-12,9.575,
2003-01,8.653,
2003-02,9.168,
2003-03,9.376,
2003-04,9.221,
2003-05,9.568,
2003-06,9.417,
2003-07,8.936,
2003-08,8.936,
2003-09,9.283,
2003-10,9.793,
2003-11,9.928,
2003-12,9.251,
2004-01,9.146,
2004-02,9.395,
2004-03,9.435,
2004-04,9.293,
2004-05,7.141,
2004-06,7.167,
2004-07,7.294,
2004-08,7.309,
2004-09,6.939,
2004-10,7.377,
2004-11,7.202,
2004-12,7.807,
2005-01,7.657,
2005-02,8.234,
2005-03,8.064,
2005-04,8.215,
2005-05,8.568,
2005-06,8.597,
2005-07,8.681,
2005-08,8.776,
2005-09,8.228,
2005-10,8.871,
2005-11,9.286,
2005-12,8.489,
2006-01,8.476,
2006-02,9.430,
2006-03,9.302,
2006-04,9.632,
2006-05,9.751,
2006-06,9.979,
2006-07,9.994,
2006-08,9.975,
2006-09,10.021,
2006-10,9.540,
2006-11,10.139,
2006-12,10.367,
2007-01,9.048,
2007-02,9.922,
2007-03,8.856,
2007-04,9.096,
2007-05,9.190,
2007-06,9.624,
2007-07,9.119,
2007-08,9.759,
2007-09,9.200,
2007-10,9.065,
2007-11,9.262,
2007-12,9.576,
2008-01,9.200,
2008-02,9.608,
2008-03,9.744,
2008-04,10.211,
2008-05,10.376,
2008-06,11.034,
2008-07,11.136,
2008-08,11.309,
2008-09,11.866,
2008-10,11.749,
2008-11,11.651,
2008-12,12.153,
2009-01,11.814,
2009-02,11.799,
2009-03,11.848,
2009-04,12.034,
2009-05,12.179,
2009-06,12.311,
2009-07,12.239,
2009-08,12.091,
2009-09,11.893,
2009-10,11.967,
2009-11,12.037,
2009-12,11.450,
2010-01,11.869,
2010-02,12.074,
2010-03,11.767,
2010-04,12.225,
2010-05,12.923,
2010-06,13.458,
2010-07,13.774,
2010-08,13.199,
2010-09,12.640,
2010-10,12.273,
2010-11,12.929,
2010-12,12.700,
2011-01,12.778,
2011-02,12.952,
2011-03,13.103,
2011-04,13.813,
2011-05,13.935,
2011-06,13.874,
2011-07,13.957,
2011-08,13.780,
2011-09,13.669,
2011-10,13.172,
2011-11,13.899,
2011-12,14.026,
2012-01,14.303,
2012-02,14.420,
2012-03,14.785,
2012-04,15.833,
2012-05,15.399,
2012-06,15.889,
2012-07,15.842,
2012-08,15.099,
2012-09,15.375,
2012-10,14.954,
2012-11,15.220,
2012-12,14.793,
2013-01,14.665,
2013-02,14.951,
2013-03,15.542,
2013-04,16.210,
2013-05,16.220,
2013-06,16.541,
2013-07,15.024,
2013-08,16.700,
2013-09,15.907,
2013-10,15.551,
2013-11,15.839,
2013-12,15.852,
2014-01,16.008,
2014-02,16.317,
2014-03,16.720,
2014-04,18.428,
2014-05,17.516,
2014-06,17.534,
2014-07,17.968,
2014-08,17.492,
2014-09,17.640,
2014-10,17.953,
2014-11,18.562,
2014-12,19.491,
"","General: All countries that are not regarded as industrial countries. Up to December 2010 including Niederl. Antillen; from January 2011 including Bonaire,St.Eustatius, Saba; Curacao; St.Martin (Dutch part)",
