"",BBSF2.M.1.S.I1252.AKT01.I.F.ANZ.DE.00000.000000.Z01.00,BBSF2.M.1.S.I1252.AKT01.I.F.ANZ.DE.00000.000000.Z01.00_FLAGS
"",Special investors funds / Equity funds / Number / Other insurance corporations / Distribution and cumulative funds,
unit,Stück (hypothetically euro-based),
unit multiplier,one,
last update,2014-12-29 10:48:54,
2009-09,67,
2009-10,67,
2009-11,64,
2009-12,64,
2010-01,60,
2010-02,60,
2010-03,58,
2010-04,58,
2010-05,58,
2010-06,55,
2010-07,55,
2010-08,55,
2010-09,54,
2010-10,53,
2010-11,54,
2010-12,52,
2011-01,52,
2011-02,52,
2011-03,51,
2011-04,52,
2011-05,52,
2011-06,52,
2011-07,52,
2011-08,52,
2011-09,51,
2011-10,51,
2011-11,51,
2011-12,51,
2012-01,51,
2012-02,49,
2012-03,49,
2012-04,48,
2012-05,47,
2012-06,47,
2012-07,47,
2012-08,46,
2012-09,46,
2012-10,46,
2012-11,45,
2012-12,43,
2013-01,43,
2013-02,42,
2013-03,43,
2013-04,41,
2013-05,41,
2013-06,40,
2013-07,40,
2013-08,40,
2013-09,40,
2013-10,40,
2013-11,40,
2013-12,40,
2014-01,40,
2014-02,42,
2014-03,41,
2014-04,41,
2014-05,41,
2014-06,41,
2014-07,41,
2014-08,41,
2014-09,41,
2014-10,41,
2014-11,42,
