"",BBAI3.Q.DE.N.V.LE.F51M.S125.A1.S.2.N.E.Z,BBAI3.Q.DE.N.V.LE.F51M.S125.A1.S.2.N.E.Z_FLAGS
"",Liabilities / Insurance corporations and pension funds (ICPFs) / Shares and other equity - Unquoted shares and other equity / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:27:55,
2005-10,77363,
2006-01,74947,
2006-04,69274,
2006-07,77768,
2006-10,81095,
2007-01,84966,
2007-04,94382,
2007-07,97192,
2007-10,93589,
2008-01,83944,
2008-04,77841,
2008-07,70243,
2008-10,64100,
2009-01,51738,
2009-04,51774,
2009-07,62792,
2009-10,63692,
2010-01,68650,
2010-04,60362,
2010-07,58885,
2010-10,63054,
2011-01,68191,
2011-04,64369,
2011-07,50635,
2011-10,52199,
2012-01,62857,
2012-04,57439,
2012-07,65805,
2012-10,74070,
2013-01,80510,
2013-04,82124,
2013-07,84398,
2013-10,93971,
2014-01,90940,
2014-04,90758,
2014-07,92779,
