"",BBAI3.Q.DE.N.V.LE.F.S125.A1.S.2.N.E.Z,BBAI3.Q.DE.N.V.LE.F.S125.A1.S.2.N.E.Z_FLAGS
"",Liabilities / Insurance corporations and pension funds (ICPFs) / Total financial assets / liabilities / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:27:50,
2005-10,1630217,
2006-01,1643230,
2006-04,1640706,
2006-07,1681910,
2006-10,1710011,
2007-01,1739370,
2007-04,1765856,
2007-07,1768681,
2007-10,1771435,
2008-01,1762340,
2008-04,1750676,
2008-07,1735598,
2008-10,1698770,
2009-01,1693938,
2009-04,1708737,
2009-07,1746245,
2009-10,1757604,
2010-01,1806886,
2010-04,1808754,
2010-07,1819887,
2010-10,1872544,
2011-01,1906803,
2011-04,1909586,
2011-07,1890169,
2011-10,1897408,
2012-01,1951729,
2012-04,1956621,
2012-07,1993483,
2012-10,2033141,
2013-01,2081039,
2013-04,2093556,
2013-07,2112450,
2013-10,2161488,
2014-01,2182273,
2014-04,2198921,
2014-07,2215009,
