"",BBFI1.Q.N.DE.W1.S12M.S1.LE.A.FA.O.F6._Z._T._X.N,BBFI1.Q.N.DE.W1.S12M.S1.LE.A.FA.O.F6._Z._T._X.N_FLAGS
"","IIP - Other Investment - Insurance, pension and standardized guarantee schemes - Assets - Positions - Financial corporations other than MFIs - all countries",
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-30 16:04:33,
1999-10,18698,
2000-01,-,Nothing exists
2000-04,-,Nothing exists
2000-07,-,Nothing exists
2000-10,19663,
2001-01,-,Nothing exists
2001-04,-,Nothing exists
2001-07,-,Nothing exists
2001-10,26184,
2002-01,-,Nothing exists
2002-04,-,Nothing exists
2002-07,-,Nothing exists
2002-10,21707,
2003-01,-,Nothing exists
2003-04,-,Nothing exists
2003-07,-,Nothing exists
2003-10,26978,
2004-01,27937,
2004-04,28479,
2004-07,28841,
2004-10,29258,
2005-01,29967,
2005-04,30645,
2005-07,30973,
2005-10,30626,
2006-01,29285,
2006-04,27536,
2006-07,25967,
2006-10,25165,
2007-01,25717,
2007-04,27113,
2007-07,28843,
2007-10,30398,
2008-01,31266,
2008-04,31482,
2008-07,31079,
2008-10,30090,
2009-01,28548,
2009-04,26739,
2009-07,24947,
2009-10,23456,
2010-01,22552,
2010-04,22136,
2010-07,22111,
2010-10,22380,
2011-01,22845,
2011-04,23440,
2011-07,24097,
2011-10,24749,
2012-01,25328,
2012-04,25833,
2012-07,26263,
2012-10,26614,
2013-01,26885,
2013-04,27096,
2013-07,27267,
2013-10,27418,
2014-01,27625,
2014-04,27832,
2014-07,28039,
