"",BBSF2.M.1.S.I1251.AKT01.I.F.ANZ.DE.00000.000000.Z01.00,BBSF2.M.1.S.I1251.AKT01.I.F.ANZ.DE.00000.000000.Z01.00_FLAGS
"",Special investors funds / Equity funds / Number / Life insurance corporations / Distribution and cumulative funds,
unit,Stück (hypothetically euro-based),
unit multiplier,one,
last update,2014-12-29 10:48:54,
2009-01,0,
2009-02,0,
2009-03,0,
2009-04,0,
2009-05,0,
2009-06,0,
2009-07,0,
2009-08,0,
2009-09,15,
2009-10,15,
2009-11,15,
2009-12,15,
2010-01,15,
2010-02,16,
2010-03,16,
2010-04,16,
2010-05,16,
2010-06,16,
2010-07,15,
2010-08,16,
2010-09,13,
2010-10,13,
2010-11,12,
2010-12,12,
2011-01,12,
2011-02,12,
2011-03,12,
2011-04,12,
2011-05,12,
2011-06,12,
2011-07,12,
2011-08,12,
2011-09,12,
2011-10,12,
2011-11,12,
2011-12,12,
2012-01,12,
2012-02,12,
2012-03,12,
2012-04,12,
2012-05,12,
2012-06,12,
2012-07,12,
2012-08,12,
2012-09,12,
2012-10,12,
2012-11,12,
2012-12,12,
2013-01,12,
2013-02,12,
2013-03,12,
2013-04,12,
2013-05,12,
2013-06,12,
2013-07,12,
2013-08,12,
2013-09,12,
2013-10,12,
2013-11,12,
2013-12,12,
2014-01,12,
2014-02,12,
2014-03,12,
2014-04,12,
2014-05,12,
2014-06,12,
2014-07,11,
2014-08,11,
2014-09,11,
2014-10,11,
2014-11,11,
