"",BBK01.CEF30K,BBK01.CEF30K_FLAGS
"",Debt securities  debtor: Total           creditor: Insurance corporations,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:36:12,
1999-01,88.5,
1999-04,89.1,
1999-07,86.8,
1999-10,73.8,
2000-01,74.0,
2000-04,72.7,
2000-07,70.8,
2000-10,65.0,
2001-01,65.5,
2001-04,66.6,
2001-07,65.2,
2001-10,72.4,
2002-01,76.8,
2002-04,75.6,
2002-07,77.8,
2002-10,76.6,
2003-01,80.8,
2003-04,84.9,
2003-07,85.7,
2003-10,113.0,
2004-01,113.7,
2004-04,115.5,
2004-07,113.9,
2004-10,120.6,
2005-01,122.0,
2005-04,126.5,
2005-07,129.3,
2005-10,140.5,
2006-01,139.7,
2006-04,140.7,
2006-07,140.1,
2006-10,139.2,
2007-01,143.3,
2007-04,145.0,
2007-07,142.5,
2007-10,142.3,
2008-01,144.4,
2008-04,141.0,
2008-07,144.2,
2008-10,148.1,
2009-01,151.0,
2009-04,151.9,
2009-07,151.3,
2009-10,152.2,
2010-01,161.1,
2010-04,168.5,
2010-07,170.0,
2010-10,173.8,
2011-01,177.8,
2011-04,184.3,
2011-07,182.1,
2011-10,185.2,
2012-01,201.8,
2012-04,211.3,
2012-07,228.3,
2012-10,238.2,
2013-01,267.1,
2013-04,270.4,
2013-07,277.0,
2013-10,285.7,
2014-01,300.1,
2014-04,316.3,
2014-07,329.6,
