"",BBEX3.M.AWG.USD.CA.AB.A01,BBEX3.M.AWG.USD.CA.AB.A01_FLAGS
"",Exchange rates for the US dollar in Aruba / USD 1 = AWG ... (selling),
unit,AWG (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:15:49,
1988-01,1.80,
1988-02,1.80,
1988-03,1.80,
1988-04,1.80,
1988-05,1.80,
1988-06,1.80,
1988-07,1.80,
1988-08,1.80,
1988-09,1.80,
1988-10,1.80,
1988-11,1.80,
1988-12,1.80,
1989-01,1.80,
1989-02,1.80,
1989-03,1.80,
1989-04,1.80,
1989-05,1.80,
1989-06,1.80,
1989-07,1.80,
1989-08,1.80,
1989-09,1.80,
1989-10,1.80,
1989-11,1.80,
1989-12,1.80,
1990-01,1.80,
1990-02,1.80,
1990-03,1.80,
1990-04,1.80,
1990-05,1.80,
1990-06,1.80,
1990-07,1.80,
1990-08,1.80,
1990-09,1.80,
1990-10,1.80,
1990-11,1.80,
1990-12,1.80,
1991-01,1.80,
1991-02,1.80,
1991-03,1.80,
1991-04,1.80,
1991-05,1.80,
1991-06,1.80,
1991-07,1.80,
1991-08,1.80,
1991-09,1.80,
1991-10,1.80,
1991-11,1.80,
1991-12,1.80,
1992-01,1.80,
1992-02,1.80,
1992-03,1.80,
1992-04,1.80,
1992-05,1.80,
1992-06,1.80,
1992-07,1.80,
1992-08,1.80,
1992-09,1.80,
1992-10,1.80,
1992-11,1.80,
1992-12,1.80,
1993-01,1.80,
1993-02,1.80,
1993-03,1.80,
1993-04,1.80,
1993-05,1.80,
1993-06,1.80,
1993-07,1.80,
1993-08,1.80,
1993-09,1.80,
1993-10,1.80,
1993-11,1.80,
1993-12,1.80,
1994-01,1.80,
1994-02,1.80,
1994-03,1.80,
1994-04,1.80,
1994-05,1.80,
1994-06,1.80,
1994-07,1.80,
1994-08,1.80,
1994-09,1.80,
1994-10,1.80,
1994-11,1.80,
1994-12,1.80,
1995-01,1.80,
1995-02,1.80,
1995-03,1.80,
1995-04,1.80,
1995-05,1.80,
1995-06,1.80,
1995-07,1.80,
1995-08,1.80,
1995-09,1.80,
1995-10,1.80,
1995-11,1.80,
