"",BBAI3.Q.DE.N.V.LE.F51M.LV.A1.S.2.N.E.Z,BBAI3.Q.DE.N.V.LE.F51M.LV.A1.S.2.N.E.Z_FLAGS
"",Liabilities / Life insurance companies / Shares and other equity - Unquoted shares and other equity / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:29:13,
2005-10,6981,
2006-01,6628,
2006-04,6081,
2006-07,6707,
2006-10,6874,
2007-01,7112,
2007-04,7910,
2007-07,8170,
2007-10,7790,
2008-01,7020,
2008-04,6617,
2008-07,6059,
2008-10,5594,
2009-01,4506,
2009-04,4565,
2009-07,5590,
2009-10,5670,
2010-01,6170,
2010-04,5520,
2010-07,5429,
2010-10,5834,
2011-01,6344,
2011-04,6048,
2011-07,4791,
2011-10,4906,
2012-01,5922,
2012-04,5456,
2012-07,6317,
2012-10,7137,
2013-01,7734,
2013-04,7906,
2013-07,8140,
2013-10,9045,
2014-01,8655,
2014-04,8683,
2014-07,8967,
