"",BBK01.CEH0BQ,BBK01.CEH0BQ_FLAGS
"",External financing debtor: Insurance corporations                    creditor: All sectors,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:20:35,
1991-01,11.5,
1991-04,4.4,
1991-07,11.7,
1991-10,5.7,
1992-01,18.1,
1992-04,0.2,
1992-07,17.9,
1992-10,5.8,
1993-01,13.7,
1993-04,2.9,
1993-07,22.7,
1993-10,6.7,
1994-01,22.1,
1994-04,16.2,
1994-07,11.5,
1994-10,0.3,
1995-01,10.7,
1995-04,13.4,
1995-07,15.0,
1995-10,16.1,
1996-01,25.4,
1996-04,14.0,
1996-07,11.8,
1996-10,7.5,
1997-01,29.7,
1997-04,15.1,
1997-07,12.8,
1997-10,17.2,
1998-01,23.2,
1998-04,17.9,
1998-07,14.8,
1998-10,19.3,
1999-01,26.1,
1999-04,11.4,
1999-07,14.2,
1999-10,21.6,
2000-01,28.6,
2000-04,15.4,
2000-07,11.2,
2000-10,7.5,
2001-01,21.5,
2001-04,13.1,
2001-07,15.7,
2001-10,39.9,
2002-01,37.5,
2002-04,11.9,
2002-07,13.0,
2002-10,16.9,
2003-01,12.0,
2003-04,11.4,
2003-07,5.7,
2003-10,53.9,
2004-01,21.3,
2004-04,5.0,
2004-07,7.0,
2004-10,13.7,
2005-01,27.9,
2005-04,9.8,
2005-07,16.3,
2005-10,47.6,
2006-01,9.9,
2006-04,21.0,
2006-07,7.0,
2006-10,21.5,
2007-01,12.0,
2007-04,16.7,
2007-07,11.0,
2007-10,24.3,
2008-01,7.9,
2008-04,1.0,
2008-07,13.5,
2008-10,9.3,
2009-01,25.0,
2009-04,-0.6,
2009-07,-0.4,
2009-10,4.4,
2010-01,32.9,
2010-04,8.0,
2010-07,9.6,
2010-10,25.3,
2011-01,22.5,
2011-04,22.3,
2011-07,9.1,
2011-10,13.1,
2012-01,37.4,
2012-04,8.4,
2012-07,12.4,
2012-10,36.0,
2013-01,32.4,
2013-04,1.5,
2013-07,7.6,
2013-10,17.0,
2014-01,32.2,
