"",BBK01.CEB4QB,BBK01.CEB4QB_FLAGS
"",Loans debtor: All sectors   (consolidated)                  creditor: Insurance corporations,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:20:44,
1991-01,101.6,
1991-04,101.6,
1991-07,105.0,
1991-10,103.3,
1992-01,105.7,
1992-04,106.9,
1992-07,109.4,
1992-10,107.3,
1993-01,109.7,
1993-04,112.0,
1993-07,115.3,
1993-10,114.3,
1994-01,116.9,
1994-04,119.5,
1994-07,120.9,
1994-10,122.2,
1995-01,117.3,
1995-04,120.1,
1995-07,122.8,
1995-10,124.3,
1996-01,129.0,
1996-04,130.2,
1996-07,132.6,
1996-10,129.9,
1997-01,132.8,
1997-04,135.1,
1997-07,136.8,
1997-10,132.1,
1998-01,134.9,
1998-04,135.9,
1998-07,137.8,
1998-10,132.4,
1999-01,123.9,
1999-04,125.9,
1999-07,127.4,
1999-10,131.8,
2000-01,136.5,
2000-04,138.6,
2000-07,140.8,
2000-10,137.6,
2001-01,139.7,
2001-04,142.3,
2001-07,143.9,
2001-10,152.6,
2002-01,156.2,
2002-04,159.3,
2002-07,162.2,
2002-10,175.6,
2003-01,179.6,
2003-04,182.2,
2003-07,185.0,
2003-10,199.5,
2004-01,206.2,
2004-04,208.6,
2004-07,210.4,
2004-10,219.2,
2005-01,219.3,
2005-04,219.1,
2005-07,223.6,
2005-10,213.8,
2006-01,213.7,
2006-04,214.8,
2006-07,212.1,
2006-10,208.9,
2007-01,199.8,
2007-04,199.9,
2007-07,200.3,
2007-10,200.5,
2008-01,198.0,
2008-04,199.2,
2008-07,200.9,
2008-10,201.0,
2009-01,210.8,
2009-04,216.4,
2009-07,218.9,
2009-10,221.7,
2010-01,227.7,
2010-04,230.2,
2010-07,231.8,
2010-10,233.4,
2011-01,235.6,
2011-04,236.8,
2011-07,238.1,
2011-10,238.3,
2012-01,241.0,
2012-04,241.5,
2012-07,243.2,
2012-10,242.4,
2013-01,245.3,
2013-04,244.8,
2013-07,244.9,
2013-10,244.5,
2014-01,247.8,
