"",BBFN1.M.DE.N.1.A.GB.S1P.F0.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.GB.S1P.F0.T.BN00.Z01.BGA.X001.D_FLAGS
1977-11,.,Value available later
1977-12,0.539,
1978-01,.,Value available later
1978-02,.,Value available later
1978-03,.,Value available later
1978-04,.,Value available later
1978-05,.,Value available later
1978-06,.,Value available later
1978-07,.,Value available later
1978-08,.,Value available later
1978-09,.,Value available later
1978-10,.,Value available later
1978-11,.,Value available later
1978-12,0.517,
1979-01,.,Value available later
1979-02,.,Value available later
1979-03,.,Value available later
1979-04,.,Value available later
1979-05,.,Value available later
1979-06,.,Value available later
1979-07,.,Value available later
1979-08,.,Value available later
1979-09,.,Value available later
1979-10,.,Value available later
1979-11,.,Value available later
1979-12,0.643,
1980-01,.,Value available later
1980-02,.,Value available later
1980-03,.,Value available later
1980-04,.,Value available later
1980-05,.,Value available later
1980-06,.,Value available later
1980-07,.,Value available later
1980-08,.,Value available later
1980-09,.,Value available later
1980-10,.,Value available later
1980-11,.,Value available later
1980-12,1.245,
1981-01,.,Value available later
1981-02,.,Value available later
1981-03,.,Value available later
1981-04,.,Value available later
1981-05,.,Value available later
1981-06,.,Value available later
1981-07,.,Value available later
1981-08,.,Value available later
1981-09,.,Value available later
1981-10,.,Value available later
1981-11,.,Value available later
1981-12,1.165,
1982-01,.,Value available later
1982-02,.,Value available later
1982-03,.,Value available later
1982-04,.,Value available later
1982-05,.,Value available later
1982-06,.,Value available later
1982-07,.,Value available later
1982-08,.,Value available later
1982-09,1.465,
1982-10,1.717,
1982-11,1.797,
1982-12,1.726,
1983-01,2.029,
1983-02,1.623,
1983-03,1.466,
1983-04,1.598,
1983-05,1.783,
1983-06,1.778,
1983-07,1.676,
1983-08,1.651,
1983-09,1.655,
1983-10,1.599,
1983-11,1.640,
1983-12,1.323,
1984-01,1.925,
1984-02,1.849,
1984-03,2.335,
1984-04,2.580,
1984-05,2.749,
1984-06,1.923,
1984-07,2.063,
1984-08,2.250,
1984-09,2.307,
1984-10,2.767,
1984-11,2.911,
1984-12,2.872,
1985-01,2.768,
1985-02,3.195,
1985-03,3.548,
1985-04,4.097,
1985-05,4.149,
1985-06,4.423,
1985-07,4.589,
1985-08,4.513,
1985-09,4.406,
1985-10,5.629,
1985-11,4.952,
1985-12,4.666,
1986-01,6.613,
1986-02,7.410,
1986-03,10.184,
1986-04,11.731,
1986-05,11.698,
1986-06,10.745,
1986-07,11.292,
1986-08,11.019,
1986-09,11.006,
1986-10,11.847,
1986-11,12.075,
1986-12,9.992,
1987-01,11.665,
1987-02,12.108,
1987-03,12.620,
1987-04,13.579,
1987-05,12.778,
1987-06,12.337,
1987-07,13.243,
1987-08,13.434,
1987-09,12.584,
1987-10,13.766,
1987-11,13.087,
1987-12,11.874,
1988-01,14.076,
1988-02,13.639,
1988-03,14.179,
1988-04,13.721,
1988-05,14.321,
1988-06,13.603,
1988-07,13.774,
1988-08,13.522,
1988-09,13.252,
1988-10,13.517,
1988-11,12.996,
1988-12,11.669,
1989-01,15.482,
1989-02,16.627,
1989-03,16.620,
1989-04,17.323,
1989-05,17.795,
1989-06,18.076,
1989-07,17.972,
1989-08,17.934,
1989-09,17.780,
1989-10,20.416,
1989-11,21.296,
1989-12,18.191,
1990-01,22.358,
1990-02,23.030,
1990-03,24.227,
1990-04,24.894,
1990-05,23.723,
1990-06,23.975,
1990-07,24.960,
1990-08,23.632,
1990-09,23.073,
1990-10,24.685,
1990-11,24.726,
1990-12,24.036,
1991-01,25.819,
1991-02,26.797,
1991-03,27.065,
1991-04,27.499,
1991-05,26.637,
1991-06,25.641,
1991-07,27.242,
1991-08,25.269,
1991-09,24.980,
1991-10,26.891,
1991-11,26.549,
1991-12,24.261,
1992-01,27.073,
1992-02,27.486,
1992-03,27.301,
1992-04,28.236,
1992-05,27.823,
1992-06,27.925,
1992-07,26.871,
1992-08,25.944,
1992-09,26.715,
1992-10,30.674,
1992-11,30.418,
1992-12,29.256,
1993-01,32.999,
1993-02,35.352,
1993-03,32.392,
1993-04,34.589,
1993-05,33.743,
1993-06,34.633,
1993-07,37.119,
1993-08,34.909,
1993-09,36.843,
1993-10,40.508,
1993-11,40.975,
1993-12,36.519,
1994-01,43.227,
1994-02,40.309,
1994-03,40.490,
1994-04,40.376,
1994-05,40.319,
1994-06,40.147,
1994-07,40.621,
1994-08,39.887,
1994-09,39.063,
1994-10,40.764,
1994-11,42.438,
1994-12,40.159,
1995-01,43.461,
1995-02,43.199,
1995-03,42.378,
1995-04,44.122,
1995-05,43.414,
1995-06,43.991,
1995-07,45.121,
1995-08,41.600,
1995-09,43.761,
1995-10,43.367,
1995-11,43.473,
1995-12,37.665,
1996-01,42.841,
1996-02,41.541,
1996-03,40.750,
1996-04,46.559,
1996-05,48.688,
1996-06,45.715,
1996-07,45.260,
1996-08,44.717,
1996-09,43.419,
1996-10,46.426,
1996-11,47.376,
1996-12,46.557,
1997-01,49.294,
1997-02,50.982,
1997-03,49.627,
1997-04,54.364,
1997-05,54.760,
1997-06,50.723,
1997-07,51.554,
1997-08,49.885,
1997-09,51.152,
1997-10,54.920,
1997-11,50.581,
1997-12,44.749,
1998-01,55.446,
1998-02,59.787,
1998-03,61.209,
1998-04,68.224,
1998-05,70.009,
1998-06,63.517,
1998-07,62.625,
1998-08,56.832,
1998-09,57.555,
1998-10,60.324,
1998-11,54.882,
1998-12,44.541,
1999-01,41.516,
1999-02,45.665,
1999-03,46.299,
1999-04,48.298,
1999-05,49.757,
1999-06,49.987,
1999-07,47.013,
1999-08,46.023,
1999-09,45.459,
1999-10,45.367,
1999-11,46.268,
1999-12,36.866,
2000-01,42.380,
2000-02,46.762,
2000-03,55.346,
2000-04,56.099,
2000-05,59.671,
2000-06,60.893,
2000-07,56.530,
2000-08,53.916,
2000-09,47.037,
2000-10,52.344,
2000-11,44.423,
2000-12,38.750,
2001-01,50.723,
2001-02,57.661,
2001-03,59.834,
2001-04,63.952,
2001-05,52.690,
2001-06,53.969,
2001-07,52.168,
2001-08,52.590,
2001-09,52.212,
2001-10,54.288,
2001-11,50.539,
2001-12,53.077,
2002-01,56.547,
2002-02,58.684,
2002-03,57.158,
2002-04,62.828,
2002-05,58.576,
2002-06,53.185,
2002-07,58.720,
2002-08,58.151,
2002-09,59.313,
2002-10,64.906,
2002-11,62.411,
2002-12,52.487,
2003-01,60.969,
2003-02,64.756,
2003-03,70.835,
2003-04,74.108,
2003-05,72.760,
2003-06,69.978,
2003-07,75.762,
2003-08,71.635,
2003-09,68.236,
2003-10,72.538,
2003-11,67.801,
2003-12,63.715,
2004-01,72.053,
2004-02,73.560,
2004-03,74.377,
2004-04,75.053,
2004-05,72.328,
2004-06,71.458,
2004-07,73.281,
2004-08,73.239,
2004-09,74.250,
2004-10,76.071,
2004-11,71.218,
2004-12,63.975,
2005-01,70.239,
2005-02,72.515,
2005-03,73.378,
2005-04,71.696,
2005-05,72.673,
2005-06,70.436,
2005-07,70.313,
2005-08,66.165,
2005-09,70.711,
2005-10,68.203,
2005-11,69.172,
2005-12,62.114,
2006-01,67.633,
2006-02,69.100,
2006-03,69.653,
2006-04,68.551,
2006-05,69.040,
2006-06,68.951,
2006-07,65.594,
2006-08,65.851,
2006-09,70.792,
2006-10,71.600,
2006-11,70.152,
2006-12,60.813,
2007-01,69.158,
2007-02,73.922,
2007-03,73.102,
2007-04,73.018,
2007-05,71.888,
2007-06,69.570,
2007-07,70.371,
2007-08,74.386,
2007-09,75.557,
2007-10,83.579,
2007-11,76.072,
2007-12,68.615,
2008-01,81.703,
2008-02,78.918,
2008-03,77.386,
2008-04,80.986,
2008-05,75.335,
2008-06,70.262,
2008-07,71.675,
2008-08,69.895,
2008-09,71.929,
2008-10,70.230,
2008-11,68.296,
2008-12,65.915,
2009-01,71.247,
2009-02,72.157,
2009-03,76.041,
2009-04,76.870,
2009-05,73.644,
2009-06,75.188,
2009-07,75.040,
2009-08,74.965,
2009-09,73.484,
2009-10,75.288,
2009-11,71.174,
2009-12,65.908,
2010-01,67.533,
2010-02,69.897,
2010-03,74.239,
2010-04,74.559,
2010-05,73.769,
2010-06,71.679,
2010-07,75.043,
2010-08,74.943,
2010-09,80.564,
2010-10,79.407,
2010-11,78.806,
2010-12,69.649,
2011-01,76.907,
2011-02,77.458,
2011-03,73.262,
2011-04,74.371,
2011-05,75.295,
2011-06,73.774,
2011-07,73.892,
2011-08,77.110,
2011-09,73.322,
2011-10,79.613,
2011-11,74.156,
2011-12,71.428,
2012-01,72.866,
2012-02,75.227,
2012-03,85.230,
2012-04,80.570,
2012-05,81.506,
2012-06,87.723,
2012-07,90.531,
2012-08,86.386,
2012-09,88.658,
2012-10,88.072,
2012-11,89.255,
2012-12,83.149,
2013-01,88.649,
2013-02,87.175,
2013-03,89.392,
2013-04,88.118,
2013-05,85.642,
2013-06,84.556,
2013-07,83.258,
2013-08,83.415,
2013-09,88.507,
2013-10,91.858,
2013-11,90.701,
2013-12,88.270,
2014-01,92.968,
2014-02,88.816,
2014-03,95.963,
2014-04,95.063,
2014-05,101.165,
2014-06,91.068,
2014-07,94.986,
2014-08,97.039,
2014-09,96.029,
2014-10,94.350,
2014-11,87.680,
2014-12,80.936,
"","General: Up to December 2002, including Guernsey, Jersey and the Isle of Man.",
