"",BBK01.BQ1723,BBK01.BQ1723_FLAGS
"","Central, state and local government debt by creditor - debt owed to the social security funds",
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-16 16:36:32,
1991-01,971,comment
1991-04,1176,
1991-07,920,
1991-10,1125,
1992-01,1125,
1992-04,1380,
1992-07,1023,
1992-10,1227,
1993-01,971,
1993-04,1023,
1993-07,971,
1993-10,818,
1994-01,716,
1994-04,614,
1994-07,614,
1994-10,665,
1995-01,614,
1995-04,562,
1995-07,614,
1995-10,665,
1996-01,665,
1996-04,562,
1996-07,511,
1996-10,409,
1997-01,409,
1997-04,358,
1997-07,358,
1997-10,358,
1998-01,307,
1998-04,307,
1998-07,256,
1998-10,281,
1999-01,256,
1999-04,256,
1999-07,256,
1999-10,281,
2000-01,281,
2000-04,281,
2000-07,281,
2000-10,211,
2001-01,205,
2001-04,199,
2001-07,179,
2001-10,174,
2002-01,218,
2002-04,239,
2002-07,227,
2002-10,137,
2003-01,135,
2003-04,135,
2003-07,317,
2003-10,341,
2004-01,148,
2004-04,148,
2004-07,145,
2004-10,97,
2005-01,101,
2005-04,93,
2005-07,93,
2005-10,80,
2006-01,78,
2006-04,77,
2006-07,77,
2006-10,72,
2007-01,72,
2007-04,72,
2007-07,72,
2007-10,68,
2008-01,67,
2008-04,68,
2008-07,68,
2008-10,62,
2009-01,66,
2009-04,72,
2009-07,72,
2009-10,59,
2010-01,60,
2010-04,60,
2010-07,65,
2010-10,21,
2011-01,87,
2011-04,82,
2011-07,82,
2011-10,102,
2012-01,91,
2012-04,92,
2012-07,92,
2012-10,70,
2013-01,20,
2013-04,23,
2013-07,28,
2013-10,46,
2014-01,21,
2014-04,16,
2014-07,16,
"",General: Excluding hospitals,
