"",BBFN1.M.DE.N.1.L.AR.S1P.F0.L.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.AR.S1P.F0.L.BN00.Z01.BGA.X001.D_FLAGS
1993-07,0.031,
1993-08,0.031,
1993-09,0.031,
1993-10,0.031,
1993-11,0.031,
1993-12,0.031,
1994-01,0.031,
1994-02,0.031,
1994-03,.,No value available
1994-04,.,No value available
1994-05,.,No value available
1994-06,.,No value available
1994-07,0.030,
1994-08,0.030,
1994-09,.,No value available
1994-10,.,No value available
1994-11,.,No value available
1994-12,.,No value available
1995-01,.,No value available
1995-02,.,No value available
1995-03,.,No value available
1995-04,.,No value available
1995-05,.,No value available
1995-06,.,No value available
1995-07,.,No value available
1995-08,0.004,
1995-09,0.004,
1995-10,0.004,
1995-11,0.004,
1995-12,.,No value available
1996-01,.,No value available
1996-02,.,No value available
1996-03,.,No value available
1996-04,.,No value available
1996-05,.,No value available
1996-06,.,No value available
1996-07,.,No value available
1996-08,.,No value available
1996-09,.,No value available
1996-10,.,No value available
1996-11,.,No value available
1996-12,.,No value available
1997-01,.,No value available
1997-02,.,No value available
1997-03,.,No value available
1997-04,.,No value available
1997-05,.,No value available
1997-06,.,No value available
1997-07,.,No value available
1997-08,.,No value available
1997-09,.,No value available
1997-10,.,No value available
1997-11,.,No value available
1997-12,.,No value available
1998-01,.,No value available
1998-02,.,No value available
1998-03,0.004,
1998-04,.,No value available
1998-05,.,No value available
1998-06,.,No value available
1998-07,.,No value available
1998-08,.,No value available
1998-09,0.005,
1998-10,0.021,
1998-11,0.021,
1998-12,0.021,
1999-01,0.018,
1999-02,0.018,
1999-03,0.018,
1999-04,0.018,
1999-05,0.018,
1999-06,0.018,
1999-07,0.018,
1999-08,0.018,
1999-09,0.018,
1999-10,0.001,
1999-11,0.001,
1999-12,0.001,
2000-01,0.001,
2000-02,0.001,
2000-03,0.001,
2000-04,0.001,
2000-05,0.012,
2000-06,0.012,
2000-07,0.012,
2000-08,0.012,
2000-09,0.014,
2000-10,0.014,
2000-11,0.026,
2000-12,0.025,
2001-01,0.025,
2001-02,0.025,
2001-03,0.001,
2001-04,0.001,
2001-05,0.001,
2001-06,0.001,
2001-07,0.001,
2001-08,0.001,
2001-09,0.001,
2001-10,0.001,
2001-11,0.015,
2001-12,0.001,
2002-01,0.002,
2002-02,0.002,
2002-03,0.000,
2002-04,0.000,
2002-05,0.000,
2002-06,0.000,
2002-07,0.000,
2002-08,0.000,
2002-09,0.000,
2002-10,0.000,
2002-11,0.001,
2002-12,0.000,
2003-01,0.000,
2003-02,0.000,
2003-03,0.000,
2003-04,0.000,
2003-05,0.000,
2003-06,0.000,
2003-07,0.000,
2003-08,0.000,
2003-09,0.000,
2003-10,0.000,
2003-11,0.000,
2003-12,0.000,
2004-01,0.000,
2004-02,0.000,
2004-03,0.000,
2004-04,0.000,
2004-05,0.000,
2004-06,0.000,
2004-07,0.000,
2004-08,0.000,
2004-09,0.000,
2004-10,0.000,
2004-11,0.000,
2004-12,0.000,
2005-01,0.000,
2005-02,0.000,
2005-03,0.000,
2005-04,0.000,
2005-05,0.000,
2005-06,0.000,
2005-07,0.000,
2005-08,0.000,
2005-09,0.000,
2005-10,0.000,
2005-11,0.000,
2005-12,0.000,
2006-01,0.000,
2006-02,0.000,
2006-03,0.000,
2006-04,0.001,
2006-05,0.001,
2006-06,0.000,
2006-07,0.000,
2006-08,0.000,
2006-09,0.000,
2006-10,0.000,
2006-11,0.000,
2006-12,0.000,
2007-01,0.000,
2007-02,0.000,
2007-03,0.000,
2007-04,0.000,
2007-05,0.000,
2007-06,0.000,
2007-07,0.000,
2007-08,0.000,
2007-09,0.000,
2007-10,0.000,
2007-11,0.000,
2007-12,0.000,
2008-01,0.000,
2008-02,0.000,
2008-03,0.000,
2008-04,0.000,
2008-05,0.000,
2008-06,0.000,
2008-07,0.000,
2008-08,0.000,
2008-09,0.000,
2008-10,0.000,
2008-11,0.000,
2008-12,0.000,
2009-01,0.000,
2009-02,0.000,
2009-03,0.000,
2009-04,-,Nothing exists
2009-05,0.000,
2009-06,0.000,
2009-07,0.000,
2009-08,.,No value available
2009-09,0.025,
2009-10,0.024,
2009-11,0.024,
2009-12,.,No value available
2010-01,.,No value available
2010-02,.,No value available
2010-03,0.027,
2010-04,.,No value available
2010-05,.,No value available
2010-06,0.030,
2010-07,.,No value available
2010-08,.,No value available
2010-09,.,No value available
2010-10,.,No value available
2010-11,.,No value available
2010-12,.,No value available
2011-01,.,No value available
2011-02,.,No value available
2011-03,.,No value available
2011-04,.,No value available
2011-05,.,No value available
2011-06,.,No value available
2011-07,.,No value available
2011-08,.,No value available
2011-09,.,No value available
2011-10,.,No value available
2011-11,.,No value available
2011-12,0.028,
2012-01,.,No value available
2012-02,.,No value available
2012-03,.,No value available
2012-04,.,No value available
2012-05,.,No value available
2012-06,.,No value available
2012-07,.,No value available
2012-08,.,No value available
2012-09,0.028,
2012-10,0.028,
2012-11,0.028,
2012-12,0.028,
2013-01,0.003,
2013-02,0.003,
2013-03,.,No value available
2013-04,.,No value available
2013-05,.,No value available
2013-06,0.003,
2013-07,0.003,
2013-08,0.003,
2013-09,0.003,
2013-10,0.000,
2013-11,0.003,
2013-12,0.003,
2014-01,0.003,
2014-02,0.003,
2014-03,0.003,
2014-04,0.003,
2014-05,0.003,
2014-06,0.003,
2014-07,0.003,
2014-08,0.003,
2014-09,0.003,
2014-10,0.003,
2014-11,0.003,
2014-12,0.003,
