"",BBK01.BQ2927,BBK01.BQ2927_FLAGS
"","Central, state and local government - budgetary accounts (Germany as a whole) - fixed asset formation",
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-16 16:35:08,
1991-01,5577,
1991-04,8157,
1991-07,10617,
1991-10,17659,
1992-01,7789,
1992-04,9878,
1992-07,11938,
1992-10,19177,
1993-01,7669,
1993-04,9809,
1993-07,11598,
1993-10,17845,
1994-01,7199,
1994-04,9178,
1994-07,11075,
1994-10,17250,
1995-01,6923,
1995-04,8783,
1995-07,10772,
1995-10,16497,
1996-01,6557,
1996-04,8094,
1996-07,10435,
1996-10,15575,
1997-01,6077,
1997-04,8154,
1997-07,10041,
1997-10,14973,
1998-01,6061,
1998-04,8111,
1998-07,10056,
1998-10,14859,
1999-01,6293,
1999-04,8219,
1999-07,10303,
1999-10,14957,
2000-01,6578,
2000-04,8349,
2000-07,10074,
2000-10,14482,
2001-01,6542,
2001-04,8018,
2001-07,10017,
2001-10,14499,
2002-01,6508,
2002-04,7825,
2002-07,9699,
2002-10,13623,
2003-01,5636,
2003-04,7546,
2003-07,9194,
2003-10,12878,Provisional value
2004-01,5441,Provisional value
2004-04,6784,Provisional value
2004-07,8547,Provisional value
2004-10,12602,Provisional value
2005-01,4569,Provisional value
2005-04,6432,Provisional value
2005-07,8622,Provisional value
2005-10,12498,Provisional value
2006-01,4791,Provisional value
2006-04,6365,Provisional value
2006-07,8412,Provisional value
2006-10,12911,Provisional value
2007-01,5311,Provisional value
2007-04,6671,Provisional value
2007-07,8639,Provisional value
2007-10,12747,Provisional value
2008-01,5272,Provisional value
2008-04,7247,Provisional value
2008-07,9023,Provisional value
2008-10,13595,Provisional value
2009-01,4972,Provisional value
2009-04,7457,Provisional value
2009-07,10472,Provisional value
2009-10,16269,Provisional value
2010-01,5478,Provisional value
2010-04,8148,Provisional value
2010-07,10548,Provisional value
2010-10,16578,Provisional value
2011-01,6272,Provisional value
2011-04,8730,Provisional value
2011-07,10847,Provisional value
2011-10,15304,Provisional value
2012-01,6931,Provisional value
2012-04,8214,Provisional value
2012-07,10397,Provisional value
2012-10,14244,Provisional value
2013-01,5883,Provisional value
2013-04,8418,Provisional value
2013-07,11442,Provisional value
2013-10,15386,Provisional value
2014-01,7614,Provisional value
2014-04,9450,Provisional value
"",General: For Germany as a whole (excluding hospitals with commercial accounting practices),
