"",BBK01.CEL6L0,BBK01.CEL6L0_FLAGS
"","Insurance, pension and standardised guarantees debtor: Pension funds                creditor: Total",
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:50:53,
1999-01,4.0,
1999-04,2.6,
1999-07,3.1,
1999-10,4.0,
2000-01,4.1,
2000-04,2.6,
2000-07,2.9,
2000-10,3.3,
2001-01,4.0,
2001-04,2.3,
2001-07,2.9,
2001-10,0.9,
2002-01,3.9,
2002-04,2.3,
2002-07,2.7,
2002-10,-1.6,
2003-01,3.5,
2003-04,2.2,
2003-07,2.4,
2003-10,2.1,
2004-01,3.0,
2004-04,2.1,
2004-07,2.1,
2004-10,3.5,
2005-01,3.1,
2005-04,2.2,
2005-07,2.2,
2005-10,6.0,
2006-01,7.6,
2006-04,4.0,
2006-07,6.1,
2006-10,5.8,
2007-01,7.3,
2007-04,5.2,
2007-07,7.1,
2007-10,10.4,
2008-01,3.3,
2008-04,3.6,
2008-07,3.7,
2008-10,3.3,
2009-01,9.3,
2009-04,1.2,
2009-07,-0.1,
2009-10,5.3,
2010-01,13.9,
2010-04,5.4,
2010-07,-0.2,
2010-10,4.5,
2011-01,10.5,
2011-04,4.4,
2011-07,2.0,
2011-10,5.4,
2012-01,11.4,
2012-04,3.7,
2012-07,0.0,
2012-10,3.4,
2013-01,10.8,
2013-04,3.2,
2013-07,-1.1,
2013-10,2.4,
2014-01,6.9,
2014-04,4.9,
2014-07,3.5,
