"",BBAI3.Q.DE.N.V.LE.F7.S125.A1.S.1.N.E.Z,BBAI3.Q.DE.N.V.LE.F7.S125.A1.S.1.N.E.Z_FLAGS
"",Assets / Insurance corporations and pension funds (ICPFs) / Other accounts receivable/payable / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:27:30,
2005-10,76879,
2006-01,73624,
2006-04,70502,
2006-07,69473,
2006-10,68682,
2007-01,67785,
2007-04,66696,
2007-07,64854,
2007-10,63103,
2008-01,62222,
2008-04,61440,
2008-07,62194,
2008-10,63354,
2009-01,63904,
2009-04,64074,
2009-07,62566,
2009-10,61213,
2010-01,62051,
2010-04,62762,
2010-07,63261,
2010-10,67246,
2011-01,66291,
2011-04,65541,
2011-07,65026,
2011-10,67147,
2012-01,63823,
2012-04,63964,
2012-07,64255,
2012-10,64355,
2013-01,65552,
2013-04,65553,
2013-07,64853,
2013-10,65173,
2014-01,63525,
2014-04,63668,
2014-07,64318,
