"",BBK01.CEH00B,BBK01.CEH00B_FLAGS
"",Acquisition of financial assets debtor: All sectors                   creditor: Insurance corporations,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:19:05,
1991-01,13.2,
1991-04,5.1,
1991-07,12.2,
1991-10,7.4,
1992-01,20.9,
1992-04,1.1,
1992-07,18.4,
1992-10,3.8,
1993-01,15.4,
1993-04,5.1,
1993-07,23.6,
1993-10,5.0,
1994-01,19.0,
1994-04,20.6,
1994-07,13.7,
1994-10,-1.6,
1995-01,25.4,
1995-04,14.3,
1995-07,16.5,
1995-10,16.2,
1996-01,27.0,
1996-04,15.3,
1996-07,13.2,
1996-10,5.3,
1997-01,32.1,
1997-04,16.8,
1997-07,15.0,
1997-10,16.4,
1998-01,25.1,
1998-04,20.3,
1998-07,16.0,
1998-10,17.7,
1999-01,29.4,
1999-04,12.4,
1999-07,14.9,
1999-10,25.1,
2000-01,32.2,
2000-04,16.8,
2000-07,12.6,
2000-10,3.0,
2001-01,25.0,
2001-04,14.8,
2001-07,17.8,
2001-10,50.9,
2002-01,46.8,
2002-04,17.3,
2002-07,18.4,
2002-10,19.0,
2003-01,17.5,
2003-04,15.3,
2003-07,9.2,
2003-10,47.2,
2004-01,23.5,
2004-04,5.5,
2004-07,8.6,
2004-10,11.7,
2005-01,30.3,
2005-04,7.8,
2005-07,15.0,
2005-10,28.9,
2006-01,12.8,
2006-04,20.3,
2006-07,8.6,
2006-10,16.5,
2007-01,14.1,
2007-04,16.8,
2007-07,14.9,
2007-10,20.6,
2008-01,10.4,
2008-04,1.9,
2008-07,14.7,
2008-10,8.3,
2009-01,22.6,
2009-04,-3.6,
2009-07,-0.7,
2009-10,3.0,
2010-01,36.4,
2010-04,8.9,
2010-07,12.5,
2010-10,24.8,
2011-01,26.8,
2011-04,24.5,
2011-07,12.7,
2011-10,16.9,
2012-01,41.6,
2012-04,10.0,
2012-07,15.5,
2012-10,40.0,
2013-01,38.8,
2013-04,3.6,
2013-07,11.5,
2013-10,22.4,
2014-01,42.5,
