"",BBSF2.M.1.S.00000.HED01.T.F.ANZ.Z5.00000.000000.Z01.00,BBSF2.M.1.S.00000.HED01.T.F.ANZ.Z5.00000.000000.Z01.00_FLAGS
"",Special investors funds / Hedgefunds / Number / Not defined / Cumulative funds,
unit,Stück (hypothetically euro-based),
unit multiplier,one,
last update,2014-12-29 10:53:00,
2004-01,-,Nothing exists
2004-02,-,Nothing exists
2004-03,-,Nothing exists
2004-04,-,Nothing exists
2004-05,-,Nothing exists
2004-06,-,Nothing exists
2004-07,-,Nothing exists
2004-08,-,Nothing exists
2004-09,-,Nothing exists
2004-10,-,Nothing exists
2004-11,-,Nothing exists
2004-12,-,Nothing exists
2005-01,-,Nothing exists
2005-02,-,Nothing exists
2005-03,-,Nothing exists
2005-04,-,Nothing exists
2005-05,1,
2005-06,1,
2005-07,1,
2005-08,1,
2005-09,1,
2005-10,1,
2005-11,1,
2005-12,1,
2006-01,1,
2006-02,1,
2006-03,1,
2006-04,1,
2006-05,1,
2006-06,1,
2006-07,1,
2006-08,1,
2006-09,1,
2006-10,1,
2006-11,1,
2006-12,1,
2007-01,-,Nothing exists
2007-02,-,Nothing exists
2007-03,-,Nothing exists
2007-04,1,
2007-05,1,
2007-06,1,
2007-07,1,
2007-08,1,
2007-09,1,
2007-10,1,
2007-11,1,
2007-12,1,
2008-01,1,
2008-02,1,
2008-03,1,
2008-04,1,
2008-05,1,
2008-06,1,
2008-07,1,
2008-08,1,
2008-09,1,
2008-10,1,
2008-11,1,
2008-12,1,
2009-01,1,
2009-02,1,
2009-03,1,
2009-04,1,
2009-05,1,
2009-06,1,
2009-07,1,
2009-08,1,
2009-09,1,
2009-10,1,
2009-11,1,
2009-12,1,
2010-01,1,
2010-02,1,
2010-03,1,
2010-04,1,
2010-05,1,
2010-06,1,
2010-07,1,
2010-08,1,
2010-09,1,
2010-10,1,
2010-11,1,
2010-12,1,
2011-01,1,
2011-02,1,
2011-03,1,
2011-04,1,
2011-05,1,
2011-06,1,
2011-07,1,
2011-08,1,
2011-09,1,
2011-10,1,
2011-11,1,
2011-12,1,
2012-01,1,
2012-02,1,
2012-03,2,
2012-04,2,
2012-05,2,
2012-06,2,
2012-07,2,
2012-08,2,
2012-09,2,
2012-10,3,
2012-11,2,
2012-12,1,
2013-01,1,
2013-02,1,
2013-03,1,
2013-04,2,
2013-05,2,
2013-06,2,
2013-07,7,
2013-08,8,
2013-09,8,
2013-10,8,
2013-11,8,
2013-12,8,
2014-01,8,
2014-02,8,
2014-03,8,
2014-04,8,
2014-05,8,
2014-06,8,
2014-07,8,
2014-08,8,
2014-09,8,
2014-10,8,
2014-11,8,
