"",BBFN1.M.DE.N.1.L.W03100.S1P.F0.L.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.W03100.S1P.F0.L.N000.Z01.BGA.X001.D_FLAGS
"",Long-term liabilities of enterprises vis-à-vis foreign non-banks arising from financial operations / Total / Emerging economies and developing countries,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:08:09,
1995-01,3.137,
1995-02,3.178,
1995-03,3.154,
1995-04,3.096,
1995-05,3.113,
1995-06,3.096,
1995-07,3.045,
1995-08,3.126,
1995-09,3.500,
1995-10,3.959,
1995-11,4.150,
1995-12,4.139,
1996-01,4.159,
1996-02,4.217,
1996-03,4.210,
1996-04,4.238,
1996-05,4.215,
1996-06,4.244,
1996-07,4.278,
1996-08,4.279,
1996-09,4.277,
1996-10,4.175,
1996-11,4.204,
1996-12,4.248,
1997-01,4.304,
1997-02,4.444,
1997-03,4.539,
1997-04,4.702,
1997-05,4.690,
1997-06,4.551,
1997-07,4.748,
1997-08,4.768,
1997-09,4.768,
1997-10,4.794,
1997-11,4.746,
1997-12,4.545,
1998-01,4.646,
1998-02,5.164,
1998-03,5.180,
1998-04,5.156,
1998-05,4.908,
1998-06,5.217,
1998-07,5.293,
1998-08,5.410,
1998-09,5.433,
1998-10,5.425,
1998-11,5.371,
1998-12,4.965,
1999-01,4.982,
1999-02,4.983,
1999-03,5.263,
1999-04,5.263,
1999-05,5.253,
1999-06,5.260,
1999-07,5.220,
1999-08,5.239,
1999-09,5.226,
1999-10,5.951,
1999-11,4.643,
1999-12,4.630,
2000-01,4.692,
2000-02,4.721,
2000-03,4.719,
2000-04,4.723,
2000-05,5.391,
2000-06,6.009,
2000-07,6.045,
2000-08,6.028,
2000-09,6.029,
2000-10,6.061,
2000-11,6.329,
2000-12,6.180,
2001-01,6.048,
2001-02,6.803,
2001-03,6.790,
2001-04,6.874,
2001-05,6.859,
2001-06,7.115,
2001-07,7.039,
2001-08,7.054,
2001-09,6.904,
2001-10,6.916,
2001-11,6.689,
2001-12,6.804,
2002-01,6.838,
2002-02,6.866,
2002-03,6.897,
2002-04,6.946,
2002-05,7.015,
2002-06,7.399,
2002-07,7.421,
2002-08,7.430,
2002-09,7.470,
2002-10,7.677,
2002-11,7.310,
2002-12,7.204,
2003-01,9.522,
2003-02,9.616,
2003-03,9.756,
2003-04,9.807,
2003-05,10.393,
2003-06,10.391,
2003-07,11.643,
2003-08,11.231,
2003-09,11.288,
2003-10,10.150,
2003-11,10.200,
2003-12,8.152,
2004-01,8.142,
2004-02,8.170,
2004-03,8.144,
2004-04,8.138,
2004-05,7.628,
2004-06,7.363,
2004-07,7.353,
2004-08,7.346,
2004-09,7.221,
2004-10,6.576,
2004-11,6.507,
2004-12,5.624,
2005-01,4.845,
2005-02,5.085,
2005-03,5.088,
2005-04,4.825,
2005-05,4.102,
2005-06,3.900,
2005-07,3.859,
2005-08,3.904,
2005-09,3.514,
2005-10,3.760,
2005-11,3.792,
2005-12,3.613,
2006-01,3.622,
2006-02,3.725,
2006-03,3.680,
2006-04,3.703,
2006-05,3.556,
2006-06,5.423,
2006-07,5.593,
2006-08,5.587,
2006-09,6.168,
2006-10,6.178,
2006-11,8.093,
2006-12,10.475,
2007-01,10.489,
2007-02,10.750,
2007-03,11.412,
2007-04,10.784,
2007-05,10.786,
2007-06,10.818,
2007-07,10.897,
2007-08,10.905,
2007-09,10.832,
2007-10,10.817,
2007-11,10.796,
2007-12,10.897,
2008-01,12.969,
2008-02,13.826,
2008-03,13.846,
2008-04,13.885,
2008-05,13.937,
2008-06,13.917,
2008-07,14.072,
2008-08,14.224,
2008-09,14.152,
2008-10,14.342,
2008-11,14.376,
2008-12,12.684,
2009-01,12.807,
2009-02,13.069,
2009-03,12.667,
2009-04,12.685,
2009-05,12.619,
2009-06,12.643,
2009-07,13.065,
2009-08,13.096,
2009-09,13.442,
2009-10,13.415,
2009-11,13.421,
2009-12,11.963,
2010-01,16.968,
2010-02,16.976,
2010-03,17.164,
2010-04,17.309,
2010-05,21.192,
2010-06,22.252,
2010-07,22.240,
2010-08,22.800,
2010-09,22.811,
2010-10,22.946,
2010-11,23.433,
2010-12,23.414,
2011-01,23.096,
2011-02,22.713,
2011-03,23.000,
2011-04,23.203,
2011-05,23.391,
2011-06,23.537,
2011-07,23.632,
2011-08,23.774,
2011-09,23.965,
2011-10,22.885,
2011-11,23.962,
2011-12,24.128,
2012-01,22.503,
2012-02,23.624,
2012-03,23.394,
2012-04,23.772,
2012-05,23.288,
2012-06,22.479,
2012-07,22.667,
2012-08,22.667,
2012-09,22.562,
2012-10,22.159,
2012-11,22.145,
2012-12,22.199,
2013-01,23.331,
2013-02,23.310,
2013-03,23.357,
2013-04,23.300,
2013-05,23.821,
2013-06,22.840,
2013-07,23.022,
2013-08,22.833,
2013-09,23.379,
2013-10,23.119,
2013-11,23.497,
2013-12,23.745,
2014-01,23.482,
2014-02,23.540,
2014-03,23.825,
2014-04,25.010,
2014-05,24.781,
2014-06,25.157,
2014-07,24.528,
2014-08,24.712,
2014-09,24.876,
2014-10,24.700,
2014-11,24.821,
2014-12,24.102,
"","General: All countries that are not regarded as industrial countries. Up to December 2010 including Niederl. Antillen; from January 2011 including Bonaire,St.Eustatius, Saba; Curacao; St.Martin (Dutch part)",
