"",BBEE1.Q.DE.AAA.XY0B02.R.AADTB.M00,BBEE1.Q.DE.AAA.XY0B02.R.AADTB.M00_FLAGS
"","Indicator of the German economy's price competitiveness against 25 selected industrial countries excluding the euro-area countries, based on the deflators of total sales",
unit,1Q99=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-19 14:44:53,
1972-01,106.9,
1972-04,106.2,
1972-07,106.7,
1972-10,105.3,
1973-01,109.3,
1973-04,114.2,
1973-07,126.1,
1973-10,119.9,
1974-01,116.0,
1974-04,118.4,
1974-07,114.4,
1974-10,116.1,
1975-01,117.7,
1975-04,115.7,
1975-07,109.4,
1975-10,108.4,
1976-01,109.0,
1976-04,110.3,
1976-07,110.5,
1976-10,115.6,
1977-01,113.5,
1977-04,113.4,
1977-07,113.3,
1977-10,113.4,
1978-01,114.8,
1978-04,113.5,
1978-07,110.3,
1978-10,114.3,
1979-01,116.3,
1979-04,114.3,
1979-07,115.3,
1979-10,119.4,
1980-01,117.8,
1980-04,113.8,
1980-07,111.7,
1980-10,102.7,
1981-01,96.4,
1981-04,94.0,
1981-07,92.9,
1981-10,97.2,
1982-01,94.7,
1982-04,96.0,
1982-07,94.7,
1982-10,96.0,
1983-01,98.3,
1983-04,95.0,
1983-07,91.8,
1983-10,90.9,
1984-01,90.5,
1984-04,89.6,
1984-07,86.9,
1984-10,85.4,
1985-01,84.0,
1985-04,83.8,
1985-07,86.1,
1985-10,89.4,
1986-01,94.9,
1986-04,94.3,
1986-07,98.2,
1986-10,102.5,
1987-01,105.8,
1987-04,103.1,
1987-07,102.3,
1987-10,104.8,
1988-01,103.2,
1988-04,100.3,
1988-07,96.7,
1988-10,98.0,
1989-01,95.8,
1989-04,95.3,
1989-07,95.7,
1989-10,100.3,
1990-01,105.4,
1990-04,105.8,
1990-07,104.0,
1990-10,105.7,
1991-01,105.1,
1991-04,99.8,
1991-07,99.8,
1991-10,104.1,
1992-01,104.7,
1992-04,105.9,
1992-07,112.0,
1992-10,113.0,
1993-01,111.6,
1993-04,109.8,
1993-07,106.6,
1993-10,107.1,
1994-01,104.8,
1994-04,106.7,
1994-07,110.2,
1994-10,110.1,
1995-01,113.5,
1995-04,115.4,
1995-07,115.4,
1995-10,116.7,
1996-01,114.6,
1996-04,111.3,
1996-07,112.2,
1996-10,110.1,
1997-01,105.3,
1997-04,102.0,
1997-07,97.7,
1997-10,100.4,
1998-01,98.2,
1998-04,100.5,
1998-07,102.7,
1998-10,104.0,
1999-01,100.0,
1999-04,96.3,
1999-07,94.6,
1999-10,91.9,
2000-01,88.6,
2000-04,85.1,
2000-07,83.9,
2000-10,82.2,
2001-01,86.9,
2001-04,84.1,
2001-07,85.7,
2001-10,86.3,
2002-01,85.6,
2002-04,87.1,
2002-07,89.6,
2002-10,90.7,
2003-01,94.6,
2003-04,98.3,
2003-07,97.8,
2003-10,99.0,
2004-01,100.9,
2004-04,98.3,
2004-07,98.8,
2004-10,101.1,
2005-01,101.8,
2005-04,99.0,
2005-07,97.8,
2005-10,96.6,
2006-01,96.9,
2006-04,98.5,
2006-07,98.7,
2006-10,99.2,
2007-01,100.5,
2007-04,101.9,
2007-07,102.1,
2007-10,104.5,
2008-01,105.8,
2008-04,108.5,
2008-07,106.5,
2008-10,100.6,
2009-01,102.1,
2009-04,103.9,
2009-07,105.2,
2009-10,106.7,
2010-01,101.7,
2010-04,96.5,
2010-07,95.7,
2010-10,97.8,
2011-01,97.0,
2011-04,99.9,
2011-07,97.3,
2011-10,95.4,
2012-01,93.5,
2012-04,92.5,
2012-07,90.5,
2012-10,93.1,
2013-01,96.6,
2013-04,97.7,
2013-07,98.4,
2013-10,99.8,
2014-01,100.4,
2014-04,99.7,
2014-07,97.6,
2014-10,.,No value available
"",Source: Bundesbank calculations on the basis of seasonally adjusted data on gross domestic product and imports nominal and real.,
"","Methodology: Geometrically weighted indicator of price competitiveness, based on the deflators of total sales.                                     Weighting scheme drawn up on the basis of foreign trade in the field of manufacturing (SITC 5-8). Starting with the period between 1995 and 1997, the weighting is updated every three years. The final respected weighting period until the current date: years between 2007 and 2009. In order to capture third-market effects, export shares were derived on the basis of the principle of ""double weighting"".                 For details of the methodology see the ECB's Occasional Paper No.134, which can be downloaded from the ECB's website (www.ecb.int).   Group of countries: Canada, Denmark, Japan, Norway, Sweden, Switzerland, the United Kingdom and the United States.",
