"",BBAI3.Q.DE.N.V.LE.F62.S1252.A1.S.2.N.E.Z,BBAI3.Q.DE.N.V.LE.F62.S1252.A1.S.2.N.E.Z_FLAGS
"",Liabilities / Pension undertakings / Prepayments of insurance premiums and res. for outstanding claims / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:28:14,
2005-10,378,
2006-01,383,
2006-04,388,
2006-07,391,
2006-10,399,
2007-01,379,
2007-04,363,
2007-07,351,
2007-10,345,
2008-01,358,
2008-04,367,
2008-07,377,
2008-10,389,
2009-01,400,
2009-04,410,
2009-07,420,
2009-10,425,
2010-01,432,
2010-04,436,
2010-07,439,
2010-10,430,
2011-01,441,
2011-04,452,
2011-07,464,
2011-10,478,
2012-01,470,
2012-04,458,
2012-07,449,
2012-10,445,
2013-01,452,
2013-04,457,
2013-07,462,
2013-10,471,
2014-01,465,
2014-04,471,
2014-07,475,
