"",BBEE1.Q.DE.AAA.U20000.R.AADTB.M00,BBEE1.Q.DE.AAA.U20000.R.AADTB.M00_FLAGS
"","Indicator of the German economy's price competitiveness against euro-area countries, based on the deflators of total sales",
unit,1Q99=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-19 14:44:52,
1972-01,102.7,
1972-04,101.6,
1972-07,100.5,
1972-10,99.5,
1973-01,102.0,
1973-04,105.0,
1973-07,110.8,
1973-10,105.4,
1974-01,106.8,
1974-04,109.2,
1974-07,103.8,
1974-10,105.0,
1975-01,104.2,
1975-04,100.0,
1975-07,96.6,
1975-10,95.5,
1976-01,98.0,
1976-04,101.5,
1976-07,101.2,
1976-10,103.0,
1977-01,102.1,
1977-04,101.6,
1977-07,102.2,
1977-10,103.5,
1978-01,105.0,
1978-04,103.1,
1978-07,101.7,
1978-10,102.8,
1979-01,102.3,
1979-04,100.9,
1979-07,101.1,
1979-10,100.5,
1980-01,99.4,
1980-04,98.6,
1980-07,96.9,
1980-10,94.3,
1981-01,93.4,
1981-04,93.9,
1981-07,92.7,
1981-10,94.6,
1982-01,94.0,
1982-04,95.6,
1982-07,96.3,
1982-10,96.2,
1983-01,96.9,
1983-04,97.7,
1983-07,97.5,
1983-10,97.2,
1984-01,96.6,
1984-04,95.3,
1984-07,94.3,
1984-10,93.8,
1985-01,92.8,
1985-04,92.7,
1985-07,93.5,
1985-10,94.1,
1986-01,94.9,
1986-04,95.5,
1986-07,96.8,
1986-10,97.1,
1987-01,97.9,
1987-04,97.3,
1987-07,96.8,
1987-10,97.5,
1988-01,96.8,
1988-04,96.2,
1988-07,96.0,
1988-10,96.3,
1989-01,95.2,
1989-04,94.5,
1989-07,93.9,
1989-10,94.5,
1990-01,94.9,
1990-04,94.2,
1990-07,93.1,
1990-10,93.5,
1991-01,93.4,
1991-04,94.2,
1991-07,94.4,
1991-10,95.8,
1992-01,95.4,
1992-04,95.7,
1992-07,97.3,
1992-10,101.3,
1993-01,103.2,
1993-04,103.3,
1993-07,105.3,
1993-10,106.2,
1994-01,105.1,
1994-04,104.7,
1994-07,105.5,
1994-10,105.8,
1995-01,108.0,
1995-04,109.6,
1995-07,107.1,
1995-10,106.9,
1996-01,104.7,
1996-04,103.2,
1996-07,102.9,
1996-10,102.1,
1997-01,101.7,
1997-04,101.2,
1997-07,100.5,
1997-10,100.6,
1998-01,100.2,
1998-04,100.4,
1998-07,100.2,
1998-10,100.2,
1999-01,100.0,
1999-04,99.8,
1999-07,99.3,
1999-10,98.7,
2000-01,97.9,
2000-04,97.2,
2000-07,97.1,
2000-10,96.6,
2001-01,96.4,
2001-04,95.9,
2001-07,96.1,
2001-10,96.2,
2002-01,95.7,
2002-04,95.2,
2002-07,95.0,
2002-10,94.9,
2003-01,94.6,
2003-04,94.4,
2003-07,94.2,
2003-10,93.8,
2004-01,93.5,
2004-04,93.3,
2004-07,93.0,
2004-10,92.4,
2005-01,92.4,
2005-04,92.0,
2005-07,91.7,
2005-10,90.8,
2006-01,90.5,
2006-04,90.3,
2006-07,90.0,
2006-10,89.7,
2007-01,89.8,
2007-04,89.6,
2007-07,89.1,
2007-10,88.5,
2008-01,88.3,
2008-04,87.9,
2008-07,87.7,
2008-10,87.8,
2009-01,88.2,
2009-04,88.6,
2009-07,88.7,
2009-10,88.9,
2010-01,88.4,
2010-04,88.1,
2010-07,88.2,
2010-10,88.2,
2011-01,88.0,
2011-04,88.0,
2011-07,88.0,
2011-10,87.9,
2012-01,87.8,
2012-04,87.9,
2012-07,87.9,
2012-10,88.0,
2013-01,88.1,
2013-04,88.4,
2013-07,88.4,
2013-10,88.7,
2014-01,89.0,
2014-04,89.2,
2014-07,89.1,
2014-10,.,No value available
"",Source: Bundesbank calculations on the basis of seasonally adjusted data on gross domestic product and imports nominal and real.,
"","Methodology: Geometrically weighted indicator of price competitiveness, based on the deflators of total sales.                                     Weighting scheme drawn up on the basis of foreign trade in the field of manufacturing (SITC 5-8). Starting with the period between 1995 and 1997, the weighting is updated every three years. The final respected weighting period until the current date: years between 2007 and 2009. In order to capture third-market effects, export shares were derived on the basis of the principle of ""double weighting"".                 For details of the methodology see the ECB's Occasional Paper No.134, which can be downloaded from the ECB's website (www.ecb.int).   Group of countries: Austria, Belgium, Cyprus (from 2008), Estonia (from 2011), Finland, France, Germany (up to 1990, West Germany as formerly defined), Greece (from 2001), Ireland, Italy, Latvia (from 2014), Lithuania (from 2015), Luxembourg, Malta (from 2008), Netherlands, Portugal, Slovakia (from 2009), Slovenia (from 2007) and Spain         (the reference country is included in the group of countries cited).",
