"",BBAI3.Q.DE.N.V.LE.F.RV.A1.S.2.N.E.Z,BBAI3.Q.DE.N.V.LE.F.RV.A1.S.2.N.E.Z_FLAGS
"",Liabilities / Reinsurance companies / Total financial assets / liabilities / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:29:36,
2005-10,326466,
2006-01,320691,
2006-04,311142,
2006-07,326760,
2006-10,335960,
2007-01,337032,
2007-04,344521,
2007-07,336002,
2007-10,327558,
2008-01,311027,
2008-04,300809,
2008-07,288676,
2008-10,273456,
2009-01,253237,
2009-04,253061,
2009-07,267187,
2009-10,266738,
2010-01,273990,
2010-04,265392,
2010-07,267517,
2010-10,274496,
2011-01,280502,
2011-04,278535,
2011-07,263852,
2011-10,269142,
2012-01,284699,
2012-04,280395,
2012-07,293482,
2012-10,307146,
2013-01,311225,
2013-04,312203,
2013-07,314924,
2013-10,326227,
2014-01,323362,
2014-04,321526,
2014-07,323062,
