"",BBK01.CEBFBQ,BBK01.CEBFBQ_FLAGS
"",longer-term loans debtor: Insurance corporations                   creditor: All sectors (consolidated),
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:20:49,
1991-01,0.6,
1991-04,0.7,
1991-07,0.6,
1991-10,0.8,
1992-01,0.8,
1992-04,0.8,
1992-07,0.8,
1992-10,0.8,
1993-01,0.8,
1993-04,0.8,
1993-07,0.9,
1993-10,0.7,
1994-01,0.7,
1994-04,0.9,
1994-07,0.9,
1994-10,1.3,
1995-01,1.5,
1995-04,1.5,
1995-07,1.7,
1995-10,1.2,
1996-01,1.4,
1996-04,1.4,
1996-07,1.5,
1996-10,1.5,
1997-01,1.5,
1997-04,2.1,
1997-07,2.2,
1997-10,2.6,
1998-01,2.7,
1998-04,2.6,
1998-07,2.7,
1998-10,2.9,
1999-01,2.9,
1999-04,3.1,
1999-07,3.3,
1999-10,3.3,
2000-01,2.1,
2000-04,2.4,
2000-07,2.4,
2000-10,2.4,
2001-01,2.5,
2001-04,2.5,
2001-07,2.3,
2001-10,2.5,
2002-01,2.6,
2002-04,2.8,
2002-07,2.9,
2002-10,3.3,
2003-01,3.4,
2003-04,6.6,
2003-07,6.5,
2003-10,6.0,
2004-01,6.2,
2004-04,5.7,
2004-07,5.7,
2004-10,8.7,
2005-01,8.8,
2005-04,9.1,
2005-07,10.0,
2005-10,10.9,
2006-01,11.5,
2006-04,11.7,
2006-07,12.6,
2006-10,13.6,
2007-01,12.1,
2007-04,11.7,
2007-07,11.7,
2007-10,8.2,
2008-01,8.5,
2008-04,8.9,
2008-07,9.1,
2008-10,8.6,
2009-01,8.9,
2009-04,8.9,
2009-07,8.9,
2009-10,9.4,
2010-01,9.3,
2010-04,9.5,
2010-07,10.2,
2010-10,6.1,
2011-01,5.3,
2011-04,5.2,
2011-07,5.4,
2011-10,5.0,
2012-01,4.8,
2012-04,4.8,
2012-07,4.8,
2012-10,5.3,
2013-01,5.8,
2013-04,5.4,
2013-07,5.4,
2013-10,5.3,
2014-01,4.8,
