"",BBSF2.M.1.P.00000.HED01.I.F.MAK.Z5.00000.000000.Z01.00,BBSF2.M.1.P.00000.HED01.I.F.MAK.Z5.00000.000000.Z01.00_FLAGS
2004-09,5,
2004-10,17,
2004-11,12,
2004-12,-18,
2005-01,67,
2005-02,28,
2005-03,-22,
2005-04,0,
2005-05,-1,
2005-06,3,
2005-07,0,
2005-08,83,
2005-09,-2,
2005-10,19,
2005-11,170,
2005-12,17,
2006-01,47,
2006-02,74,
2006-03,137,
2006-04,87,
2006-05,40,
2006-06,13,
2006-07,4,
2006-08,-16,
2006-09,106,
2006-10,50,
2006-11,43,
2006-12,-122,
2007-01,23,
2007-02,-64,
2007-03,-18,
2007-04,-87,
2007-05,-184,
2007-06,-7,
2007-07,-33,
2007-08,-28,
2007-09,-15,
2007-10,-16,
2007-11,40,
2007-12,-68,
2008-01,-23,
2008-02,-58,
2008-03,-18,
2008-04,-7,
2008-05,-42,
2008-06,-16,
2008-07,-26,
2008-08,-30,
2008-09,-11,
2008-10,-21,
2008-11,109,
2008-12,110,
2009-01,0,
2009-02,-6,
2009-03,100,
2009-04,-2,
2009-05,-6,
2009-06,-21,
2009-07,-121,
2009-08,0,
2009-09,-1,
2009-10,1,
2009-11,-3,
2009-12,-1,
2010-01,35,
2010-02,1,
2010-03,231,
2010-04,102,
2010-05,27,
2010-06,-153,
2010-07,-254,
2010-08,5,
2010-09,4,
2010-10,-14,
2010-11,1,
2010-12,16,
2011-01,8,
2011-02,4,
2011-03,5,
2011-04,9,
2011-05,16,
2011-06,-31,
2011-07,34,
2011-08,0,
2011-09,0,
2011-10,45,
2011-11,-3,
2011-12,8,
2012-01,36,
2012-02,-12,
2012-03,61,
2012-04,101,
2012-05,-9,
2012-06,-23,
2012-07,6,
2012-08,-9,
2012-09,6,
2012-10,3,
2012-11,-1,
2012-12,-5,
2013-01,20,
2013-02,25,
2013-03,27,
2013-04,37,
2013-05,30,
2013-06,-14,
2013-07,47,
2013-08,-6,
2013-09,5,
2013-10,21,
2013-11,-10,
2013-12,-21,
2014-01,43,
2014-02,-1,
2014-03,-3,
2014-04,19,
2014-05,1,
2014-06,-1,
2014-07,33,
2014-08,0,
2014-09,-1,
2014-10,28,
2014-11,0,
