"",BBK01.CEB50B,BBK01.CEB50B_FLAGS
"",Shares and other equity debtor: All sectors                    creditor: Insurance corporations,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:20:42,
1991-01,40.1,
1991-04,41.0,
1991-07,38.7,
1991-10,83.5,
1992-01,47.1,
1992-04,41.6,
1992-07,43.7,
1992-10,98.6,
1993-01,52.5,
1993-04,48.8,
1993-07,64.2,
1993-10,143.4,
1994-01,136.0,
1994-04,136.0,
1994-07,136.1,
1994-10,140.4,
1995-01,137.6,
1995-04,148.8,
1995-07,154.0,
1995-10,164.3,
1996-01,173.5,
1996-04,181.3,
1996-07,190.0,
1996-10,204.1,
1997-01,231.9,
1997-04,251.7,
1997-07,272.9,
1997-10,301.4,
1998-01,329.2,
1998-04,354.7,
1998-07,345.6,
1998-10,366.3,
1999-01,352.7,
1999-04,373.2,
1999-07,375.2,
1999-10,444.4,
2000-01,473.9,
2000-04,476.0,
2000-07,491.0,
2000-10,465.6,
2001-01,459.3,
2001-04,471.6,
2001-07,438.7,
2001-10,462.4,
2002-01,497.2,
2002-04,477.9,
2002-07,443.0,
2002-10,436.6,
2003-01,417.7,
2003-04,448.0,
2003-07,455.1,
2003-10,463.2,
2004-01,469.3,
2004-04,466.6,
2004-07,465.2,
2004-10,468.9,
2005-01,482.1,
2005-04,497.0,
2005-07,521.2,
2005-10,533.0,
2006-01,525.4,
2006-04,525.8,
2006-07,545.3,
2006-10,571.2,
2007-01,577.4,
2007-04,595.0,
2007-07,609.1,
2007-10,607.9,
2008-01,580.9,
2008-04,570.9,
2008-07,568.2,
2008-10,555.0,
2009-01,540.8,
2009-04,553.7,
2009-07,564.5,
2009-10,587.6,
2010-01,615.0,
2010-04,620.1,
2010-07,647.9,
2010-10,668.5,
2011-01,679.7,
2011-04,693.6,
2011-07,683.3,
2011-10,694.4,
2012-01,738.8,
2012-04,740.3,
2012-07,771.0,
2012-10,808.6,
2013-01,832.4,
2013-04,831.3,
2013-07,856.8,
2013-10,871.0,
2014-01,904.8,
