"",BBFB1.M.N.DE.W1.S1.S1.T.C.SC22._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.C.SC22._Z._Z._Z._T._X.N_FLAGS
1996-02,-,Nothing exists
1996-03,-,Nothing exists
1996-04,-,Nothing exists
1996-05,-,Nothing exists
1996-06,-,Nothing exists
1996-07,-,Nothing exists
1996-08,-,Nothing exists
1996-09,-,Nothing exists
1996-10,-,Nothing exists
1996-11,-,Nothing exists
1996-12,-,Nothing exists
1997-01,-,Nothing exists
1997-02,-,Nothing exists
1997-03,-,Nothing exists
1997-04,-,Nothing exists
1997-05,-,Nothing exists
1997-06,-,Nothing exists
1997-07,-,Nothing exists
1997-08,-,Nothing exists
1997-09,-,Nothing exists
1997-10,-,Nothing exists
1997-11,-,Nothing exists
1997-12,-,Nothing exists
1998-01,-,Nothing exists
1998-02,-,Nothing exists
1998-03,-,Nothing exists
1998-04,-,Nothing exists
1998-05,-,Nothing exists
1998-06,-,Nothing exists
1998-07,-,Nothing exists
1998-08,-,Nothing exists
1998-09,-,Nothing exists
1998-10,-,Nothing exists
1998-11,-,Nothing exists
1998-12,-,Nothing exists
1999-01,-,Nothing exists
1999-02,-,Nothing exists
1999-03,-,Nothing exists
1999-04,-,Nothing exists
1999-05,-,Nothing exists
1999-06,-,Nothing exists
1999-07,-,Nothing exists
1999-08,-,Nothing exists
1999-09,-,Nothing exists
1999-10,-,Nothing exists
1999-11,-,Nothing exists
1999-12,-,Nothing exists
2000-01,-,Nothing exists
2000-02,-,Nothing exists
2000-03,-,Nothing exists
2000-04,-,Nothing exists
2000-05,-,Nothing exists
2000-06,-,Nothing exists
2000-07,-,Nothing exists
2000-08,-,Nothing exists
2000-09,-,Nothing exists
2000-10,-,Nothing exists
2000-11,-,Nothing exists
2000-12,-,Nothing exists
2001-01,-,Nothing exists
2001-02,-,Nothing exists
2001-03,-,Nothing exists
2001-04,-,Nothing exists
2001-05,-,Nothing exists
2001-06,-,Nothing exists
2001-07,-,Nothing exists
2001-08,-,Nothing exists
2001-09,-,Nothing exists
2001-10,-,Nothing exists
2001-11,-,Nothing exists
2001-12,-,Nothing exists
2002-01,-,Nothing exists
2002-02,-,Nothing exists
2002-03,-,Nothing exists
2002-04,-,Nothing exists
2002-05,-,Nothing exists
2002-06,-,Nothing exists
2002-07,-,Nothing exists
2002-08,-,Nothing exists
2002-09,-,Nothing exists
2002-10,-,Nothing exists
2002-11,-,Nothing exists
2002-12,-,Nothing exists
2003-01,-,Nothing exists
2003-02,-,Nothing exists
2003-03,-,Nothing exists
2003-04,-,Nothing exists
2003-05,-,Nothing exists
2003-06,-,Nothing exists
2003-07,-,Nothing exists
2003-08,-,Nothing exists
2003-09,-,Nothing exists
2003-10,-,Nothing exists
2003-11,-,Nothing exists
2003-12,-,Nothing exists
2004-01,-,Nothing exists
2004-02,-,Nothing exists
2004-03,-,Nothing exists
2004-04,-,Nothing exists
2004-05,-,Nothing exists
2004-06,-,Nothing exists
2004-07,-,Nothing exists
2004-08,-,Nothing exists
2004-09,-,Nothing exists
2004-10,-,Nothing exists
2004-11,-,Nothing exists
2004-12,-,Nothing exists
2005-01,44.532,
2005-02,40.191,
2005-03,44.371,
2005-04,41.330,
2005-05,42.985,
2005-06,44.751,
2005-07,44.690,
2005-08,47.422,
2005-09,44.642,
2005-10,43.705,
2005-11,42.972,
2005-12,43.185,
2006-01,43.309,
2006-02,46.055,
2006-03,46.846,
2006-04,44.974,
2006-05,44.072,
2006-06,49.509,
2006-07,46.293,
2006-08,47.007,
2006-09,47.944,
2006-10,49.546,
2006-11,47.081,
2006-12,41.494,
2007-01,44.643,
2007-02,40.968,
2007-03,42.935,
2007-04,43.588,
2007-05,42.079,
2007-06,43.585,
2007-07,46.931,
2007-08,43.808,
2007-09,44.909,
2007-10,48.785,
2007-11,49.986,
2007-12,43.278,
2008-01,54.737,
2008-02,51.108,
2008-03,50.924,
2008-04,62.932,
2008-05,56.577,
2008-06,61.589,
2008-07,63.072,
2008-08,57.071,
2008-09,61.056,
2008-10,65.043,
2008-11,53.463,
2008-12,36.322,
2009-01,27.557,
2009-02,32.180,
2009-03,34.927,
2009-04,30.103,
2009-05,31.461,
2009-06,37.739,
2009-07,42.516,
2009-08,34.010,
2009-09,35.767,
2009-10,39.933,
2009-11,38.103,
2009-12,37.706,
2010-01,41.009,
2010-02,44.729,
2010-03,53.026,
2010-04,52.048,
2010-05,50.704,
2010-06,55.849,
2010-07,53.443,
2010-08,48.733,
2010-09,53.877,
2010-10,50.247,
2010-11,56.119,
2010-12,51.221,
2011-01,58.357,
2011-02,62.659,
2011-03,71.995,
2011-04,60.780,
2011-05,67.342,
2011-06,60.829,
2011-07,64.350,
2011-08,66.334,
2011-09,69.526,
2011-10,63.891,
2011-11,69.208,
2011-12,65.189,
2012-01,75.022,
2012-02,78.006,
2012-03,83.318,
2012-04,76.826,
2012-05,82.353,
2012-06,86.075,
2012-07,80.866,
2012-08,82.159,
2012-09,76.540,
2012-10,84.218,
2012-11,82.677,
2012-12,75.371,
2013-01,76.344,
2013-02,73.251,
2013-03,78.127,
2013-04,78.731,
2013-05,77.385,
2013-06,75.108,
2013-07,75.959,
2013-08,174.929,
2013-09,71.649,
2013-10,78.616,
2013-11,79.213,
2013-12,66.328,
2014-01,80.524,
2014-02,76.452,Provisional value
2014-03,89.946,Provisional value
2014-04,82.934,Provisional value
2014-05,75.912,Provisional value
2014-06,76.042,Provisional value
2014-07,85.561,Provisional value
2014-08,80.816,Provisional value
2014-09,82.377,
2014-10,81.914,
2014-11,73.552,
2014-12,71.754,Provisional value
