"",BBAI3.Q.DE.N.V.LE.F4.SV.A1.S.1.N.E.Z,BBAI3.Q.DE.N.V.LE.F4.SV.A1.S.1.N.E.Z_FLAGS
"",Assets / Property and casualty insurance companies / Loans / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:28:43,
2005-10,14571,
2006-01,14478,
2006-04,14356,
2006-07,14983,
2006-10,14836,
2007-01,15393,
2007-04,15930,
2007-07,19320,
2007-10,20525,
2008-01,18273,
2008-04,17914,
2008-07,17454,
2008-10,17834,
2009-01,18154,
2009-04,16920,
2009-07,17062,
2009-10,17162,
2010-01,17939,
2010-04,17756,
2010-07,16917,
2010-10,16886,
2011-01,16892,
2011-04,16666,
2011-07,16551,
2011-10,16217,
2012-01,16661,
2012-04,16528,
2012-07,16669,
2012-10,17152,
2013-01,17509,
2013-04,17735,
2013-07,17819,
2013-10,17368,
2014-01,18125,
2014-04,17918,
2014-07,17992,
