"",BBAI3.Q.DE.N.V.LE.F62.S125.A1.S.2.N.E.Z,BBAI3.Q.DE.N.V.LE.F62.S125.A1.S.2.N.E.Z_FLAGS
"",Liabilities / Insurance corporations and pension funds (ICPFs) / Prepayments of insurance premiums and res. for outstanding claims / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:27:57,
2005-10,274774,
2006-01,277089,
2006-04,273913,
2006-07,272597,
2006-10,269632,
2007-01,271719,
2007-04,266816,
2007-07,263223,
2007-10,258693,
2008-01,262459,
2008-04,260455,
2008-07,258572,
2008-10,254831,
2009-01,257975,
2009-04,253995,
2009-07,250454,
2009-10,248950,
2010-01,256051,
2010-04,255054,
2010-07,253411,
2010-10,254441,
2011-01,261260,
2011-04,261972,
2011-07,263118,
2011-10,264678,
2012-01,269555,
2012-04,269723,
2012-07,270026,
2012-10,271224,
2013-01,278290,
2013-04,277634,
2013-07,277338,
2013-10,278551,
2014-01,282004,
2014-04,286055,
2014-07,284020,
