"",BBAI3.Q.DE.N.V.LE.F62.S1252.A1.S.1.N.E.Z,BBAI3.Q.DE.N.V.LE.F62.S1252.A1.S.1.N.E.Z_FLAGS
"",Assets / Pension undertakings / Prepayments of insurance premiums and res. for outstanding claims / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:27:49,
2005-10,958,
2006-01,1063,
2006-04,1181,
2006-07,1313,
2006-10,1461,
2007-01,1568,
2007-04,1683,
2007-07,1807,
2007-10,1940,
2008-01,2042,
2008-04,2149,
2008-07,2263,
2008-10,2383,
2009-01,2518,
2009-04,2664,
2009-07,2824,
2009-10,2999,
2010-01,3107,
2010-04,3219,
2010-07,3336,
2010-10,3457,
2011-01,3540,
2011-04,3629,
2011-07,3722,
2011-10,3823,
2012-01,3874,
2012-04,3945,
2012-07,4019,
2012-10,4098,
2013-01,4174,
2013-04,4218,
2013-07,4263,
2013-10,4349,
2014-01,4451,
2014-04,4504,
2014-07,4538,
