"",BBK01.CEHRN0,BBK01.CEHRN0_FLAGS
"",longer-term time deposits debtor: Rest of the world                     creditor: All sectors,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:17:35,
1991-01,11.4,
1991-04,2.1,
1991-07,2.0,
1991-10,1.0,
1992-01,-0.6,
1992-04,-1.3,
1992-07,0.3,
1992-10,0.4,
1993-01,1.2,
1993-04,1.7,
1993-07,2.8,
1993-10,1.3,
1994-01,1.3,
1994-04,2.2,
1994-07,1.8,
1994-10,1.6,
1995-01,-1.0,
1995-04,2.9,
1995-07,2.5,
1995-10,0.5,
1996-01,3.9,
1996-04,-1.5,
1996-07,-2.4,
1996-10,2.4,
1997-01,0.3,
1997-04,1.3,
1997-07,3.0,
1997-10,4.9,
1998-01,3.6,
1998-04,2.1,
1998-07,1.8,
1998-10,-2.7,
1999-01,1.6,
1999-04,7.1,
1999-07,2.2,
1999-10,1.4,
2000-01,4.4,
2000-04,-0.1,
2000-07,5.1,
2000-10,1.6,
2001-01,-0.1,
2001-04,6.0,
2001-07,8.2,
2001-10,8.4,
2002-01,5.2,
2002-04,3.6,
2002-07,4.2,
2002-10,6.0,
2003-01,5.6,
2003-04,7.5,
2003-07,6.4,
2003-10,2.7,
2004-01,-2.3,
2004-04,-5.9,
2004-07,4.9,
2004-10,1.4,
2005-01,9.9,
2005-04,18.0,
2005-07,15.8,
2005-10,13.2,
2006-01,8.9,
2006-04,14.3,
2006-07,12.5,
2006-10,26.8,
2007-01,19.6,
2007-04,20.8,
2007-07,26.1,
2007-10,27.8,
2008-01,15.1,
2008-04,20.6,
2008-07,37.1,
2008-10,6.2,
2009-01,3.9,
2009-04,12.6,
2009-07,-6.9,
2009-10,-14.5,
2010-01,-0.9,
2010-04,-3.0,
2010-07,-18.3,
2010-10,-2.4,
2011-01,6.8,
2011-04,1.5,
2011-07,4.2,
2011-10,-14.4,
2012-01,-10.5,
2012-04,-12.5,
2012-07,-1.4,
2012-10,-8.2,
2013-01,-6.1,
2013-04,-5.9,
2013-07,-0.3,
2013-10,-2.9,
2014-01,-0.1,
