"",BBAI3.Q.DE.N.V.LE.F62.SK.A1.S.2.N.E.Z,BBAI3.Q.DE.N.V.LE.F62.SK.A1.S.2.N.E.Z_FLAGS
"",Liabilities / Death benefit funds / Prepayments of insurance premiums and res. for outstanding claims / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:29:35,
2005-10,7,
2006-01,6,
2006-04,6,
2006-07,6,
2006-10,8,
2007-01,7,
2007-04,7,
2007-07,7,
2007-10,9,
2008-01,7,
2008-04,7,
2008-07,7,
2008-10,8,
2009-01,7,
2009-04,7,
2009-07,7,
2009-10,8,
2010-01,7,
2010-04,7,
2010-07,7,
2010-10,8,
2011-01,7,
2011-04,7,
2011-07,7,
2011-10,8,
2012-01,7,
2012-04,7,
2012-07,8,
2012-10,9,
2013-01,8,
2013-04,8,
2013-07,8,
2013-10,9,
2014-01,9,
2014-04,9,
2014-07,9,
