"",BBK01.CELZ0K,BBK01.CELZ0K_FLAGS
"",Other accounts receivable excluding trade credits and advances                                                debtor: Total            creditor: Insurance corporations,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:50:09,
1999-01,1.0,
1999-04,-0.1,
1999-07,0.1,
1999-10,3.9,
2000-01,1.5,
2000-04,-0.1,
2000-07,-0.1,
2000-10,-0.7,
2001-01,1.1,
2001-04,-0.4,
2001-07,0.8,
2001-10,0.7,
2002-01,3.0,
2002-04,-0.3,
2002-07,0.0,
2002-10,0.6,
2003-01,-0.2,
2003-04,-0.2,
2003-07,-0.8,
2003-10,5.8,
2004-01,1.8,
2004-04,0.1,
2004-07,0.9,
2004-10,-2.9,
2005-01,2.8,
2005-04,1.0,
2005-07,2.4,
2005-10,13.8,
2006-01,0.2,
2006-04,-0.7,
2006-07,-0.3,
2006-10,-6.3,
2007-01,0.6,
2007-04,-0.6,
2007-07,-0.4,
2007-10,-4.4,
2008-01,-0.7,
2008-04,1.4,
2008-07,1.0,
2008-10,-2.8,
2009-01,2.7,
2009-04,-2.8,
2009-07,0.7,
2009-10,-2.2,
2010-01,2.3,
2010-04,-0.7,
2010-07,-0.9,
2010-10,1.5,
2011-01,0.4,
2011-04,0.3,
2011-07,0.0,
2011-10,-3.3,
2012-01,0.8,
2012-04,-1.0,
2012-07,0.1,
2012-10,0.1,
2013-01,3.2,
2013-04,-1.1,
2013-07,-0.4,
2013-10,-3.3,
2014-01,2.9,
2014-04,-0.5,
2014-07,0.0,
