"",BBK01.CEB7B0,BBK01.CEB7B0_FLAGS
"",Other liabilities  debtor: Insurance corporations                     creditor: All sectors,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:19:28,
1991-01,32.0,
1991-04,32.0,
1991-07,33.1,
1991-10,32.8,
1992-01,34.8,
1992-04,35.5,
1992-07,36.1,
1992-10,35.3,
1993-01,37.1,
1993-04,38.4,
1993-07,39.2,
1993-10,38.5,
1994-01,39.2,
1994-04,41.2,
1994-07,42.1,
1994-10,42.4,
1995-01,40.7,
1995-04,41.3,
1995-07,42.3,
1995-10,42.7,
1996-01,45.6,
1996-04,46.3,
1996-07,47.1,
1996-10,46.2,
1997-01,49.1,
1997-04,49.8,
1997-07,50.7,
1997-10,55.0,
1998-01,57.5,
1998-04,58.6,
1998-07,59.0,
1998-10,60.8,
1999-01,73.8,
1999-04,74.6,
1999-07,75.7,
1999-10,86.6,
2000-01,90.2,
2000-04,91.4,
2000-07,92.6,
2000-10,89.5,
2001-01,92.6,
2001-04,93.4,
2001-07,96.0,
2001-10,104.1,
2002-01,110.0,
2002-04,110.6,
2002-07,111.8,
2002-10,121.9,
2003-01,124.3,
2003-04,126.6,
2003-07,128.0,
2003-10,119.7,
2004-01,122.1,
2004-04,121.8,
2004-07,122.5,
2004-10,110.9,
2005-01,116.4,
2005-04,119.1,
2005-07,123.7,
2005-10,109.9,
2006-01,109.4,
2006-04,108.7,
2006-07,108.3,
2006-10,109.9,
2007-01,109.7,
2007-04,109.3,
2007-07,109.0,
2007-10,104.5,
2008-01,101.7,
2008-04,101.3,
2008-07,100.6,
2008-10,96.1,
2009-01,98.4,
2009-04,94.0,
2009-07,93.7,
2009-10,89.2,
2010-01,91.1,
2010-04,89.5,
2010-07,88.1,
2010-10,89.6,
2011-01,90.5,
2011-04,91.0,
2011-07,91.7,
2011-10,91.3,
2012-01,92.4,
2012-04,92.5,
2012-07,92.5,
2012-10,93.1,
2013-01,96.3,
2013-04,94.5,
2013-07,94.8,
2013-10,95.3,
2014-01,98.5,
