"",BBK01.CEHB0I,BBK01.CEHB0I_FLAGS
"",Long-term debt securities debtor: All sectors                   creditor: Households and non-profit institutions serving households,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:21:53,
1991-01,10.9,
1991-04,10.0,
1991-07,1.0,
1991-10,2.3,
1992-01,1.8,
1992-04,1.0,
1992-07,-1.3,
1992-10,2.0,
1993-01,-2.9,
1993-04,-11.4,
1993-07,1.4,
1993-10,-2.1,
1994-01,10.8,
1994-04,1.8,
1994-07,11.7,
1994-10,12.3,
1995-01,17.8,
1995-04,6.9,
1995-07,1.6,
1995-10,-0.7,
1996-01,-11.0,
1996-04,4.2,
1996-07,9.2,
1996-10,4.8,
1997-01,-4.9,
1997-04,8.6,
1997-07,0.6,
1997-10,1.7,
1998-01,-15.3,
1998-04,2.2,
1998-07,2.5,
1998-10,-1.5,
1999-01,4.6,
1999-04,-1.4,
1999-07,-1.2,
1999-10,-5.5,
2000-01,0.4,
2000-04,5.2,
2000-07,11.5,
2000-10,-13.7,
2001-01,-10.7,
2001-04,-6.2,
2001-07,6.6,
2001-10,16.0,
2002-01,-13.8,
2002-04,7.0,
2002-07,-2.7,
2002-10,22.3,
2003-01,5.4,
2003-04,-0.7,
2003-07,3.6,
2003-10,11.1,
2004-01,13.4,
2004-04,10.8,
2004-07,13.6,
2004-10,-3.3,
2005-01,12.3,
2005-04,2.3,
2005-07,5.1,
2005-10,-2.0,
2006-01,8.9,
2006-04,11.7,
2006-07,10.9,
2006-10,5.9,
2007-01,18.8,
2007-04,12.0,
2007-07,5.0,
2007-10,-8.0,
2008-01,-6.9,
2008-04,5.6,
2008-07,0.1,
2008-10,-22.9,
2009-01,-5.1,
2009-04,-4.5,
2009-07,1.0,
2009-10,-1.3,
2010-01,-2.8,
2010-04,-4.6,
2010-07,-0.1,
2010-10,-3.6,
2011-01,1.6,
2011-04,1.7,
2011-07,-3.3,
2011-10,-2.1,
2012-01,-2.8,
2012-04,-2.8,
2012-07,-5.1,
2012-10,-6.9,
2013-01,-4.9,
2013-04,-5.2,
2013-07,-0.6,
2013-10,-3.3,
2014-01,-2.6,
