"",BBK01.CEHFQ2,BBK01.CEHFQ2_FLAGS
"",longer-term loans (consolidated) debtor: All sectors                   creditor: Domestic financial corporations,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:16:00,
1991-01,24.4,
1991-04,25.0,
1991-07,36.4,
1991-10,38.9,
1992-01,23.9,
1992-04,22.5,
1992-07,31.7,
1992-10,19.9,
1993-01,23.6,
1993-04,33.0,
1993-07,37.3,
1993-10,53.1,
1994-01,27.7,
1994-04,27.6,
1994-07,29.7,
1994-10,41.4,
1995-01,11.8,
1995-04,35.4,
1995-07,44.4,
1995-10,61.3,
1996-01,31.3,
1996-04,23.5,
1996-07,39.9,
1996-10,55.6,
1997-01,21.1,
1997-04,38.3,
1997-07,37.9,
1997-10,53.6,
1998-01,25.7,
1998-04,25.8,
1998-07,31.1,
1998-10,69.0,
1999-01,34.6,
1999-04,48.7,
1999-07,38.0,
1999-10,55.2,
2000-01,11.4,
2000-04,36.4,
2000-07,20.0,
2000-10,30.4,
2001-01,5.9,
2001-04,11.3,
2001-07,23.2,
2001-10,22.6,
2002-01,3.5,
2002-04,3.0,
2002-07,-0.4,
2002-10,28.1,
2003-01,-4.7,
2003-04,0.4,
2003-07,5.0,
2003-10,20.9,
2004-01,-6.5,
2004-04,8.2,
2004-07,7.9,
2004-10,4.0,
2005-01,-10.7,
2005-04,6.7,
2005-07,13.0,
2005-10,0.6,
2006-01,-7.1,
2006-04,6.8,
2006-07,11.9,
2006-10,0.1,
2007-01,-9.3,
2007-04,17.5,
2007-07,18.8,
2007-10,6.1,
2008-01,-0.7,
2008-04,40.2,
2008-07,32.2,
2008-10,11.9,
2009-01,-10.2,
2009-04,16.1,
2009-07,15.8,
2009-10,7.8,
2010-01,-8.2,
2010-04,17.7,
2010-07,7.7,
2010-10,6.1,
2011-01,-5.6,
2011-04,-1.7,
2011-07,18.9,
2011-10,16.3,
2012-01,-3.0,
2012-04,7.1,
2012-07,8.5,
2012-10,-0.8,
2013-01,0.5,
2013-04,3.8,
2013-07,-3.8,
2013-10,1.7,
2014-01,2.7,
