"",BBAI3.Q.DE.N.V.LE.F7.SV.A1.S.2.N.E.Z,BBAI3.Q.DE.N.V.LE.F7.SV.A1.S.2.N.E.Z_FLAGS
"",Liabilities / Property and casualty insurance companies / Other accounts receivable/payable / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:29:29,
2005-10,14130,
2006-01,14770,
2006-04,14660,
2006-07,14826,
2006-10,14354,
2007-01,15063,
2007-04,14871,
2007-07,14892,
2007-10,14760,
2008-01,15088,
2008-04,14673,
2008-07,14319,
2008-10,13899,
2009-01,14361,
2009-04,13931,
2009-07,13585,
2009-10,13749,
2010-01,14232,
2010-04,13760,
2010-07,13252,
2010-10,13068,
2011-01,13589,
2011-04,13410,
2011-07,13302,
2011-10,13270,
2012-01,13487,
2012-04,13203,
2012-07,12958,
2012-10,12828,
2013-01,13412,
2013-04,13288,
2013-07,13172,
2013-10,13235,
2014-01,14032,
2014-04,13856,
2014-07,13748,
