"",BBAI3.Q.DE.N.V.LE.F51M.RV.A1.S.1.N.E.Z,BBAI3.Q.DE.N.V.LE.F51M.RV.A1.S.1.N.E.Z_FLAGS
"",Assets / Reinsurance companies / Shares and other equity - Unquoted shares and other equity / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:29:01,
2005-10,126074,
2006-01,125356,
2006-04,126220,
2006-07,127793,
2006-10,129672,
2007-01,132510,
2007-04,136630,
2007-07,144412,
2007-10,150994,
2008-01,147010,
2008-04,143732,
2008-07,137058,
2008-10,132372,
2009-01,126069,
2009-04,120336,
2009-07,119230,
2009-10,117962,
2010-01,119555,
2010-04,121022,
2010-07,124132,
2010-10,127410,
2011-01,127182,
2011-04,127033,
2011-07,128393,
2011-10,130615,
2012-01,128888,
2012-04,127264,
2012-07,130142,
2012-10,131108,
2013-01,132885,
2013-04,131060,
2013-07,129909,
2013-10,129047,
2014-01,129542,
2014-04,130870,
2014-07,131119,
