"",BBK01.CELR20,BBK01.CELR20_FLAGS
"",long-term time deposits                                      debtor: Domestic financial sectors     creditor: Total,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:47:54,
1999-01,46.2,
1999-04,26.8,
1999-07,42.1,
1999-10,34.4,
2000-01,32.0,
2000-04,14.4,
2000-07,15.4,
2000-10,6.2,
2001-01,17.7,
2001-04,17.8,
2001-07,7.1,
2001-10,-11.6,
2002-01,11.9,
2002-04,2.0,
2002-07,0.9,
2002-10,14.0,
2003-01,-0.4,
2003-04,1.7,
2003-07,-9.9,
2003-10,12.7,
2004-01,-8.3,
2004-04,15.6,
2004-07,9.1,
2004-10,4.9,
2005-01,11.9,
2005-04,8.3,
2005-07,-4.8,
2005-10,-10.8,
2006-01,-2.4,
2006-04,12.8,
2006-07,7.9,
2006-10,-6.6,
2007-01,-4.9,
2007-04,12.4,
2007-07,4.5,
2007-10,1.3,
2008-01,-3.8,
2008-04,15.5,
2008-07,12.4,
2008-10,33.6,
2009-01,7.6,
2009-04,6.9,
2009-07,-10.9,
2009-10,-18.2,
2010-01,0.2,
2010-04,-4.7,
2010-07,-4.4,
2010-10,16.3,
2011-01,-11.1,
2011-04,3.5,
2011-07,-5.4,
2011-10,29.8,
2012-01,18.8,
2012-04,-9.3,
2012-07,-14.6,
2012-10,-28.5,
2013-01,-63.4,
2013-04,-22.6,
2013-07,-28.6,
2013-10,-25.5,
2014-01,-17.7,
2014-04,-15.7,
2014-07,-3.0,
