"",BBQFS.M.DE.SCBA.TA_GDP._X.0000,BBQFS.M.DE.SCBA.TA_GDP._X.0000_FLAGS
"",Total assets of German banks in relation to gross domestic product - savings banks and credit cooperatives (FSR 2014),
unit,% des BIP/% of GDP (hypothetically euro-based),
unit multiplier,one,
last update,2015-01-07 17:09:32,
1999-01,68.95,
1999-02,69.00,
1999-03,68.92,
1999-04,68.92,
1999-05,69.17,
1999-06,69.55,
1999-07,69.45,
1999-08,69.79,
1999-09,70.12,
1999-10,70.10,
1999-11,70.55,
1999-12,70.96,
2000-01,69.56,
2000-02,69.40,
2000-03,69.39,
2000-04,68.83,
2000-05,68.80,
2000-06,69.09,
2000-07,68.84,
2000-08,69.16,
2000-09,68.96,
2000-10,68.81,
2000-11,69.48,
2000-12,70.37,
2001-01,68.45,
2001-02,68.61,
2001-03,68.74,
2001-04,68.40,
2001-05,68.59,
2001-06,68.97,
2001-07,68.75,
2001-08,68.83,
2001-09,69.30,
2001-10,68.83,
2001-11,69.56,
2001-12,70.53,
2002-01,69.17,
2002-02,69.06,
2002-03,69.21,
2002-04,69.09,
2002-05,69.18,
2002-06,69.45,
2002-07,68.96,
2002-08,69.06,
2002-09,69.09,
2002-10,69.13,
2002-11,69.71,
2002-12,70.49,
2003-01,69.25,
2003-02,69.28,
2003-03,69.12,
2003-04,69.04,
2003-05,69.09,
2003-06,69.21,
2003-07,69.06,
2003-08,69.16,
2003-09,69.25,
2003-10,69.39,
2003-11,70.16,
2003-12,70.55,
2004-01,69.24,
2004-02,69.19,
2004-03,69.05,
2004-04,68.78,
2004-05,69.03,
2004-06,69.05,
2004-07,68.81,
2004-08,68.76,
2004-09,68.79,
2004-10,69.03,
2004-11,69.59,
2004-12,69.82,
2005-01,68.88,
2005-02,68.94,
2005-03,68.80,
2005-04,68.96,
2005-05,69.06,
2005-06,69.13,
2005-07,69.03,
2005-08,68.98,
2005-09,68.93,
2005-10,68.96,
2005-11,69.40,
2005-12,69.99,
2006-01,68.66,
2006-02,68.61,
2006-03,68.69,
2006-04,68.23,
2006-05,68.42,
2006-06,68.49,
2006-07,67.84,
2006-08,67.97,
2006-09,68.10,
2006-10,67.47,
2006-11,67.75,
2006-12,68.39,
2007-01,66.49,
2007-02,66.42,
2007-03,66.44,
2007-04,65.88,
2007-05,66.01,
2007-06,66.32,
2007-07,65.64,
2007-08,65.85,
2007-09,66.06,
2007-10,65.65,
2007-11,66.12,
2007-12,66.71,
2008-01,64.90,
2008-02,64.95,
2008-03,65.01,
2008-04,64.93,
2008-05,65.42,
2008-06,65.69,
2008-07,65.66,
2008-08,65.94,
2008-09,65.94,
2008-10,67.55,
2008-11,68.28,
2008-12,68.07,
2009-01,68.48,
2009-02,68.38,
2009-03,68.11,
2009-04,69.17,
2009-05,69.55,
2009-06,70.20,
2009-07,70.78,
2009-08,70.86,
2009-09,70.70,
2009-10,71.24,
2009-11,71.51,
2009-12,71.83,
2010-01,70.85,
2010-02,71.11,
2010-03,71.08,
2010-04,70.47,
2010-05,70.74,
2010-06,70.88,
2010-07,69.23,
2010-08,69.41,
2010-09,69.14,
2010-10,68.76,
2010-11,69.16,
2010-12,69.56,
2011-01,67.90,
2011-02,67.89,
2011-03,67.79,
2011-04,67.25,
2011-05,67.37,
2011-06,67.16,
2011-07,66.74,
2011-08,67.06,
2011-09,67.11,
2011-10,66.86,
2011-11,67.34,
2011-12,67.72,
2012-01,66.90,
2012-02,67.08,
2012-03,67.16,
2012-04,67.00,
2012-05,67.17,
2012-06,67.17,
2012-07,66.98,
2012-08,67.21,
2012-09,67.21,
2012-10,67.03,
2012-11,67.37,
2012-12,67.38,
2013-01,66.55,
2013-02,66.50,
2013-03,66.41,
2013-04,66.21,
2013-05,66.35,
2013-06,66.25,
2013-07,66.06,
2013-08,66.34,
2013-09,66.30,
2013-10,66.01,
2013-11,66.41,
2013-12,66.54,
2014-01,65.35,
2014-02,65.56,
2014-03,65.40,
2014-04,65.17,
2014-05,65.39,
2014-06,65.25,
2014-07,64.99,
2014-08,65.35,
2014-09,65.39,
"",Methodology: Annualised quarterly data have been used for the gross domestic product. Within the Bilanzrechtsmodernisierungsgesetz the calculation of total assets (inclusion of derivative trading securities) was adjusted in 2010.,
