"",BBAI3.Q.DE.N.V.LE.F52.KV.A1.S.1.N.E.Z,BBAI3.Q.DE.N.V.LE.F52.KV.A1.S.1.N.E.Z_FLAGS
"",Assets / Health insurance companies / Mutual funds shares / units / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:28:37,
2005-10,25045,
2006-01,25516,
2006-04,25414,
2006-07,26202,
2006-10,26343,
2007-01,26834,
2007-04,27903,
2007-07,28280,
2007-10,28420,
2008-01,27888,
2008-04,27974,
2008-07,28756,
2008-10,28553,
2009-01,26968,
2009-04,27638,
2009-07,29837,
2009-10,30395,
2010-01,31398,
2010-04,32066,
2010-07,33648,
2010-10,33635,
2011-01,34219,
2011-04,35054,
2011-07,35519,
2011-10,35645,
2012-01,38294,
2012-04,39788,
2012-07,41935,
2012-10,45257,
2013-01,46750,
2013-04,46737,
2013-07,48094,
2013-10,50374,
2014-01,52525,
2014-04,55590,
2014-07,57497,
