"",BBSF2.M.1.S.I1252.DAC01.I.F.MAK.DE.00000.000000.Z01.00,BBSF2.M.1.S.I1252.DAC01.I.F.MAK.DE.00000.000000.Z01.00_FLAGS
"",Special investors funds / Funds-of-funds / Net sales receipts / Other insurance corporations / Distribution and cumulative funds,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:54:27,
2009-09,-,Nothing exists
2009-10,-,Nothing exists
2009-11,-,Nothing exists
2009-12,1,
2010-01,-,Nothing exists
2010-02,-,Nothing exists
2010-03,-,Nothing exists
2010-04,-21,
2010-05,-,Nothing exists
2010-06,-,Nothing exists
2010-07,-,Nothing exists
2010-08,-,Nothing exists
2010-09,170,
2010-10,2,
2010-11,3,
2010-12,6,
2011-01,-3,
2011-02,3,
2011-03,98,
2011-04,3,
2011-05,3,
2011-06,3,
2011-07,4,
2011-08,2,
2011-09,5,
2011-10,8,
2011-11,4,
2011-12,-16,
2012-01,-1,
2012-02,3,
2012-03,2,
2012-04,3,
2012-05,2,
2012-06,2,
2012-07,8579,
2012-08,5,
2012-09,3,
2012-10,871,
2012-11,3,
2012-12,4,
2013-01,449,
2013-02,5,
2013-03,67,
2013-04,3,
2013-05,4,
2013-06,3,
2013-07,24,
2013-08,4,
2013-09,2,
2013-10,206,
2013-11,178,
2013-12,6,
2014-01,2,
2014-02,-12,
2014-03,-7,
2014-04,3,
2014-05,4,
2014-06,6,
2014-07,2,
2014-08,5,
2014-09,5,
2014-10,3,
2014-11,266,
