"",BBFN1.M.DE.N.1.L.W03100.S1P.F0.L.NV00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.W03100.S1P.F0.L.NV00.Z01.BGA.X001.D_FLAGS
"",Long-term liabilities of enterprises vis-à-vis foreign affiliated enterprises arising from financial operations / Total / Emerging economies and developing countries,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:08:09,
1995-01,2.919,
1995-02,2.952,
1995-03,2.923,
1995-04,2.899,
1995-05,2.935,
1995-06,2.930,
1995-07,2.859,
1995-08,2.936,
1995-09,3.294,
1995-10,3.753,
1995-11,3.945,
1995-12,3.950,
1996-01,3.968,
1996-02,3.968,
1996-03,3.960,
1996-04,3.974,
1996-05,3.967,
1996-06,3.991,
1996-07,4.027,
1996-08,4.027,
1996-09,4.024,
1996-10,3.923,
1996-11,3.945,
1996-12,3.992,
1997-01,4.042,
1997-02,4.265,
1997-03,4.363,
1997-04,4.517,
1997-05,4.513,
1997-06,4.377,
1997-07,4.574,
1997-08,4.587,
1997-09,4.577,
1997-10,4.603,
1997-11,4.556,
1997-12,4.362,
1998-01,4.463,
1998-02,4.991,
1998-03,4.997,
1998-04,4.992,
1998-05,4.736,
1998-06,5.056,
1998-07,5.131,
1998-08,5.267,
1998-09,5.254,
1998-10,5.234,
1998-11,5.175,
1998-12,4.826,
1999-01,4.825,
1999-02,4.847,
1999-03,5.140,
1999-04,5.141,
1999-05,5.129,
1999-06,5.137,
1999-07,5.098,
1999-08,5.119,
1999-09,5.104,
1999-10,5.813,
1999-11,4.505,
1999-12,4.493,
2000-01,4.559,
2000-02,4.593,
2000-03,4.546,
2000-04,4.543,
2000-05,5.048,
2000-06,5.666,
2000-07,5.700,
2000-08,5.683,
2000-09,5.685,
2000-10,5.716,
2000-11,5.970,
2000-12,5.570,
2001-01,5.436,
2001-02,6.064,
2001-03,6.049,
2001-04,6.134,
2001-05,6.120,
2001-06,6.377,
2001-07,6.308,
2001-08,6.320,
2001-09,6.305,
2001-10,6.312,
2001-11,6.082,
2001-12,6.205,
2002-01,6.405,
2002-02,6.441,
2002-03,6.496,
2002-04,6.508,
2002-05,6.573,
2002-06,6.955,
2002-07,6.996,
2002-08,7.005,
2002-09,7.295,
2002-10,7.503,
2002-11,7.136,
2002-12,7.029,
2003-01,9.348,
2003-02,9.437,
2003-03,9.577,
2003-04,9.633,
2003-05,10.228,
2003-06,10.224,
2003-07,11.479,
2003-08,11.061,
2003-09,11.120,
2003-10,9.982,
2003-11,10.032,
2003-12,7.998,
2004-01,7.990,
2004-02,8.025,
2004-03,7.987,
2004-04,7.985,
2004-05,7.490,
2004-06,7.213,
2004-07,7.201,
2004-08,7.192,
2004-09,7.070,
2004-10,6.411,
2004-11,6.344,
2004-12,5.456,
2005-01,4.748,
2005-02,4.949,
2005-03,4.923,
2005-04,4.660,
2005-05,3.937,
2005-06,3.779,
2005-07,3.742,
2005-08,3.785,
2005-09,3.385,
2005-10,3.383,
2005-11,3.416,
2005-12,3.243,
2006-01,3.275,
2006-02,3.380,
2006-03,3.336,
2006-04,3.359,
2006-05,3.212,
2006-06,5.048,
2006-07,5.218,
2006-08,5.213,
2006-09,5.795,
2006-10,5.805,
2006-11,7.522,
2006-12,9.838,
2007-01,9.862,
2007-02,10.144,
2007-03,10.400,
2007-04,10.041,
2007-05,10.046,
2007-06,10.077,
2007-07,10.095,
2007-08,10.104,
2007-09,10.020,
2007-10,9.995,
2007-11,10.405,
2007-12,10.517,
2008-01,12.597,
2008-02,13.458,
2008-03,13.480,
2008-04,13.523,
2008-05,13.584,
2008-06,13.564,
2008-07,13.728,
2008-08,13.887,
2008-09,13.847,
2008-10,14.044,
2008-11,14.074,
2008-12,12.384,
2009-01,12.513,
2009-02,12.761,
2009-03,12.440,
2009-04,12.459,
2009-05,12.407,
2009-06,12.425,
2009-07,12.848,
2009-08,12.891,
2009-09,13.227,
2009-10,13.206,
2009-11,13.167,
2009-12,11.687,
2010-01,16.690,
2010-02,16.692,
2010-03,16.872,
2010-04,16.994,
2010-05,20.876,
2010-06,21.903,
2010-07,21.904,
2010-08,22.495,
2010-09,22.509,
2010-10,22.638,
2010-11,23.115,
2010-12,23.086,
2011-01,22.797,
2011-02,22.242,
2011-03,22.536,
2011-04,22.695,
2011-05,22.885,
2011-06,22.982,
2011-07,23.125,
2011-08,23.276,
2011-09,23.442,
2011-10,22.366,
2011-11,23.428,
2011-12,23.577,
2012-01,21.943,
2012-02,23.074,
2012-03,22.821,
2012-04,23.206,
2012-05,22.720,
2012-06,21.903,
2012-07,22.093,
2012-08,22.103,
2012-09,21.992,
2012-10,21.588,
2012-11,21.485,
2012-12,21.530,
2013-01,22.692,
2013-02,22.664,
2013-03,22.700,
2013-04,22.553,
2013-05,22.859,
2013-06,22.085,
2013-07,22.035,
2013-08,21.664,
2013-09,22.160,
2013-10,21.848,
2013-11,22.115,
2013-12,22.435,
2014-01,22.189,
2014-02,22.263,
2014-03,22.535,
2014-04,23.723,
2014-05,23.495,
2014-06,23.857,
2014-07,23.163,
2014-08,23.336,
2014-09,23.498,
2014-10,23.321,
2014-11,23.442,
2014-12,22.035,
"","General: All countries that are not regarded as industrial countries. Up to December 2010 including Niederl. Antillen; from January 2011 including Bonaire,St.Eustatius, Saba; Curacao; St.Martin (Dutch part)",
