"",BBK01.CEBH0I,BBK01.CEBH0I_FLAGS
"",Shares debtor: All sectors                    creditor: Households and non-profit institutions serving households,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:22:08,
1991-01,131.0,
1991-04,136.9,
1991-07,135.6,
1991-10,126.3,
1992-01,135.4,
1992-04,136.0,
1992-07,116.4,
1992-10,119.9,
1993-01,134.2,
1993-04,133.5,
1993-07,146.6,
1993-10,170.4,
1994-01,175.2,
1994-04,170.5,
1994-07,171.8,
1994-10,172.5,
1995-01,170.5,
1995-04,182.6,
1995-07,190.9,
1995-10,191.2,
1996-01,201.1,
1996-04,205.9,
1996-07,212.5,
1996-10,224.8,
1997-01,258.9,
1997-04,277.7,
1997-07,301.8,
1997-10,299.3,
1998-01,360.4,
1998-04,396.7,
1998-07,318.0,
1998-10,359.4,
1999-01,404.7,
1999-04,396.6,
1999-07,359.3,
1999-10,483.4,
2000-01,509.8,
2000-04,482.6,
2000-07,463.4,
2000-10,452.5,
2001-01,407.5,
2001-04,390.5,
2001-07,320.1,
2001-10,368.1,
2002-01,363.1,
2002-04,305.0,
2002-07,180.1,
2002-10,205.3,
2003-01,168.2,
2003-04,196.7,
2003-07,198.1,
2003-10,263.5,
2004-01,255.8,
2004-04,261.5,
2004-07,251.9,
2004-10,282.2,
2005-01,290.0,
2005-04,297.7,
2005-07,312.5,
2005-10,327.1,
2006-01,356.3,
2006-04,330.9,
2006-07,311.0,
2006-10,327.6,
2007-01,355.3,
2007-04,367.9,
2007-07,358.8,
2007-10,370.6,
2008-01,320.1,
2008-04,299.1,
2008-07,256.3,
2008-10,181.9,
2009-01,154.3,
2009-04,166.2,
2009-07,185.2,
2009-10,201.7,
2010-01,214.1,
2010-04,208.5,
2010-07,215.0,
2010-10,243.5,
2011-01,257.2,
2011-04,260.1,
2011-07,206.3,
2011-10,221.5,
2012-01,252.4,
2012-04,229.9,
2012-07,250.0,
2012-10,259.2,
2013-01,267.8,
2013-04,264.4,
2013-07,279.5,
2013-10,299.5,
2014-01,306.3,
