"",BBAI3.Q.DE.N.V.LE.F42B.S125.A1.S.1.N.E.Z,BBAI3.Q.DE.N.V.LE.F42B.S125.A1.S.1.N.E.Z_FLAGS
"",Assets / Insurance corporations and pension funds (ICPFs) / Loans up to 5 years / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:27:27,
2005-10,159476,
2006-01,163207,
2006-04,165612,
2006-07,168420,
2006-10,168873,
2007-01,172211,
2007-04,175491,
2007-07,179494,
2007-10,180145,
2008-01,176990,
2008-04,178461,
2008-07,178544,
2008-10,178114,
2009-01,184821,
2009-04,189472,
2009-07,191226,
2009-10,194535,
2010-01,198275,
2010-04,199699,
2010-07,200281,
2010-10,200284,
2011-01,202237,
2011-04,203214,
2011-07,204178,
2011-10,204021,
2012-01,206754,
2012-04,206132,
2012-07,206892,
2012-10,207637,
2013-01,208522,
2013-04,208352,
2013-07,211683,
2013-10,212183,
2014-01,215315,
2014-04,217813,
2014-07,218004,
