"",BBSF2.M.1.S.00000.GEL01.I.F.BGH.Z5.00000.000000.Z01.00,BBSF2.M.1.S.00000.GEL01.I.F.BGH.Z5.00000.000000.Z01.00_FLAGS
1999-10,17,
1999-11,17,
1999-12,22,
2000-01,19,
2000-02,15,
2000-03,1,
2000-04,7,
2000-05,2,
2000-06,1,
2000-07,2,
2000-08,1,
2000-09,1,
2000-10,1,
2000-11,1,
2000-12,2,
2001-01,34,
2001-02,36,
2001-03,35,
2001-04,13,
2001-05,8,
2001-06,12,
2001-07,17,
2001-08,16,
2001-09,21,
2001-10,9,
2001-11,10,
2001-12,22,
2002-01,25,
2002-02,13,
2002-03,25,
2002-04,18,
2002-05,28,
2002-06,20,
2002-07,22,
2002-08,73,
2002-09,75,
2002-10,89,
2002-11,202,
2002-12,385,
2003-01,98,
2003-02,107,
2003-03,139,
2003-04,40,
2003-05,44,
2003-06,162,
2003-07,99,
2003-08,117,
2003-09,123,
2003-10,223,
2003-11,123,
2003-12,114,
2004-01,359,
2004-02,267,
2004-03,152,
2004-04,158,
2004-05,187,
2004-06,132,
2004-07,145,
2004-08,160,
2004-09,175,
2004-10,364,
2004-11,380,
2004-12,169,
2005-01,162,
2005-02,125,
2005-03,210,
2005-04,98,
2005-05,53,
2005-06,89,
2005-07,204,
2005-08,82,
2005-09,91,
2005-10,111,
2005-11,51,
2005-12,51,
2006-01,98,
2006-02,70,
2006-03,66,
2006-04,72,
2006-05,56,
2006-06,56,
2006-07,43,
2006-08,75,
2006-09,32,
2006-10,19,
2006-11,67,
2006-12,62,
2007-01,37,
2007-02,24,
2007-03,39,
2007-04,1248,
2007-05,66,
2007-06,55,
2007-07,66,
2007-08,101,
2007-09,169,
2007-10,239,
2007-11,204,
2007-12,150,
2008-01,216,
2008-02,261,
2008-03,293,
2008-04,336,
2008-05,239,
2008-06,292,
2008-07,322,
2008-08,344,
2008-09,400,
2008-10,475,
2008-11,531,
2008-12,551,
2009-01,474,
2009-02,490,
2009-03,538,
2009-04,418,
2009-05,484,
2009-06,491,
2009-07,198,
2009-08,200,
2009-09,847,
2009-10,903,
2009-11,914,
2009-12,956,
2010-01,1023,
2010-02,1131,
2010-03,654,
2010-04,701,
2010-05,546,
2010-06,567,
2010-07,571,
2010-08,336,
2010-09,277,
2010-10,134,
2010-11,25,
2010-12,32,
2011-01,14,
2011-02,16,
2011-03,18,
2011-04,17,
2011-05,13,
2011-06,64,
2011-07,21,
2011-08,18,
2011-09,13,
2011-10,16,
2011-11,14,
2011-12,15,
2012-01,21,
2012-02,21,
2012-03,7,
2012-04,10,
2012-05,19,
2012-06,18,
2012-07,21,
2012-08,23,
2012-09,21,
2012-10,30,
2012-11,6,
2012-12,20,
2013-01,29,
2013-02,228,
2013-03,277,
2013-04,604,
2013-05,306,
2013-06,72,
2013-07,17,
2013-08,16,
2013-09,5,
2013-10,6,
2013-11,12,
2013-12,4,
2014-01,2,
2014-02,3,
2014-03,2,
2014-04,4,
2014-05,1,
2014-06,9,
2014-07,5,
2014-08,1,
2014-09,1,
2014-10,105,
2014-11,1,
