"",BBK01.CELK02,BBK01.CELK02_FLAGS
"",Other equity                                            debtor: Total            creditor: Domestic financial sectors,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:47:47,
1999-01,4.6,
1999-04,4.3,
1999-07,7.4,
1999-10,13.5,
2000-01,6.7,
2000-04,7.6,
2000-07,7.9,
2000-10,9.2,
2001-01,1.3,
2001-04,3.5,
2001-07,6.6,
2001-10,23.1,
2002-01,11.1,
2002-04,5.4,
2002-07,17.6,
2002-10,13.4,
2003-01,-4.6,
2003-04,5.6,
2003-07,1.2,
2003-10,8.1,
2004-01,-7.0,
2004-04,2.8,
2004-07,4.1,
2004-10,0.4,
2005-01,1.4,
2005-04,7.7,
2005-07,4.4,
2005-10,16.0,
2006-01,1.7,
2006-04,5.7,
2006-07,5.3,
2006-10,14.5,
2007-01,7.6,
2007-04,5.5,
2007-07,14.4,
2007-10,10.0,
2008-01,13.6,
2008-04,10.4,
2008-07,10.0,
2008-10,7.6,
2009-01,7.4,
2009-04,-0.5,
2009-07,9.9,
2009-10,-6.3,
2010-01,11.8,
2010-04,-4.7,
2010-07,3.5,
2010-10,4.6,
2011-01,5.2,
2011-04,4.5,
2011-07,4.1,
2011-10,-6.3,
2012-01,5.2,
2012-04,0.9,
2012-07,4.0,
2012-10,8.1,
2013-01,2.7,
2013-04,-2.6,
2013-07,-4.1,
2013-10,-11.0,
2014-01,1.1,
2014-04,2.9,
2014-07,0.6,
