"",BBAI3.Q.DE.N.V.LE.F.LV.A1.S.2.N.E.Z,BBAI3.Q.DE.N.V.LE.F.LV.A1.S.2.N.E.Z_FLAGS
"",Liabilities / Life insurance companies / Total financial assets / liabilities / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:29:10,
2005-10,741330,
2006-01,747903,
2006-04,753183,
2006-07,761040,
2006-10,766515,
2007-01,775309,
2007-04,782072,
2007-07,786305,
2007-10,785523,
2008-01,787580,
2008-04,788653,
2008-07,787725,
2008-10,773566,
2009-01,780449,
2009-04,790115,
2009-07,801106,
2009-10,804601,
2010-01,823830,
2010-04,833210,
2010-07,837599,
2010-10,841767,
2011-01,851294,
2011-04,853629,
2011-07,853084,
2011-10,847033,
2012-01,860868,
2012-04,867333,
2012-07,878857,
2012-10,887074,
2013-01,903494,
2013-04,912486,
2013-07,920520,
2013-10,929254,
2014-01,942372,
2014-04,950338,
2014-07,958339,
