"",BBFN1.M.DE.N.1.A.B0.S1P.F0.S.NV00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.B0.S1P.F0.S.NV00.Z01.BGA.X001.D_FLAGS
1980-06,.,No value available
1980-07,.,No value available
1980-08,.,No value available
1980-09,.,No value available
1980-10,.,No value available
1980-11,.,No value available
1980-12,1.072,
1981-01,.,No value available
1981-02,.,No value available
1981-03,.,No value available
1981-04,.,No value available
1981-05,.,No value available
1981-06,.,No value available
1981-07,.,No value available
1981-08,.,No value available
1981-09,.,No value available
1981-10,.,No value available
1981-11,.,No value available
1981-12,1.123,
1982-01,.,No value available
1982-02,.,No value available
1982-03,.,No value available
1982-04,.,No value available
1982-05,.,No value available
1982-06,.,No value available
1982-07,.,No value available
1982-08,.,No value available
1982-09,.,No value available
1982-10,.,No value available
1982-11,.,No value available
1982-12,1.529,
1983-01,.,No value available
1983-02,.,No value available
1983-03,.,No value available
1983-04,.,No value available
1983-05,.,No value available
1983-06,.,No value available
1983-07,.,No value available
1983-08,.,No value available
1983-09,.,No value available
1983-10,.,No value available
1983-11,.,No value available
1983-12,1.192,
1984-01,1.178,
1984-02,1.216,
1984-03,1.520,
1984-04,1.622,
1984-05,1.531,
1984-06,1.402,
1984-07,1.464,
1984-08,1.592,
1984-09,1.640,
1984-10,1.703,
1984-11,1.675,
1984-12,2.569,
1985-01,1.865,
1985-02,1.973,
1985-03,2.117,
1985-04,2.146,
1985-05,2.135,
1985-06,2.379,
1985-07,2.435,
1985-08,2.380,
1985-09,2.511,
1985-10,2.607,
1985-11,2.722,
1985-12,3.951,
1986-01,3.829,
1986-02,4.224,
1986-03,4.764,
1986-04,4.629,
1986-05,4.891,
1986-06,4.899,
1986-07,5.073,
1986-08,5.138,
1986-09,5.244,
1986-10,5.066,
1986-11,5.108,
1986-12,5.086,
1987-01,4.762,
1987-02,5.838,
1987-03,5.664,
1987-04,5.952,
1987-05,5.940,
1987-06,5.879,
1987-07,5.619,
1987-08,5.611,
1987-09,5.702,
1987-10,5.558,
1987-11,5.670,
1987-12,5.540,
1988-01,5.462,
1988-02,5.634,
1988-03,5.662,
1988-04,5.734,
1988-05,5.726,
1988-06,5.704,
1988-07,5.774,
1988-08,5.440,
1988-09,5.619,
1988-10,5.565,
1988-11,5.724,
1988-12,5.837,
1989-01,5.986,
1989-02,6.080,
1989-03,4.816,
1989-04,5.215,
1989-05,5.161,
1989-06,5.089,
1989-07,5.149,
1989-08,4.893,
1989-09,5.206,
1989-10,6.077,
1989-11,5.724,
1989-12,5.753,
1990-01,6.381,
1990-02,7.345,
1990-03,7.517,
1990-04,7.682,
1990-05,7.656,
1990-06,7.685,
1990-07,7.511,
1990-08,8.496,
1990-09,8.397,
1990-10,8.509,
1990-11,9.422,
1990-12,9.141,
1991-01,9.598,
1991-02,9.824,
1991-03,10.761,
1991-04,10.976,
1991-05,10.552,
1991-06,11.005,
1991-07,10.057,
1991-08,10.128,
1991-09,10.740,
1991-10,11.172,
1991-11,10.728,
1991-12,10.555,
1992-01,10.384,
1992-02,10.634,
1992-03,11.458,
1992-04,11.325,
1992-05,11.279,
1992-06,10.910,
1992-07,10.888,
1992-08,10.998,
1992-09,10.378,
1992-10,10.706,
1992-11,10.136,
1992-12,9.678,
1993-01,9.840,
1993-02,10.236,
1993-03,10.354,
1993-04,10.650,
1993-05,10.574,
1993-06,10.008,
1993-07,9.978,
1993-08,9.959,
1993-09,9.783,
1993-10,10.252,
1993-11,10.380,
1993-12,11.037,
1994-01,11.203,
1994-02,11.925,
1994-03,11.758,
1994-04,12.371,
1994-05,12.123,
1994-06,11.605,
1994-07,11.887,
1994-08,12.324,
1994-09,12.935,
1994-10,12.989,
1994-11,12.773,
1994-12,11.943,
1995-01,14.205,
1995-02,15.021,
1995-03,15.172,
1995-04,15.791,
1995-05,15.858,
1995-06,15.524,
1995-07,15.210,
1995-08,15.277,
1995-09,15.296,
1995-10,16.222,
1995-11,16.564,
1995-12,15.557,
1996-01,15.994,
1996-02,17.348,
1996-03,19.289,
1996-04,20.907,
1996-05,21.931,
1996-06,20.882,
1996-07,18.351,
1996-08,18.541,
1996-09,19.793,
1996-10,20.148,
1996-11,20.651,
1996-12,24.800,
1997-01,24.317,
1997-02,24.520,
1997-03,23.038,
1997-04,25.621,
1997-05,28.142,
1997-06,26.325,
1997-07,28.605,
1997-08,27.269,
1997-09,27.271,
1997-10,29.218,
1997-11,26.194,
1997-12,26.676,
1998-01,27.913,
1998-02,29.131,
1998-03,30.865,
1998-04,36.216,
1998-05,40.145,
1998-06,36.365,
1998-07,33.857,
1998-08,31.420,
1998-09,31.183,
1998-10,31.627,
1998-11,32.493,
1998-12,31.945,
1999-01,31.913,
1999-02,33.870,
1999-03,40.027,
1999-04,42.501,
1999-05,45.033,
1999-06,45.877,
1999-07,42.381,
1999-08,43.585,
1999-09,44.089,
1999-10,41.627,
1999-11,44.464,
1999-12,42.356,
2000-01,44.723,
2000-02,44.454,
2000-03,44.276,
2000-04,47.866,
2000-05,54.287,
2000-06,58.659,
2000-07,48.108,
2000-08,55.057,
2000-09,54.995,
2000-10,60.771,
2000-11,54.309,
2000-12,54.324,
2001-01,63.740,
2001-02,67.460,
2001-03,71.356,
2001-04,74.570,
2001-05,64.970,
2001-06,66.201,
2001-07,60.875,
2001-08,63.582,
2001-09,55.190,
2001-10,54.490,
2001-11,50.610,
2001-12,56.159,
2002-01,54.328,
2002-02,56.378,
2002-03,57.745,
2002-04,55.999,
2002-05,54.910,
2002-06,54.787,
2002-07,52.825,
2002-08,51.679,
2002-09,54.478,
2002-10,56.645,
2002-11,51.695,
2002-12,53.652,
2003-01,56.165,
2003-02,58.138,
2003-03,64.145,
2003-04,64.657,
2003-05,65.088,
2003-06,63.260,
2003-07,63.251,
2003-08,60.832,
2003-09,60.452,
2003-10,60.696,
2003-11,60.384,
2003-12,58.126,
2004-01,66.655,
2004-02,64.694,
2004-03,67.956,
2004-04,67.263,
2004-05,69.650,
2004-06,68.426,
2004-07,69.084,
2004-08,71.487,
2004-09,70.764,
2004-10,71.004,
2004-11,64.458,
2004-12,60.799,
2005-01,60.845,
2005-02,63.839,
2005-03,64.196,
2005-04,68.095,
2005-05,66.706,
2005-06,69.708,
2005-07,70.356,
2005-08,71.892,
2005-09,71.338,
2005-10,71.665,
2005-11,69.683,
2005-12,69.263,
2006-01,69.034,
2006-02,75.371,
2006-03,78.013,
2006-04,85.262,
2006-05,80.424,
2006-06,80.544,
2006-07,81.498,
2006-08,81.874,
2006-09,82.213,
2006-10,82.513,
2006-11,78.509,
2006-12,77.806,
2007-01,88.572,
2007-02,84.810,
2007-03,83.906,
2007-04,87.357,
2007-05,88.727,
2007-06,86.423,
2007-07,89.099,
2007-08,87.729,
2007-09,92.668,
2007-10,90.790,
2007-11,85.876,
2007-12,83.382,
2008-01,85.001,
2008-02,88.490,
2008-03,89.234,
2008-04,95.330,
2008-05,93.868,
2008-06,97.995,
2008-07,100.481,
2008-08,98.157,
2008-09,98.394,
2008-10,99.900,
2008-11,101.064,
2008-12,102.717,
2009-01,101.061,
2009-02,99.062,
2009-03,103.449,
2009-04,103.576,
2009-05,105.380,
2009-06,103.710,
2009-07,104.511,
2009-08,102.842,
2009-09,100.581,
2009-10,102.276,
2009-11,101.137,
2009-12,103.680,
2010-01,103.581,
2010-02,104.000,
2010-03,107.405,
2010-04,105.827,
2010-05,108.424,
2010-06,112.717,
2010-07,110.297,
2010-08,110.408,
2010-09,110.629,
2010-10,111.194,
2010-11,111.707,
2010-12,109.624,
2011-01,111.520,
2011-02,112.222,
2011-03,114.270,
2011-04,114.851,
2011-05,115.127,
2011-06,114.717,
2011-07,115.511,
2011-08,114.275,
2011-09,114.294,
2011-10,114.098,
2011-11,110.010,
2011-12,112.877,
2012-01,115.055,
2012-02,115.305,
2012-03,118.488,
2012-04,116.696,
2012-05,116.569,
2012-06,119.444,
2012-07,118.622,
2012-08,119.595,
2012-09,116.865,
2012-10,116.386,
2012-11,115.392,
2012-12,119.375,
2013-01,118.813,
2013-02,117.372,
2013-03,124.357,
2013-04,126.747,
2013-05,126.806,
2013-06,129.519,
2013-07,124.835,
2013-08,124.767,
2013-09,121.720,
2013-10,119.753,
2013-11,119.697,
2013-12,122.639,
2014-01,124.466,
2014-02,127.553,
2014-03,128.090,
2014-04,131.252,
2014-05,129.761,
2014-06,128.034,
2014-07,129.544,
2014-08,135.035,
2014-09,136.433,
2014-10,133.366,
2014-11,128.126,
2014-12,136.661,
"","General: From 1973, including Denmark, Ireland and the United Kingdom; from 1981, including Greece; from 1986, including Portugal and Spain; from 1995, including Austria, Finland and Sweden; up to December 2002, including Guernsey, Jersey and the Isle of Man; from May 2004, including Cyprus, the Czech Republic, Estonia, Hungary, Latvia, Lithuania, Malta, Poland, the Slovak Republic and Slovenia; from January 2007, including Bulgaria and Romania.",
