"",BBFN1.M.DE.N.1.L.B0.S1P.F0.L.B000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.B0.S1P.F0.L.B000.Z01.BGA.X001.D_FLAGS
1978-09,.,No value available
1978-10,.,No value available
1978-11,.,No value available
1978-12,2.131,
1979-01,.,No value available
1979-02,.,No value available
1979-03,.,No value available
1979-04,.,No value available
1979-05,.,No value available
1979-06,.,No value available
1979-07,.,No value available
1979-08,.,No value available
1979-09,.,No value available
1979-10,.,No value available
1979-11,.,No value available
1979-12,2.064,
1980-01,.,No value available
1980-02,.,No value available
1980-03,.,No value available
1980-04,.,No value available
1980-05,.,No value available
1980-06,.,No value available
1980-07,.,No value available
1980-08,.,No value available
1980-09,.,No value available
1980-10,.,No value available
1980-11,.,No value available
1980-12,2.855,
1981-01,.,No value available
1981-02,.,No value available
1981-03,.,No value available
1981-04,.,No value available
1981-05,.,No value available
1981-06,.,No value available
1981-07,.,No value available
1981-08,.,No value available
1981-09,.,No value available
1981-10,.,No value available
1981-11,.,No value available
1981-12,3.600,
1982-01,.,No value available
1982-02,.,No value available
1982-03,.,No value available
1982-04,.,No value available
1982-05,.,No value available
1982-06,.,No value available
1982-07,.,No value available
1982-08,.,No value available
1982-09,4.044,
1982-10,4.024,
1982-11,4.169,
1982-12,4.500,
1983-01,4.323,
1983-02,4.382,
1983-03,4.401,
1983-04,4.330,
1983-05,4.478,
1983-06,4.599,
1983-07,4.517,
1983-08,4.589,
1983-09,4.748,
1983-10,4.620,
1983-11,4.668,
1983-12,4.728,
1984-01,4.568,
1984-02,4.711,
1984-03,4.835,
1984-04,4.679,
1984-05,4.649,
1984-06,4.614,
1984-07,4.750,
1984-08,4.668,
1984-09,4.636,
1984-10,4.733,
1984-11,4.725,
1984-12,4.707,
1985-01,4.723,
1985-02,4.827,
1985-03,4.900,
1985-04,4.880,
1985-05,4.611,
1985-06,4.406,
1985-07,4.414,
1985-08,4.379,
1985-09,4.363,
1985-10,4.379,
1985-11,4.326,
1985-12,4.153,
1986-01,4.176,
1986-02,4.150,
1986-03,4.192,
1986-04,4.220,
1986-05,4.230,
1986-06,4.203,
1986-07,4.118,
1986-08,4.141,
1986-09,3.986,
1986-10,4.009,
1986-11,3.858,
1986-12,3.665,
1987-01,3.832,
1987-02,3.806,
1987-03,3.839,
1987-04,3.853,
1987-05,3.804,
1987-06,3.827,
1987-07,3.905,
1987-08,3.842,
1987-09,3.896,
1987-10,3.699,
1987-11,3.658,
1987-12,3.770,
1988-01,3.781,
1988-02,3.702,
1988-03,3.812,
1988-04,3.753,
1988-05,3.769,
1988-06,3.839,
1988-07,3.841,
1988-08,3.869,
1988-09,3.780,
1988-10,3.741,
1988-11,3.691,
1988-12,3.823,
1989-01,3.826,
1989-02,3.806,
1989-03,3.942,
1989-04,4.322,
1989-05,4.299,
1989-06,4.300,
1989-07,4.337,
1989-08,4.341,
1989-09,4.208,
1989-10,4.240,
1989-11,4.459,
1989-12,4.304,
1990-01,5.008,
1990-02,4.942,
1990-03,5.086,
1990-04,5.134,
1990-05,5.243,
1990-06,5.828,
1990-07,5.994,
1990-08,5.815,
1990-09,5.692,
1990-10,5.666,
1990-11,5.781,
1990-12,5.681,
1991-01,5.863,
1991-02,6.108,
1991-03,5.992,
1991-04,6.161,
1991-05,5.918,
1991-06,5.948,
1991-07,6.258,
1991-08,6.040,
1991-09,6.058,
1991-10,6.023,
1991-11,6.328,
1991-12,6.254,
1992-01,6.232,
1992-02,6.211,
1992-03,6.273,
1992-04,6.545,
1992-05,6.634,
1992-06,6.681,
1992-07,6.730,
1992-08,6.935,
1992-09,7.151,
1992-10,7.365,
1992-11,7.871,
1992-12,8.044,
1993-01,8.160,
1993-02,8.811,
1993-03,9.026,
1993-04,9.154,
1993-05,9.616,
1993-06,9.626,
1993-07,9.683,
1993-08,9.792,
1993-09,9.707,
1993-10,9.515,
1993-11,9.839,
1993-12,10.242,
1994-01,10.438,
1994-02,10.621,
1994-03,10.885,
1994-04,10.800,
1994-05,11.099,
1994-06,10.946,
1994-07,11.416,
1994-08,11.916,
1994-09,11.734,
1994-10,11.010,
1994-11,11.058,
1994-12,11.704,
1995-01,10.106,
1995-02,9.933,
1995-03,9.958,
1995-04,9.966,
1995-05,9.980,
1995-06,9.592,
1995-07,10.074,
1995-08,9.948,
1995-09,9.900,
1995-10,10.157,
1995-11,10.370,
1995-12,9.898,
1996-01,9.925,
1996-02,9.864,
1996-03,9.725,
1996-04,9.922,
1996-05,10.035,
1996-06,9.942,
1996-07,9.810,
1996-08,9.981,
1996-09,10.003,
1996-10,9.994,
1996-11,9.891,
1996-12,10.110,
1997-01,10.559,
1997-02,10.506,
1997-03,10.585,
1997-04,10.708,
1997-05,10.399,
1997-06,10.255,
1997-07,10.404,
1997-08,10.738,
1997-09,10.491,
1997-10,10.565,
1997-11,10.735,
1997-12,10.553,
1998-01,10.475,
1998-02,10.215,
1998-03,10.251,
1998-04,10.436,
1998-05,10.550,
1998-06,11.953,
1998-07,12.270,
1998-08,12.530,
1998-09,12.839,
1998-10,12.918,
1998-11,12.242,
1998-12,12.263,
1999-01,12.629,
1999-02,12.655,
1999-03,12.432,
1999-04,12.557,
1999-05,12.441,
1999-06,11.547,
1999-07,13.663,
1999-08,13.735,
1999-09,14.078,
1999-10,14.251,
1999-11,14.101,
1999-12,14.626,
2000-01,14.951,
2000-02,13.705,
2000-03,13.692,
2000-04,13.407,
2000-05,13.642,
2000-06,13.891,
2000-07,14.470,
2000-08,14.402,
2000-09,15.797,
2000-10,16.387,
2000-11,16.948,
2000-12,17.486,
2001-01,17.776,
2001-02,20.661,
2001-03,21.224,
2001-04,24.349,
2001-05,24.554,
2001-06,24.406,
2001-07,25.760,
2001-08,27.681,
2001-09,28.250,
2001-10,28.870,
2001-11,30.052,
2001-12,29.869,
2002-01,30.803,
2002-02,30.842,
2002-03,30.207,
2002-04,30.477,
2002-05,30.408,
2002-06,30.385,
2002-07,31.936,
2002-08,32.164,
2002-09,32.080,
2002-10,32.942,
2002-11,33.357,
2002-12,31.393,
2003-01,31.839,
2003-02,32.811,
2003-03,26.089,
2003-04,26.813,
2003-05,27.269,
2003-06,28.961,
2003-07,29.254,
2003-08,30.559,
2003-09,30.400,
2003-10,30.917,
2003-11,30.956,
2003-12,30.364,
2004-01,30.921,
2004-02,30.045,
2004-03,30.197,
2004-04,29.666,
2004-05,29.945,
2004-06,30.256,
2004-07,29.810,
2004-08,29.358,
2004-09,29.341,
2004-10,28.044,
2004-11,28.637,
2004-12,29.682,
2005-01,29.550,
2005-02,32.051,
2005-03,32.321,
2005-04,32.109,
2005-05,33.050,
2005-06,35.090,
2005-07,36.340,
2005-08,37.000,
2005-09,40.078,
2005-10,41.076,
2005-11,41.538,
2005-12,42.125,
2006-01,43.081,
2006-02,44.817,
2006-03,43.965,
2006-04,45.111,
2006-05,46.603,
2006-06,51.842,
2006-07,53.023,
2006-08,55.285,
2006-09,56.415,
2006-10,57.657,
2006-11,60.001,
2006-12,62.795,
2007-01,63.362,
2007-02,62.754,
2007-03,62.450,
2007-04,64.076,
2007-05,65.714,
2007-06,66.534,
2007-07,66.817,
2007-08,70.750,
2007-09,72.494,
2007-10,73.934,
2007-11,74.220,
2007-12,77.480,
2008-01,79.110,
2008-02,84.475,
2008-03,88.514,
2008-04,89.987,
2008-05,90.875,
2008-06,91.342,
2008-07,91.422,
2008-08,92.024,
2008-09,91.800,
2008-10,92.411,
2008-11,93.128,
2008-12,99.587,
2009-01,101.789,
2009-02,103.906,
2009-03,100.517,
2009-04,101.845,
2009-05,102.742,
2009-06,102.578,
2009-07,102.793,
2009-08,107.851,
2009-09,107.326,
2009-10,105.082,
2009-11,105.710,
2009-12,105.545,
2010-01,103.727,
2010-02,103.291,
2010-03,104.152,
2010-04,104.322,
2010-05,105.220,
2010-06,104.196,
2010-07,107.210,
2010-08,105.460,
2010-09,104.545,
2010-10,102.876,
2010-11,102.680,
2010-12,106.555,
2011-01,104.897,
2011-02,102.594,
2011-03,101.741,
2011-04,97.787,
2011-05,97.600,
2011-06,95.058,
2011-07,95.704,
2011-08,95.508,
2011-09,92.836,
2011-10,92.796,
2011-11,92.817,
2011-12,92.725,
2012-01,92.156,
2012-02,92.051,
2012-03,91.041,
2012-04,91.557,
2012-05,87.456,
2012-06,86.904,
2012-07,86.798,
2012-08,88.492,
2012-09,84.622,
2012-10,85.227,
2012-11,85.268,
2012-12,83.692,
2013-01,82.874,
2013-02,80.918,
2013-03,82.747,
2013-04,81.031,
2013-05,79.334,
2013-06,76.939,
2013-07,74.977,
2013-08,73.158,
2013-09,75.104,
2013-10,72.295,
2013-11,70.912,
2013-12,66.643,
2014-01,65.396,
2014-02,64.329,
2014-03,62.598,
2014-04,63.676,
2014-05,63.680,
2014-06,63.994,
2014-07,63.999,
2014-08,64.031,
2014-09,64.183,
2014-10,64.533,
2014-11,64.979,
2014-12,64.607,
"","General: From 1973, including Denmark, Ireland and the United Kingdom; from 1981, including Greece; from 1986, including Portugal and Spain; from 1995, including Austria, Finland and Sweden; up to December 2002, including Guernsey, Jersey and the Isle of Man; from May 2004, including Cyprus, the Czech Republic, Estonia, Hungary, Latvia, Lithuania, Malta, Poland, the Slovak Republic and Slovenia; from January 2007, including Bulgaria and Romania.",
