"",BBK01.CEFXC2,BBK01.CEFXC2_FLAGS
"",Non-life insurance technical reserves  debtor: Domestic financial corporations                        creditor: Total,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:34:17,
1999-01,240.8,
1999-04,244.3,
1999-07,248.4,
1999-10,256.1,
2000-01,263.7,
2000-04,267.0,
2000-07,270.5,
2000-10,271.5,
2001-01,279.1,
2001-04,282.4,
2001-07,289.1,
2001-10,303.1,
2002-01,315.3,
2002-04,318.8,
2002-07,323.4,
2002-10,320.9,
2003-01,325.9,
2003-04,330.4,
2003-07,333.7,
2003-10,336.5,
2004-01,342.1,
2004-04,343.6,
2004-07,346.8,
2004-10,355.2,
2005-01,362.4,
2005-04,364.9,
2005-07,370.6,
2005-10,384.6,
2006-01,386.2,
2006-04,387.7,
2006-07,389.3,
2006-10,391.3,
2007-01,388.7,
2007-04,386.1,
2007-07,383.6,
2007-10,392.8,
2008-01,394.5,
2008-04,396.2,
2008-07,397.8,
2008-10,399.3,
2009-01,400.9,
2009-04,402.5,
2009-07,404.0,
2009-10,405.5,
2010-01,410.0,
2010-04,414.5,
2010-07,418.9,
2010-10,423.3,
2011-01,429.0,
2011-04,434.8,
2011-07,440.6,
2011-10,446.4,
2012-01,451.6,
2012-04,456.7,
2012-07,461.8,
2012-10,466.9,
2013-01,471.8,
2013-04,476.7,
2013-07,481.5,
2013-10,486.5,
2014-01,490.7,
2014-04,494.9,
2014-07,499.5,
