"",BBFN1.M.DE.N.1.L.LI.S1P.F0.S.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.LI.S1P.F0.S.BN00.Z01.BGA.X001.D_FLAGS
1993-04,0.000,
1993-05,0.000,
1993-06,0.000,
1993-07,0.000,
1993-08,0.000,
1993-09,0.000,
1993-10,0.000,
1993-11,0.000,
1993-12,.,No value available
1994-01,0.000,
1994-02,0.000,
1994-03,0.000,
1994-04,0.000,
1994-05,0.000,
1994-06,0.000,
1994-07,0.000,
1994-08,0.000,
1994-09,0.000,
1994-10,0.000,
1994-11,0.000,
1994-12,.,No value available
1995-01,0.000,
1995-02,0.000,
1995-03,0.000,
1995-04,0.000,
1995-05,0.000,
1995-06,0.000,
1995-07,0.000,
1995-08,0.000,
1995-09,0.000,
1995-10,0.000,
1995-11,0.000,
1995-12,0.383,
1996-01,0.383,
1996-02,0.383,
1996-03,0.383,
1996-04,0.383,
1996-05,0.383,
1996-06,0.409,
1996-07,0.379,
1996-08,0.371,
1996-09,0.367,
1996-10,0.376,
1996-11,0.368,
1996-12,0.293,
1997-01,0.203,
1997-02,0.171,
1997-03,0.147,
1997-04,0.142,
1997-05,0.144,
1997-06,0.149,
1997-07,0.152,
1997-08,0.152,
1997-09,0.159,
1997-10,0.137,
1997-11,0.141,
1997-12,0.137,
1998-01,0.212,
1998-02,0.265,
1998-03,0.262,
1998-04,0.259,
1998-05,0.259,
1998-06,0.465,
1998-07,0.280,
1998-08,0.274,
1998-09,0.262,
1998-10,0.240,
1998-11,0.255,
1998-12,0.266,
1999-01,0.286,
1999-02,0.323,
1999-03,0.302,
1999-04,0.293,
1999-05,0.265,
1999-06,0.313,
1999-07,0.272,
1999-08,0.276,
1999-09,0.301,
1999-10,0.224,
1999-11,0.218,
1999-12,0.225,
2000-01,0.287,
2000-02,0.299,
2000-03,0.282,
2000-04,0.279,
2000-05,0.278,
2000-06,0.263,
2000-07,0.261,
2000-08,0.253,
2000-09,0.199,
2000-10,0.289,
2000-11,0.256,
2000-12,0.326,
2001-01,0.325,
2001-02,0.324,
2001-03,0.310,
2001-04,0.319,
2001-05,0.316,
2001-06,0.312,
2001-07,0.317,
2001-08,0.323,
2001-09,0.336,
2001-10,0.314,
2001-11,0.319,
2001-12,0.307,
2002-01,0.331,
2002-02,0.320,
2002-03,0.374,
2002-04,0.345,
2002-05,0.349,
2002-06,0.338,
2002-07,0.339,
2002-08,0.341,
2002-09,0.351,
2002-10,0.285,
2002-11,0.287,
2002-12,0.322,
2003-01,0.331,
2003-02,0.322,
2003-03,0.335,
2003-04,0.291,
2003-05,0.320,
2003-06,0.317,
2003-07,0.319,
2003-08,0.338,
2003-09,0.359,
2003-10,0.340,
2003-11,0.584,
2003-12,0.269,
2004-01,0.344,
2004-02,0.290,
2004-03,0.294,
2004-04,0.303,
2004-05,0.300,
2004-06,0.311,
2004-07,0.311,
2004-08,0.319,
2004-09,0.333,
2004-10,0.330,
2004-11,0.323,
2004-12,0.446,
2005-01,0.384,
2005-02,0.389,
2005-03,0.396,
2005-04,0.431,
2005-05,0.434,
2005-06,0.336,
2005-07,0.332,
2005-08,0.341,
2005-09,0.354,
2005-10,0.352,
2005-11,0.350,
2005-12,0.356,
2006-01,0.363,
2006-02,0.365,
2006-03,0.362,
2006-04,0.371,
2006-05,0.380,
2006-06,0.195,
2006-07,0.379,
2006-08,0.387,
2006-09,0.410,
2006-10,0.400,
2006-11,0.387,
2006-12,0.397,
2007-01,0.409,
2007-02,0.409,
2007-03,0.396,
2007-04,0.417,
2007-05,0.404,
2007-06,0.402,
2007-07,0.415,
2007-08,0.396,
2007-09,0.400,
2007-10,0.400,
2007-11,0.401,
2007-12,0.394,
2008-01,0.411,
2008-02,0.415,
2008-03,0.177,
2008-04,0.405,
2008-05,0.406,
2008-06,0.410,
2008-07,0.386,
2008-08,0.385,
2008-09,0.447,
2008-10,0.401,
2008-11,0.390,
2008-12,0.393,
2009-01,0.365,
2009-02,0.338,
2009-03,0.336,
2009-04,0.340,
2009-05,0.340,
2009-06,0.335,
2009-07,0.282,
2009-08,0.242,
2009-09,0.219,
2009-10,0.220,
2009-11,0.235,
2009-12,0.232,
2010-01,0.235,
2010-02,0.246,
2010-03,0.249,
2010-04,0.291,
2010-05,0.257,
2010-06,0.269,
2010-07,0.262,
2010-08,0.268,
2010-09,0.262,
2010-10,0.252,
2010-11,0.248,
2010-12,0.262,
2011-01,0.240,
2011-02,0.252,
2011-03,0.279,
2011-04,0.329,
2011-05,0.340,
2011-06,0.406,
2011-07,0.411,
2011-08,0.402,
2011-09,0.413,
2011-10,0.409,
2011-11,0.399,
2011-12,0.429,
2012-01,0.373,
2012-02,0.373,
2012-03,0.344,
2012-04,0.340,
2012-05,0.326,
2012-06,0.310,
2012-07,0.293,
2012-08,0.199,
2012-09,0.208,
2012-10,0.189,
2012-11,0.188,
2012-12,0.187,
2013-01,0.178,
2013-02,0.189,
2013-03,0.193,
2013-04,0.190,
2013-05,0.175,
2013-06,0.323,
2013-07,0.314,
2013-08,0.310,
2013-09,0.178,
2013-10,0.318,
2013-11,0.309,
2013-12,0.179,
2014-01,0.166,
2014-02,0.169,
2014-03,0.175,
2014-04,0.180,
2014-05,0.178,
2014-06,0.163,
2014-07,0.165,
2014-08,.,No value available
2014-09,.,No value available
2014-10,.,No value available
2014-11,.,No value available
2014-12,.,No value available
