"",BBAI3.Q.DE.N.V.LE.F332A.S125.A1.S.1.N.E.Z,BBAI3.Q.DE.N.V.LE.F332A.S125.A1.S.1.N.E.Z_FLAGS
"",Assets / Insurance corporations and pension funds (ICPFs) / Securities other than shares excluding financial derivatives over 1 year and up to 2 years / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:27:25,
2005-10,5888,
2006-01,5993,
2006-04,5364,
2006-07,4312,
2006-10,4250,
2007-01,7573,
2007-04,5458,
2007-07,5430,
2007-10,6531,
2008-01,5149,
2008-04,5040,
2008-07,4948,
2008-10,5838,
2009-01,5289,
2009-04,5331,
2009-07,5203,
2009-10,4235,
2010-01,4511,
2010-04,3876,
2010-07,3775,
2010-10,3690,
2011-01,3663,
2011-04,3216,
2011-07,4552,
2011-10,4220,
2012-01,5784,
2012-04,5113,
2012-07,6314,
2012-10,5146,
2013-01,4302,
2013-04,4093,
2013-07,4275,
2013-10,3447,
2014-01,2875,
2014-04,1436,
2014-07,1385,
