"",BBNZ1.A.DE.N.H.0108.L,BBNZ1.A.DE.N.H.0108.L_FLAGS
"","Germany / National accounts / Use of gross domestic product / Domestic demand (price adjusted) 1, 2, 3",
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-25 17:42:40,
1950,14.56,
1951,15.66,
1952,17.08,
1953,18.52,
1954,19.86,
1955,22.33,
1956,24.03,
1957,25.44,
1958,26.70,
1959,28.78,
1960,31.41,
1961,32.95,
1962,34.81,
1963,35.64,
1964,38.04,
1965,40.43,
1966,41.12,
1967,40.41,
1968,42.52,
1969,46.13,
1970,49.56,
1971,51.61,
1972,53.84,
1973,55.63,
1974,54.73,
1975,55.50,
1976,58.25,
1977,60.14,
1978,62.34,
1979,65.59,
1980,66.12,
1981,64.70,
1982,63.61,
1983,65.21,
1984,66.34,
1985,67.15,
1986,69.66,
1987,71.36,
1988,73.89,
1989,76.21,
1990,79.85,
1991,83.62,
1992,85.93,
1993,84.96,
1994,87.11,
1995,88.67,
1996,88.98,
1997,89.91,
1998,91.98,
1999,94.59,
2000,96.59,
2001,96.79,
2002,94.71,
2003,94.98,
2004,94.73,
2005,94.83,
2006,97.53,
2007,99.26,
2008,100.35,
2009,97.12,
2010,100.00,
2011,103.01,
2012,102.05,
2013,102.73,
2014,104.03,
"","General: 1 Source of the original data: Bundesbank calculations up to 1959 and Federal Statistical Office as of 1960. - 2 Territorial definition: Germany as of 1991, prior to that western Germany. Linked over annual average of 1991 (Bundesbank calculation). Figures up to 1959 include additional estimates for Saarland and West Berlin. - 3 Methodology: At constant prices prior to 1970, at previous-year prices as of 1970. Figures at previous-year prices are chain-linked Laspeyres indices (annual overlap). As of 1970 up to the end of 1990, data basis according to ESA 1995. As of 1991, data basis according to ESA 2010.",
