"",BBSF2.M.1.T.00000.GEL01.I.F.SVB.Z5.00000.F33200.Z01.M1,BBSF2.M.1.T.00000.GEL01.I.F.SVB.Z5.00000.F33200.Z01.M1_FLAGS
1991-12,-,Nothing exists
1992-01,-,Nothing exists
1992-02,-,Nothing exists
1992-03,-,Nothing exists
1992-04,-,Nothing exists
1992-05,-,Nothing exists
1992-06,-,Nothing exists
1992-07,-,Nothing exists
1992-08,-,Nothing exists
1992-09,-,Nothing exists
1992-10,-,Nothing exists
1992-11,-,Nothing exists
1992-12,-,Nothing exists
1993-01,-,Nothing exists
1993-02,-,Nothing exists
1993-03,-,Nothing exists
1993-04,-,Nothing exists
1993-05,-,Nothing exists
1993-06,-,Nothing exists
1993-07,-,Nothing exists
1993-08,-,Nothing exists
1993-09,-,Nothing exists
1993-10,-,Nothing exists
1993-11,-,Nothing exists
1993-12,-,Nothing exists
1994-01,-,Nothing exists
1994-02,-,Nothing exists
1994-03,-,Nothing exists
1994-04,-,Nothing exists
1994-05,-,Nothing exists
1994-06,-,Nothing exists
1994-07,-,Nothing exists
1994-08,-,Nothing exists
1994-09,337,
1994-10,805,
1994-11,1331,
1994-12,3311,
1995-01,4105,
1995-02,4698,
1995-03,4899,
1995-04,5144,
1995-05,5213,
1995-06,5702,
1995-07,5911,
1995-08,6269,
1995-09,6503,
1995-10,6607,
1995-11,7028,
1995-12,7169,
1996-01,7861,
1996-02,8442,
1996-03,8733,
1996-04,9004,
1996-05,9034,
1996-06,9196,
1996-07,9297,
1996-08,9357,
1996-09,9398,
1996-10,9088,
1996-11,8991,
1996-12,8527,
1997-01,8793,
1997-02,8474,
1997-03,8455,
1997-04,8631,
1997-05,8839,
1997-06,8324,
1997-07,8551,
1997-08,8813,
1997-09,8945,
1997-10,8859,
1997-11,8887,
1997-12,8554,
1998-01,8653,
1998-02,8707,
1998-03,8817,
1998-04,9225,
1998-05,9593,
1998-06,9684,
1998-07,9975,
1998-08,10241,
1998-09,10520,
1998-10,10513,
1998-11,10387,
1998-12,10565,
1999-01,10697,
1999-02,11181,
1999-03,10979,
1999-04,11188,
1999-05,11759,
1999-06,12717,
1999-07,13309,
1999-08,13466,
1999-09,13925,
1999-10,13975,
1999-11,13998,
1999-12,13451,
2000-01,13867,
2000-02,14511,
2000-03,14918,
2000-04,14990,
2000-05,15100,
2000-06,14842,
2000-07,14974,
2000-08,15146,
2000-09,14878,
2000-10,14494,
2000-11,14389,
2000-12,14142,
2001-01,14738,
2001-02,14946,
2001-03,15505,
2001-04,15912,
2001-05,16616,
2001-06,17047,
2001-07,17363,
2001-08,18330,
2001-09,19023,
2001-10,20333,
2001-11,21352,
2001-12,22491,
2002-01,22324,
2002-02,23357,
2002-03,23500,
2002-04,23915,
2002-05,23884,
2002-06,25158,
2002-07,25156,
2002-08,25868,
2002-09,26828,
2002-10,26770,
2002-11,26919,
2002-12,27106,
2003-01,27423,
2003-02,27899,
2003-03,28645,
2003-04,28410,
2003-05,28307,
2003-06,28663,
2003-07,28166,
2003-08,27857,
2003-09,27393,
2003-10,27272,
2003-11,26712,
2003-12,26466,
2004-01,25959,
2004-02,25991,
2004-03,25401,
2004-04,25477,
2004-05,25743,
2004-06,25556,
2004-07,25533,
2004-08,25342,
2004-09,23980,
2004-10,23877,
2004-11,23609,
2004-12,21477,
2005-01,21651,
2005-02,22255,
2005-03,22619,
2005-04,22837,
2005-05,23376,
2005-06,23891,
2005-07,23829,
2005-08,24121,
2005-09,23562,
2005-10,23877,
2005-11,24373,
2005-12,24552,
2006-01,24633,
2006-02,25028,
2006-03,25270,
2006-04,25351,
2006-05,25077,
2006-06,25861,
2006-07,25671,
2006-08,25634,
2006-09,26172,
2006-10,26431,
2006-11,26172,
2006-12,26106,
2007-01,26060,
2007-02,26053,
2007-03,26536,
2007-04,26348,
2007-05,26957,
2007-06,27401,
2007-07,27162,
2007-08,24469,
2007-09,22655,
2007-10,21908,
2007-11,21016,
2007-12,20214,
2008-01,19804,
2008-02,19831,
2008-03,18523,
2008-04,17082,
2008-05,16489,
2008-06,15921,
2008-07,15618,
2008-08,15293,
2008-09,14387,
2008-10,12545,
2008-11,11694,
2008-12,11043,
2009-01,10546,
2009-02,10332,
2009-03,10076,
2009-04,9595,
2009-05,9540,
2009-06,9266,
2009-07,9661,
2009-08,9503,
2009-09,8654,
2009-10,8363,
2009-11,8311,
2009-12,8336,
2010-01,8510,
2010-02,8419,
2010-03,8824,
2010-04,8409,
2010-05,8098,
2010-06,7821,
2010-07,7685,
2010-08,7589,
2010-09,7489,
2010-10,7223,
2010-11,7107,
2010-12,7093,
2011-01,7121,
2011-02,6960,
2011-03,6797,
2011-04,6790,
2011-05,6768,
2011-06,6549,
2011-07,5659,
2011-08,5985,
2011-09,5970,
2011-10,5850,
2011-11,5091,
2011-12,5048,
2012-01,4827,
2012-02,4661,
2012-03,4635,
2012-04,4662,
2012-05,4756,
2012-06,4781,
2012-07,4826,
2012-08,4468,
2012-09,4351,
2012-10,4765,
2012-11,4752,
2012-12,4744,
2013-01,4505,
2013-02,4539,
2013-03,4470,
2013-04,4394,
2013-05,4243,
2013-06,4101,
2013-07,4177,
2013-08,4213,
2013-09,3796,
2013-10,3474,
2013-11,3430,
2013-12,2882,
2014-01,3006,
2014-02,2965,
2014-03,2724,
2014-04,2751,
2014-05,2797,
2014-06,2674,
2014-07,2593,
2014-08,2428,
2014-09,2444,
2014-10,2400,
2014-11,2334,
