"",BBSF2.M.1.S.I0122.GEL01.I.F.NAV.DE.00000.000000.Z01.00,BBSF2.M.1.S.I0122.GEL01.I.F.NAV.DE.00000.000000.Z01.00_FLAGS
1991-12,-,Nothing exists
1992-01,-,Nothing exists
1992-02,-,Nothing exists
1992-03,-,Nothing exists
1992-04,-,Nothing exists
1992-05,-,Nothing exists
1992-06,-,Nothing exists
1992-07,-,Nothing exists
1992-08,-,Nothing exists
1992-09,-,Nothing exists
1992-10,-,Nothing exists
1992-11,-,Nothing exists
1992-12,-,Nothing exists
1993-01,-,Nothing exists
1993-02,-,Nothing exists
1993-03,-,Nothing exists
1993-04,-,Nothing exists
1993-05,-,Nothing exists
1993-06,-,Nothing exists
1993-07,-,Nothing exists
1993-08,-,Nothing exists
1993-09,-,Nothing exists
1993-10,-,Nothing exists
1993-11,-,Nothing exists
1993-12,-,Nothing exists
1994-01,-,Nothing exists
1994-02,-,Nothing exists
1994-03,-,Nothing exists
1994-04,-,Nothing exists
1994-05,-,Nothing exists
1994-06,-,Nothing exists
1994-07,-,Nothing exists
1994-08,-,Nothing exists
1994-09,-,Nothing exists
1994-10,-,Nothing exists
1994-11,-,Nothing exists
1994-12,-,Nothing exists
1995-01,-,Nothing exists
1995-02,-,Nothing exists
1995-03,-,Nothing exists
1995-04,-,Nothing exists
1995-05,-,Nothing exists
1995-06,-,Nothing exists
1995-07,-,Nothing exists
1995-08,-,Nothing exists
1995-09,-,Nothing exists
1995-10,-,Nothing exists
1995-11,-,Nothing exists
1995-12,-,Nothing exists
1996-01,-,Nothing exists
1996-02,-,Nothing exists
1996-03,-,Nothing exists
1996-04,-,Nothing exists
1996-05,-,Nothing exists
1996-06,-,Nothing exists
1996-07,-,Nothing exists
1996-08,-,Nothing exists
1996-09,-,Nothing exists
1996-10,-,Nothing exists
1996-11,-,Nothing exists
1996-12,-,Nothing exists
1997-01,-,Nothing exists
1997-02,-,Nothing exists
1997-03,-,Nothing exists
1997-04,-,Nothing exists
1997-05,-,Nothing exists
1997-06,-,Nothing exists
1997-07,-,Nothing exists
1997-08,-,Nothing exists
1997-09,-,Nothing exists
1997-10,-,Nothing exists
1997-11,-,Nothing exists
1997-12,-,Nothing exists
1998-01,-,Nothing exists
1998-02,-,Nothing exists
1998-03,-,Nothing exists
1998-04,-,Nothing exists
1998-05,-,Nothing exists
1998-06,-,Nothing exists
1998-07,-,Nothing exists
1998-08,-,Nothing exists
1998-09,-,Nothing exists
1998-10,-,Nothing exists
1998-11,-,Nothing exists
1998-12,-,Nothing exists
1999-01,-,Nothing exists
1999-02,-,Nothing exists
1999-03,-,Nothing exists
1999-04,-,Nothing exists
1999-05,-,Nothing exists
1999-06,-,Nothing exists
1999-07,-,Nothing exists
1999-08,-,Nothing exists
1999-09,-,Nothing exists
1999-10,-,Nothing exists
1999-11,-,Nothing exists
1999-12,-,Nothing exists
2000-01,-,Nothing exists
2000-02,-,Nothing exists
2000-03,-,Nothing exists
2000-04,-,Nothing exists
2000-05,-,Nothing exists
2000-06,-,Nothing exists
2000-07,-,Nothing exists
2000-08,-,Nothing exists
2000-09,-,Nothing exists
2000-10,-,Nothing exists
2000-11,-,Nothing exists
2000-12,-,Nothing exists
2001-01,501,
2001-02,503,
2001-03,505,
2001-04,508,
2001-05,510,
2001-06,512,
2001-07,514,
2001-08,516,
2001-09,518,
2001-10,520,
2001-11,522,
2001-12,501,
2002-01,1035,
2002-02,1037,
2002-03,1037,
2002-04,1034,
2002-05,812,
2002-06,815,
2002-07,817,
2002-08,1074,
2002-09,1477,
2002-10,1477,
2002-11,1485,
2002-12,1466,
2003-01,1477,
2003-02,1582,
2003-03,1584,
2003-04,1587,
2003-05,1590,
2003-06,1592,
2003-07,1595,
2003-08,1777,
2003-09,1780,
2003-10,1947,
2003-11,1905,
2003-12,1890,
2004-01,1893,
2004-02,2061,
2004-03,2065,
2004-04,2067,
2004-05,2464,
2004-06,2477,
2004-07,2481,
2004-08,2485,
2004-09,2496,
2004-10,2499,
2004-11,2468,
2004-12,2262,
2005-01,2214,
2005-02,2177,
2005-03,2431,
2005-04,2127,
2005-05,2112,
2005-06,2316,
2005-07,2419,
2005-08,2431,
2005-09,2543,
2005-10,2546,
2005-11,2527,
2005-12,2070,
2006-01,2027,
2006-02,1991,
2006-03,1995,
2006-04,1999,
2006-05,1935,
2006-06,1942,
2006-07,1947,
2006-08,1952,
2006-09,1580,
2006-10,1585,
2006-11,1589,
2006-12,1562,
2007-01,1567,
2007-02,1567,
2007-03,1576,
2007-04,2781,
2007-05,2791,
2007-06,2834,
2007-07,2852,
2007-08,2845,
2007-09,2856,
2007-10,2855,
2007-11,2848,
2007-12,2810,
2008-01,2775,
2008-02,2768,
2008-03,2746,
2008-04,2763,
2008-05,2789,
2008-06,2775,
2008-07,2783,
2008-08,2790,
2008-09,2699,
2008-10,2601,
2008-11,2563,
2008-12,2487,
2009-01,2399,
2009-02,2361,
2009-03,2342,
2009-04,2190,
2009-05,2234,
2009-06,2256,
2009-07,2298,
2009-08,2137,
2009-09,2162,
2009-10,2184,
2009-11,2190,
2009-12,2180,
2010-01,2199,
2010-02,2204,
2010-03,2211,
2010-04,2216,
2010-05,1951,
2010-06,1947,
2010-07,1695,
2010-08,1650,
2010-09,1652,
2010-10,1456,
2010-11,1133,
2010-12,1129,
2011-01,1135,
2011-02,1135,
2011-03,1144,
2011-04,1147,
2011-05,1151,
2011-06,1151,
2011-07,1148,
2011-08,1140,
2011-09,1132,
2011-10,1130,
2011-11,1119,
2011-12,1117,
2012-01,1132,
2012-02,1140,
2012-03,1147,
2012-04,1147,
2012-05,1145,
2012-06,1146,
2012-07,1149,
2012-08,762,
2012-09,766,
2012-10,1167,
2012-11,1171,
2012-12,1162,
2013-01,1368,
2013-02,1377,
2013-03,1383,
2013-04,1381,
2013-05,1287,
2013-06,1104,
2013-07,1102,
2013-08,1103,
2013-09,1100,
2013-10,872,
2013-11,876,
2013-12,346,
2014-01,350,
2014-02,350,
2014-03,338,
2014-04,338,
2014-05,338,
2014-06,339,
2014-07,343,
2014-08,343,
2014-09,352,
2014-10,354,
2014-11,356,
